osmid,oneway,name,highway,maxspeed,reversed,length,lanes,ref,geometry,junction,width
109231543,True,Balfour Street,secondary,50,False,36.005,,,"LINESTRING (147.0386897 -35.6675221, 147.0390522 -35.6673875)",,
109337508,False,Melville Street,trunk,50,True,151.20600000000002,2,A41,"LINESTRING (147.0386897 -35.6675221, 147.038728 -35.6673483, 147.0388493 -35.6667978, 147.0389122 -35.6664925, 147.0389687 -35.6661814)",,
300409122,False,Balfour Street,trunk,50,True,88.84400000000001,2,A41,"LINESTRING (147.0386897 -35.6675221, 147.0382138 -35.6676014, 147.0381734 -35.6676081, 147.0380442 -35.6676263, 147.0378533 -35.667657, 147.0378042 -35.667665, 147.0377247 -35.6676759)",,
1092754042,False,Gamble Street,residential,,False,138.115,,,"LINESTRING (147.0386897 -35.6675221, 147.0386654 -35.66769, 147.0385954 -35.6681739, 147.0385153 -35.6685733, 147.0385317 -35.6686622, 147.0385802 -35.6687445)",,
109231536,False,Balfour Street,secondary,50,True,41.306,,,"LINESTRING (147.0413724 -35.667086, 147.0409239 -35.6671583)",,
32461321,False,Gordon Street,residential,,False,150.04500000000002,2,,"LINESTRING (147.0413724 -35.667086, 147.0415185 -35.666377, 147.0416841 -35.665761)",,
32461321,False,Gordon Street,residential,,True,137.44799999999998,2,,"LINESTRING (147.0413724 -35.667086, 147.0413425 -35.6672592, 147.0412561 -35.6677865, 147.0411523 -35.668309)",,
109337508,False,Melville Street,trunk,50,False,134.787,2,A41,"LINESTRING (147.0393183 -35.6643756, 147.0392078 -35.664985, 147.039095 -35.6655741)",,
32461321,False,Gordon Street,residential,,True,72.036,2,,"LINESTRING (147.041856 -35.6651284, 147.0416841 -35.665761)",,
32461324,False,Victoria Street,residential,50,False,254.302,,,"LINESTRING (147.041856 -35.6651284, 147.0392497 -35.6655491, 147.039095 -35.6655741)",,
32461324,False,Victoria Street,residential,50,True,254.302,,,"LINESTRING (147.039095 -35.6655741, 147.0392497 -35.6655491, 147.041856 -35.6651284)",,
109337508,False,Melville Street,trunk,50,False,68.486,2,A41,"LINESTRING (147.039095 -35.6655741, 147.0390189 -35.6659455, 147.0389687 -35.6661814)",,
109337508,False,Melville Street,trunk,50,True,134.787,2,A41,"LINESTRING (147.039095 -35.6655741, 147.0392078 -35.664985, 147.0393183 -35.6643756)",,
32461325,False,Blair Street,secondary_link,,True,13.354,,,"LINESTRING (147.0355558 -35.6680972, 147.035518 -35.6679811)",,
109231545,True,Balfour Street,secondary,50,False,85.518,,,"LINESTRING (147.0355558 -35.6680972, 147.0347739 -35.6682241, 147.0346339 -35.6681819)",,
300409117,False,Blair Street,residential,,False,298.376,,,"LINESTRING (147.0355558 -35.6680972, 147.0355339 -35.6682056, 147.0350199 -35.670745)",,
109231549,False,South Street,residential,,False,171.394,,,"LINESTRING (147.0350199 -35.670745, 147.0353259 -35.6707156, 147.0360064 -35.6704314, 147.0365605 -35.6701867, 147.0367346 -35.6701183)",,
109231549,False,South Street,residential,,True,143.615,,,"LINESTRING (147.0350199 -35.670745, 147.0342089 -35.6706587, 147.0334463 -35.6705616)",,
300409117,False,Blair Street,residential,,True,298.376,,,"LINESTRING (147.0350199 -35.670745, 147.0355339 -35.6682056, 147.0355558 -35.6680972)",,
395182244,False,Railway Parade,trunk,50,False,13.084,2,A41,"LINESTRING (147.0367346 -35.6701183, 147.0367204 -35.6702354)",,
109231549,False,South Street,residential,,True,171.394,,,"LINESTRING (147.0367346 -35.6701183, 147.0365605 -35.6701867, 147.0360064 -35.6704314, 147.0353259 -35.6707156, 147.0350199 -35.670745)",,
395182244,False,Railway Parade,trunk,50,True,238.51500000000001,2,A41,"LINESTRING (147.0367346 -35.6701183, 147.0367899 -35.6696656, 147.0370993 -35.6679943)",,
