osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,lanes,bridge,access
4845356,True,A1,Bruce Highway,trunk,60,False,108.274,"LINESTRING (145.9250694 -17.3433985, 145.9250952 -17.3435524, 145.9249415 -17.344357)",,,
822352127,True,A1,Bruce Highway,trunk,60,False,10.484,"LINESTRING (145.9249415 -17.344357, 145.924928 -17.3444504)",1,,
1242735933,True,,Munro Street,unclassified,50,False,38.479,"LINESTRING (145.9249415 -17.344357, 145.9251141 -17.3443778, 145.9253014 -17.3443986)",,,
201390064,True,,Munro Street,tertiary,50,False,13.152,"LINESTRING (145.924928 -17.3444504, 145.9248051 -17.3444353)",,,
822352127,True,A1,Bruce Highway,trunk,60,False,161.65699999999998,"LINESTRING (145.924928 -17.3444504, 145.9247531 -17.3456652, 145.9246587 -17.3458742)",1,,
4845357,True,A1,Bruce Highway,trunk,60,False,118.65199999999999,"LINESTRING (145.9246587 -17.3458742, 145.924649 -17.3456545, 145.9247533 -17.3448132)",,,
"[4845361, 201389990]",False,A1,Bruce Highway,trunk,"['60', '80']",False,389.424,"LINESTRING (145.9246587 -17.3458742, 145.9245879 -17.3461222, 145.9244622 -17.3464596, 145.9243244 -17.3467245, 145.9241703 -17.3470023, 145.9239502 -17.3473158, 145.9237297 -17.3475486, 145.9235056 -17.3477611, 145.9230797 -17.3481456, 145.9225237 -17.348639)",2,,
4845357,True,A1,Bruce Highway,trunk,60,False,42.379,"LINESTRING (145.9247533 -17.3448132, 145.9248051 -17.3444353)",,,
4847805,True,,,trunk_link,,False,45.747,"LINESTRING (145.9247533 -17.3448132, 145.9247367 -17.3446007, 145.9247142 -17.3445023, 145.9246632 -17.3444177)",,,
1246264849,True,,Munro Street,tertiary,50,False,15.188,"LINESTRING (145.9248051 -17.3444353, 145.9246632 -17.3444177)",,,
1246264851,True,A1,Bruce Highway,trunk,60,False,10.396,"LINESTRING (145.9248051 -17.3444353, 145.9248178 -17.3443426)",,,
1246264848,True,,Munro Street,tertiary,50,False,13.227,"LINESTRING (145.9248178 -17.3443426, 145.9249415 -17.344357)",,,
1246264850,True,A1,Bruce Highway,trunk,60,False,14.186,"LINESTRING (145.9248178 -17.3443426, 145.9248351 -17.3442161)",,,
822352123,True,A1,Bruce Highway,trunk,60,False,95.515,"LINESTRING (145.9248351 -17.3442161, 145.9249751 -17.343526, 145.9250694 -17.3433985)",1,,
4847748,False,,Wilkie Street,unclassified,,False,27.612,"LINESTRING (145.9179888 -17.3422538, 145.9179858 -17.3420055)",,,
4847748,False,,Wilkie Street,unclassified,,True,136.381,"LINESTRING (145.9179888 -17.3422538, 145.9179923 -17.3423139, 145.9179937 -17.3423793, 145.9178715 -17.343474)",,,
4847809,False,,Hospital Street,unclassified,,False,133.302,"LINESTRING (145.9180974 -17.344706, 145.9182281 -17.3435137)",,,
4847809,False,,Hospital Street,unclassified,,True,49.227,"LINESTRING (145.9180974 -17.344706, 145.9180554 -17.3450116, 145.9181124 -17.3451346)",,,
4847739,False,,Knowles Street,unclassified,,True,59.8,"LINESTRING (145.9194571 -17.3452513, 145.9195329 -17.3447184)",,,
4847743,False,,King Street,unclassified,,True,143.313,"LINESTRING (145.9194571 -17.3452513, 145.9181124 -17.3451346)",,,
"[4847739, 201390156, 201390157]",False,,Knowles Street,unclassified,,False,60.986000000000004,"LINESTRING (145.9194571 -17.3452513, 145.9194939 -17.3453771, 145.9196152 -17.3456402, 145.9196729 -17.3457584)",,,
4847739,False,,Knowles Street,unclassified,,False,59.8,"LINESTRING (145.9195329 -17.3447184, 145.9194571 -17.3452513)",,,
4847739,False,,Knowles Street,unclassified,,True,116.241,"LINESTRING (145.9195329 -17.3447184, 145.9196688 -17.3436811)",,,
4847745,False,,Eastwood Street,unclassified,,False,180.636,"LINESTRING (145.9195329 -17.3447184, 145.9212148 -17.3449666)",,,
4847739,False,,Knowles Street,unclassified,,False,116.241,"LINESTRING (145.9196688 -17.3436811, 145.9195329 -17.3447184)",,,
820860960,False,,,tertiary,50,False,182.29,"LINESTRING (145.9196688 -17.3436811, 145.9213662 -17.3439309)",,,
4847739,False,,Knowles Street,unclassified,,True,132.505,"LINESTRING (145.9196688 -17.3436811, 145.919813 -17.3427321, 145.9198465 -17.3426388, 145.9198915 -17.3425866, 145.9199206 -17.3425583, 145.9199434 -17.3425426)",,,
820860960,False,,,tertiary,50,True,154.047,"LINESTRING (145.9196688 -17.3436811, 145.9193697 -17.343643, 145.9182281 -17.3435137)",,,
4847739,False,,Knowles Street,unclassified,,False,132.505,"LINESTRING (145.9199434 -17.3425426, 145.9199206 -17.3425583, 145.9198915 -17.3425866, 145.9198465 -17.3426388, 145.919813 -17.3427321, 145.9196688 -17.3436811)",,,
4847741,False,,Church Street,unclassified,,False,170.684,"LINESTRING (145.9199434 -17.3425426, 145.9199823 -17.3425747, 145.9215229 -17.3427877)",,,
201390081,False,,Parry Street,unclassified,,False,137.539,"LINESTRING (145.9199434 -17.3425426, 145.9199969 -17.342473, 145.920406 -17.3413907)",,,
4847752,False,,Mill Street,unclassified,,True,75.366,"LINESTRING (145.9235574 -17.3435137, 145.9234515 -17.3441839)",,,
821340819,False,,,unclassified,,False,30.381,"LINESTRING (145.9235574 -17.3435137, 145.9236675 -17.3432615)",,,
4847741,False,,Church Street,unclassified,,True,261.824,"LINESTRING (145.9235574 -17.3435137, 145.923539 -17.343133, 145.9234846 -17.3430768, 145.9233931 -17.3430429, 145.9215229 -17.3427877)",,,
4847807,False,,School Street,unclassified,,True,128.202,"LINESTRING (145.9215229 -17.3427877, 145.9213662 -17.3439309)",,,
4847741,False,,Church Street,unclassified,,False,261.824,"LINESTRING (145.9215229 -17.3427877, 145.9233931 -17.3430429, 145.9234846 -17.3430768, 145.923539 -17.343133, 145.9235574 -17.3435137)",,,
4847741,False,,Church Street,unclassified,,True,170.684,"LINESTRING (145.9215229 -17.3427877, 145.9199823 -17.3425747, 145.9199434 -17.3425426)",,,
