osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,junction,bridge,lanes
292257146,True,A300,Bridge Street East,trunk,50,False,12.794,"LINESTRING (145.9819189 -36.552061, 145.9820515 -36.5520175)",,,
79582955,True,,Mair Street,residential,,False,18.244999999999997,"LINESTRING (145.9819189 -36.552061, 145.9819078 -36.5519858, 145.9819119 -36.5518975)",,,
42393605,False,,Benalla Street,residential,,False,121.164,"LINESTRING (145.9819325 -36.5477338, 145.9832374 -36.5474365)",,,
42393605,False,,Benalla Street,residential,,True,107.592,"LINESTRING (145.9819325 -36.5477338, 145.980777 -36.5480068)",,,
219062775,False,A300,Nunn Street,trunk,60,False,122.153,"LINESTRING (145.9819325 -36.5477338, 145.9822614 -36.5488001)",,,
"[79582950, 54238703]",False,,Church Street,residential,40,True,103.651,"LINESTRING (145.9888247 -36.5483067, 145.9880218 -36.5484933, 145.9877097 -36.5485647)",,,
"[79582950, 54238703]",False,,Church Street,residential,40,False,103.651,"LINESTRING (145.9877097 -36.5485647, 145.9880218 -36.5484933, 145.9888247 -36.5483067)",,,
54238704,True,,,residential,,False,13.181,"LINESTRING (145.9877097 -36.5485647, 145.9877119 -36.5485921, 145.9877022 -36.5486185, 145.9876819 -36.5486407, 145.9876433 -36.548659)",roundabout,,
79582949,False,,Church Street,residential,,False,8.624,"LINESTRING (145.9863841 -36.5488719, 145.9864769 -36.5488505)",,,
"[42346410, 79582949]",False,,Church Street,residential,,True,106.055,"LINESTRING (145.9863841 -36.5488719, 145.9855596 -36.5490644, 145.9852427 -36.5491343)",,,
42346441,False,,Mitchell Street,residential,,True,112.21100000000001,"LINESTRING (145.9792355 -36.5473241, 145.9792248 -36.5475331, 145.9792355 -36.5476606, 145.9793988 -36.5481504, 145.9794519 -36.5483099)",,,
42393605,False,,Benalla Street,residential,,False,7.924,"LINESTRING (145.9806919 -36.5480269, 145.980777 -36.5480068)",,,
42393605,False,,Benalla Street,residential,,True,115.152,"LINESTRING (145.9806919 -36.5480269, 145.9794519 -36.5483099)",,,
42393605,False,,Benalla Street,residential,,False,115.152,"LINESTRING (145.9794519 -36.5483099, 145.9806919 -36.5480269)",,,
42346441,False,,Mitchell Street,residential,,False,112.211,"LINESTRING (145.9794519 -36.5483099, 145.9793988 -36.5481504, 145.9792355 -36.5476606, 145.9792248 -36.5475331, 145.9792355 -36.5473241)",,,
"[42346441, 425690009]",False,,"['Church Street', 'Mitchell Street']",residential,,True,325.115,"LINESTRING (145.9794519 -36.5483099, 145.980138 -36.5502979, 145.9811784 -36.5500918)",,,
42393605,False,,Benalla Street,residential,,True,121.164,"LINESTRING (145.9832374 -36.5474365, 145.9819325 -36.5477338)",,,
42393606,False,,Walker Street,residential,,False,232.147,"LINESTRING (145.9832374 -36.5474365, 145.983359 -36.547762, 145.9839379 -36.5494469)",,,
54238701,False,,Church Street,residential,,False,6.792,"LINESTRING (145.9839379 -36.5494469, 145.9838649 -36.549464)",,,
54238701,False,,Church Street,residential,,True,100.361,"LINESTRING (145.9839379 -36.5494469, 145.9850167 -36.5491948)",,,
42393606,False,,Walker Street,residential,,True,232.147,"LINESTRING (145.9839379 -36.5494469, 145.983359 -36.547762, 145.9832374 -36.5474365)",,,
54238702,True,,,residential,,False,16.193,"LINESTRING (145.9850957 -36.5490738, 145.9851368 -36.5490699, 145.985177 -36.5490775, 145.9852116 -36.5490957, 145.9852427 -36.5491343)",roundabout,,
42437784,False,,Carrier Street,residential,,False,54.858,"LINESTRING (145.9858833 -36.5512866, 145.9860401 -36.5517636)",,,
54238896,True,C313,,secondary,,False,14.003,"LINESTRING (145.9858833 -36.5512866, 145.9858316 -36.5512929, 145.9857804 -36.5512847, 145.9857358 -36.5512628)",roundabout,,
42437784,False,,Carrier Street,residential,,True,54.858,"LINESTRING (145.9860401 -36.5517636, 145.9858833 -36.5512866)",,,
42437792,False,,Fawckner Drive,residential,50,False,216.747,"LINESTRING (145.9860401 -36.5517636, 145.984625 -36.5520875, 145.9845027 -36.5521155, 145.9838866 -36.5522566, 145.9837065 -36.5522978)",,,
219062279,False,,Lowry Place,residential,50,False,263.16900000000004,"LINESTRING (145.9860401 -36.5517636, 145.9869717 -36.5518144, 145.9871803 -36.5518335, 145.987313 -36.5518638, 145.9874391 -36.5519082, 145.9875886 -36.5519911, 145.9877447 -36.5520959, 145.9878717 -36.5521347, 145.9880231 -36.5521462, 145.9885113 -36.5521462, 145.9887151 -36.552129, 145.9888684 -36.5520903)",,,
219062848,False,,Carrier Street,residential,,False,123.36200000000001,"LINESTRING (145.9860401 -36.5517636, 145.9862699 -36.5524163, 145.9861348 -36.5525748, 145.985845 -36.552629)",,,
219062848,False,,Carrier Street,residential,,True,123.36200000000001,"LINESTRING (145.985845 -36.552629, 145.9861348 -36.5525748, 145.9862699 -36.5524163, 145.9860401 -36.5517636)",,,
42437792,False,,Fawckner Drive,residential,50,True,12.055,"LINESTRING (145.9835767 -36.5523275, 145.9837065 -36.5522978)",,,
79582943,False,,Nunn Street,residential,,False,30.639,"LINESTRING (145.9835767 -36.5523275, 145.9834764 -36.552064)",,,
219062847,False,,Fawckner Drive,residential,50,False,3.763,"LINESTRING (145.9835767 -36.5523275, 145.9835362 -36.5523368)",,,
292257146,True,A300,Bridge Street East,trunk,50,False,23.061,"LINESTRING (145.9816926 -36.5521608, 145.9818002 -36.5521146, 145.9819189 -36.552061)",,,
"[292250296, 410135267, 48277924]",False,A300,Bridge Street West,trunk,50,True,145.614,"LINESTRING (145.9816926 -36.5521608, 145.9815977 -36.5522131, 145.9813599 -36.5523535, 145.9810979 -36.5525031, 145.9808372 -36.552645, 145.9805744 -36.5527755, 145.9804323 -36.5528677, 145.9803611 -36.5529145)",,yes,1
425690004,True,A300,Nunn Street,trunk,50,False,12.062,"LINESTRING (145.9833995 -36.5516911, 145.9834334 -36.5517961)",,,
8963777,True,C313,Bridge Street East,secondary,50,False,214.249,"LINESTRING (145.9833995 -36.5516911, 145.9843159 -36.5514942, 145.9855852 -36.5512069, 145.9856911 -36.5511447)",,,1
573239890,True,A300,Nunn Street,trunk,60,False,9.689,"LINESTRING (145.9826585 -36.5497165, 145.9826895 -36.5498)",,,
573239892,True,,Church Street,residential,,False,41.748,"LINESTRING (145.9826585 -36.5497165, 145.9831146 -36.5496346)",,,
54238701,False,,Church Street,residential,,False,100.361,"LINESTRING (145.9850167 -36.5491948, 145.9839379 -36.5494469)",,,
54238702,True,,,residential,,False,16.839,"LINESTRING (145.9850167 -36.5491948, 145.9850111 -36.5491619, 145.9850197 -36.5491294, 145.9850417 -36.5491013, 145.9850744 -36.5490808, 145.9850957 -36.5490738)",roundabout,,
