osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,junction,width,bridge
3999365,BMD,Lurline Street,secondary,50,False,False,363.75300000000004,"LINESTRING (150.3127808 -33.712397, 150.3127803 -33.7124373, 150.3127779 -33.7124982, 150.3127695 -33.7125896, 150.3127049 -33.7129071, 150.3127027 -33.7129304, 150.3127003 -33.7129769, 150.3127012 -33.7130235, 150.3127033 -33.7130528, 150.3127074 -33.7130814, 150.3127166 -33.7131195, 150.3127426 -33.7132019, 150.3128617 -33.7134911, 150.3128874 -33.7135587, 150.3128997 -33.7135976, 150.3129107 -33.7136366, 150.3129192 -33.7136966, 150.3129225 -33.7137559, 150.3129214 -33.713833, 150.312913 -33.7139097, 150.3128413 -33.7142395, 150.3128294 -33.7142996, 150.3126375 -33.7152684, 150.3126086 -33.7154209, 150.312586 -33.7155403, 150.3125722 -33.7156131)",,,,
174764722,,Gang Gang Street,primary,,False,True,137.79500000000002,"LINESTRING (150.3127808 -33.712397, 150.3128545 -33.7123854, 150.3129394 -33.7123735, 150.3130129 -33.7123645, 150.3130923 -33.7123557, 150.3136367 -33.7123014, 150.3138702 -33.7122797, 150.3139258 -33.7122762, 150.3139827 -33.7122766, 150.3140314 -33.7122799, 150.3140833 -33.7122874, 150.3141272 -33.7122986, 150.3141706 -33.7123129, 150.3142084 -33.7123301, 150.3142426 -33.7123491)",2,,,
271446679,BMD,Gang Gang Street,primary,,False,False,75.56899999999999,"LINESTRING (150.3127808 -33.712397, 150.3127012 -33.7124023, 150.3126069 -33.7124043, 150.3121482 -33.7123954, 150.3119642 -33.7123962)",2,,,
3999404,,Apex Street,unclassified,,False,False,114.009,"LINESTRING (150.3152252 -33.7130893, 150.3155359 -33.7131228, 150.3157134 -33.7131315, 150.3158096 -33.7131197, 150.3160675 -33.713088, 150.3161127 -33.7130691, 150.3161482 -33.7130382, 150.3161782 -33.7129938, 150.3162792 -33.7128309)",1,,,
576100284,,Gang Gang Street,primary,,False,False,20.159,"LINESTRING (150.3152252 -33.7130893, 150.3153016 -33.7131211, 150.3153489 -33.7131404, 150.3154231 -33.7131649)",2,,,
"[174764722, 576100285]",,Gang Gang Street,primary,,False,"[False, True]",123.898,"LINESTRING (150.3152252 -33.7130893, 150.3151436 -33.7130517, 150.3150898 -33.7130257, 150.3149679 -33.7129604, 150.3148936 -33.7129192, 150.3148598 -33.7128999, 150.3148266 -33.7128794, 150.3147646 -33.7128373, 150.3147189 -33.7128016, 150.3146181 -33.7127154, 150.3144029 -33.712489, 150.314318 -33.7124045, 150.3142821 -33.7123754, 150.3142426 -33.7123491)",2,,,
3999404,,Apex Street,unclassified,,False,True,114.009,"LINESTRING (150.3162792 -33.7128309, 150.3161782 -33.7129938, 150.3161482 -33.7130382, 150.3161127 -33.7130691, 150.3160675 -33.713088, 150.3158096 -33.7131197, 150.3157134 -33.7131315, 150.3155359 -33.7131228, 150.3152252 -33.7130893)",1,,,
3999405,,Glenview Street,residential,,False,False,19.404,"LINESTRING (150.3162792 -33.7128309, 150.3162858 -33.7127072, 150.3162774 -33.712657)",,,,
3999405,,Glenview Street,residential,,False,True,60.939,"LINESTRING (150.3162792 -33.7128309, 150.3162798 -33.7129673, 150.3161965 -33.7132599, 150.3161582 -33.7133183, 150.316132 -33.713357)",,,,
3999405,,Glenview Street,residential,,False,False,60.939,"LINESTRING (150.316132 -33.713357, 150.3161582 -33.7133183, 150.3161965 -33.7132599, 150.3162798 -33.7129673, 150.3162792 -33.7128309)",,,,
"[34697986, 28393951]",,"['Lyne Street', 'Miles Avenue']",residential,,False,False,176.582,"LINESTRING (150.316132 -33.713357, 150.3161132 -33.7133892, 150.3161033 -33.7134217, 150.3160812 -33.7135178, 150.3159949 -33.7138924, 150.315896 -33.7139242, 150.3158188 -33.7139226, 150.315121 -33.7138238, 150.3147663 -33.7137804)",,,,
"[671072043, 576100284]",,"['Gang Gang Street', 'Lovel Street']",primary,,False,True,69.43599999999999,"LINESTRING (150.316132 -33.713357, 150.3160639 -33.713322, 150.316034 -33.7133083, 150.3160041 -33.7132946, 150.3159297 -33.7132696, 150.3158212 -33.7132441, 150.3155435 -33.7131912, 150.3154828 -33.7131791, 150.3154231 -33.7131649)",2,,,
3999405,,Glenview Street,residential,,False,False,46.844,"LINESTRING (150.3162774 -33.712657, 150.3162713 -33.7126247, 150.3162631 -33.712581, 150.3161786 -33.7122439)",,,,
3999405,,Glenview Street,residential,,False,True,19.404,"LINESTRING (150.3162774 -33.712657, 150.3162858 -33.7127072, 150.3162792 -33.7128309)",,,,
3999406,,Penault Avenue,residential,,False,False,161.356,"LINESTRING (150.3162774 -33.712657, 150.3161959 -33.7126362, 150.3159982 -33.7125857, 150.3158449 -33.7125381, 150.3156387 -33.712474, 150.3154838 -33.7124259, 150.3154477 -33.7124147, 150.3154296 -33.7124067, 150.3154175 -33.7123978, 150.3154032 -33.7123856, 150.3149913 -33.7118359, 150.3149763 -33.7118153)",,,,
271447151,,Waratah Street,tertiary,50,False,True,52.604,"LINESTRING (150.3122716 -33.7174224, 150.3121629 -33.7174078, 150.3120909 -33.7173981, 150.3117101 -33.7173471)",,,,
