osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,width,lanes,junction
37501208,False,,Dawson Street,residential,50,False,81.252,"LINESTRING (138.783654 -35.5014983, 138.7829171 -35.5019155)",,,
37501208,False,,Dawson Street,residential,50,True,83.348,"LINESTRING (138.783654 -35.5014983, 138.7844046 -35.5010642)",,,
37501208,False,,Dawson Street,residential,50,True,81.252,"LINESTRING (138.7829171 -35.5019155, 138.783654 -35.5014983)",,,
"[37501208, 97512851]",False,,Dawson Street,residential,50,False,130.28300000000002,"LINESTRING (138.7829171 -35.5019155, 138.7820417 -35.5024651, 138.7819826 -35.5025176, 138.7818399 -35.502681)",,,
37501220,False,B37,Cadell Street,primary,50,False,144.892,"LINESTRING (138.7829171 -35.5019155, 138.782328 -35.5012365, 138.7819945 -35.5008507)",,,
37501220,False,B37,Cadell Street,primary,50,True,128.856,"LINESTRING (138.7829171 -35.5019155, 138.7835562 -35.5026523, 138.7837382 -35.5028621)",,,
27863624,False,,Gardiner Street,residential,50,False,57.88,"LINESTRING (138.7767773 -35.5007278, 138.7772783 -35.5004044)",,,
37501227,False,,Crawford Street,residential,50,True,107.398,"LINESTRING (138.7767773 -35.5007278, 138.7767 -35.499764)",4,,
27863627,False,,Foster Place,residential,,False,169.19299999999998,"LINESTRING (138.7767773 -35.5007278, 138.7767304 -35.5016306, 138.7766923 -35.5022478)",,,
37516031,False,,Oliver Street,residential,50,False,58.849,"LINESTRING (138.7815103 -35.5052018, 138.7814084 -35.5057245)",,2,
97512922,False,,Wildman Street,residential,50,True,97.384,"LINESTRING (138.7815103 -35.5052018, 138.7816779 -35.5043367)",4,,
"[33916116, 97512903]",False,B37,Hutchinson Street,primary,50,True,230.88099999999997,"LINESTRING (138.7815103 -35.5052018, 138.7797485 -35.5049865, 138.7789883 -35.5048917)",,,
97512959,False,B37,Hutchinson Street,primary,50,False,109.056,"LINESTRING (138.7815103 -35.5052018, 138.7823558 -35.5053078, 138.782597 -35.5053332, 138.7827008 -35.5053511)",,,
27863621,False,,Loveday Street,residential,50,False,146.185,"LINESTRING (138.7808913 -35.4983107, 138.7818089 -35.4993925)",,,
51073812,False,,Gardiner Street,residential,50,True,81.56,"LINESTRING (138.7808913 -35.4983107, 138.7801508 -35.4987285)",,,
"[51073812, 37501230]",False,,"['Brooking Street', 'Gardiner Street']",residential,50,False,157.81,"LINESTRING (138.7808913 -35.4983107, 138.7815043 -35.4979213, 138.781554 -35.4979104, 138.7816089 -35.4979137, 138.7816653 -35.4979301, 138.7817032 -35.4979553, 138.7821181 -35.4984643)",,,
37501209,False,,Wildman Street,residential,50,True,78.227,"LINESTRING (138.7822042 -35.5037811, 138.7827496 -35.5032354)",4,,
97512876,False,,Goyder Street,residential,50,False,145.224,"LINESTRING (138.7822042 -35.5037811, 138.7834282 -35.5046254)",,,
"[97512927, 38311622, 30176303]",False,,"['Goyder Street', 'Porter Street', 'Pitt Street']",residential,50,True,245.25300000000001,"LINESTRING (138.7822042 -35.5037811, 138.781019 -35.5030243, 138.7809767 -35.5029973, 138.781066 -35.5028899, 138.7813486 -35.5025911, 138.7814145 -35.5025643, 138.7814873 -35.5025651, 138.7818399 -35.502681)",,,
97512922,False,,Wildman Street,residential,50,False,78.609,"LINESTRING (138.7822042 -35.5037811, 138.7821289 -35.503854, 138.781758 -35.5041998, 138.7817099 -35.5042618, 138.7816779 -35.5043367)",4,,
38311628,False,,Porter Street,residential,50,True,103.006,"LINESTRING (138.7818399 -35.502681, 138.7819874 -35.5027495, 138.7827496 -35.5032354)",,,
"[37501208, 97512851]",False,,Dawson Street,residential,50,True,130.28300000000002,"LINESTRING (138.7818399 -35.502681, 138.7819826 -35.5025176, 138.7820417 -35.5024651, 138.7829171 -35.5019155)",,,
"[30176303, 38311622, 97512927]",False,,"['Goyder Street', 'Porter Street', 'Pitt Street']",residential,50,False,245.253,"LINESTRING (138.7818399 -35.502681, 138.7814873 -35.5025651, 138.7814145 -35.5025643, 138.7813486 -35.5025911, 138.781066 -35.5028899, 138.7809767 -35.5029973, 138.781019 -35.5030243, 138.7822042 -35.5037811)",,,
37501208,False,,Dawson Street,residential,50,False,83.348,"LINESTRING (138.7844046 -35.5010642, 138.783654 -35.5014983)",,,
37501230,False,,Brooking Street,residential,50,False,103.522,"LINESTRING (138.7844046 -35.5010642, 138.7850858 -35.501812)",,,
37501230,False,,Brooking Street,residential,50,True,114.24,"LINESTRING (138.7844046 -35.5010642, 138.7836709 -35.5002283)",,,
27863622,False,,Crocker Street,residential,50,True,81.449,"LINESTRING (138.7834902 -35.5000139, 138.7827499 -35.5004302)",,,
37501230,False,,Brooking Street,residential,50,False,28.913,"LINESTRING (138.7834902 -35.5000139, 138.7836709 -35.5002283)",,,
37501230,False,,Brooking Street,residential,50,True,145.099,"LINESTRING (138.7834902 -35.5000139, 138.7825427 -35.4989614)",,,
27863621,False,,Loveday Street,residential,50,False,144.236,"LINESTRING (138.7827499 -35.5004302, 138.783654 -35.5014983)",,,
27863621,False,,Loveday Street,residential,50,True,143.425,"LINESTRING (138.7827499 -35.5004302, 138.7818089 -35.4993925)",,,
27863622,False,,Crocker Street,residential,50,False,81.449,"LINESTRING (138.7827499 -35.5004302, 138.7834902 -35.5000139)",,,
27863622,False,,Crocker Street,residential,50,True,82.84,"LINESTRING (138.7827499 -35.5004302, 138.7819945 -35.5008507)",,,
27863622,False,,Crocker Street,residential,50,False,81.567,"LINESTRING (138.78126 -35.5012756, 138.7819945 -35.5008507)",,,
27863622,False,,Crocker Street,residential,50,True,78.506,"LINESTRING (138.78126 -35.5012756, 138.7805486 -35.5016794)",,,
37501203,False,,Farquhar Street,residential,50,False,141.206,"LINESTRING (138.78126 -35.5012756, 138.7803378 -35.5002514)",4,,
27863622,False,,Crocker Street,residential,50,False,82.84,"LINESTRING (138.7819945 -35.5008507, 138.7827499 -35.5004302)",,,
27863622,False,,Crocker Street,residential,50,True,81.567,"LINESTRING (138.7819945 -35.5008507, 138.78126 -35.5012756)",,,
37501220,False,B37,Cadell Street,primary,50,False,142.037,"LINESTRING (138.7819945 -35.5008507, 138.7810816 -35.4998118)",,,
37501220,False,B37,Cadell Street,primary,50,True,144.892,"LINESTRING (138.7819945 -35.5008507, 138.782328 -35.5012365, 138.7829171 -35.5019155)",,,
37501204,False,,Moore Street,residential,50,False,76.768,"LINESTRING (138.7796315 -35.5006335, 138.7803378 -35.5002514)",4,,
37501205,False,,Partridge Street,residential,50,False,142.891,"LINESTRING (138.7796315 -35.5006335, 138.7805486 -35.5016794)",4,,
37501205,False,,Partridge Street,residential,50,True,144.995,"LINESTRING (138.7796315 -35.5006335, 138.7786888 -35.4995793)",4,,
