osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,lanes,junction,bridge
90962739,False,A5,Meander Valley Road,primary,60,False,110.96000000000001,"LINESTRING (146.6600806 -41.5243105, 146.6599139 -41.5243218, 146.6598199 -41.5243374, 146.6596916 -41.5243744, 146.6595055 -41.5244622, 146.6591857 -41.5246235, 146.6590605 -41.5246889, 146.6589774 -41.5247227, 146.6589024 -41.5247411)",,,
90962739,False,A5,Meander Valley Road,primary,60,True,23.567999999999998,"LINESTRING (146.6600806 -41.5243105, 146.6601925 -41.5243149, 146.6603613 -41.5243356)",,,
22781860,False,A5,East Parade,primary,60,False,306.853,"LINESTRING (146.6582421 -41.525629, 146.6578247 -41.526242, 146.6572545 -41.5270794, 146.6571174 -41.527266, 146.6570668 -41.5273349, 146.6568291 -41.5276274, 146.6564227 -41.5280212)",,,
22781860,False,A5,East Parade,primary,60,True,113.70200000000001,"LINESTRING (146.6582421 -41.525629, 146.6586388 -41.5251149, 146.6588312 -41.5248978, 146.6588795 -41.5248255, 146.6588983 -41.5247934, 146.6589024 -41.5247411)",,,
31293260,False,C501,East Barrack Street,secondary,,True,348.573,"LINESTRING (146.6582421 -41.525629, 146.6583416 -41.5256848, 146.6584152 -41.5257529, 146.6592729 -41.5267103, 146.6606489 -41.528188)",,,
496567073,False,,West Barrack Street,residential,50,True,225.716,"LINESTRING (146.6540249 -41.5209833, 146.6555758 -41.5226483)",,,
31255981,True,,,residential,,False,9.258,"LINESTRING (146.657343 -41.5245622, 146.657291 -41.5246358)",,,
681339517,True,,,tertiary,60,False,4.179,"LINESTRING (146.657343 -41.5245622, 146.6572936 -41.5245555)",1,roundabout,
22781860,False,A5,East Parade,primary,60,False,217.37499999999997,"LINESTRING (146.6564227 -41.5280212, 146.6560498 -41.5283474, 146.6552209 -41.5290432, 146.6551514 -41.5291015, 146.6548804 -41.5293328, 146.6546976 -41.5294887)",,,
22781860,False,A5,East Parade,primary,60,True,306.853,"LINESTRING (146.6564227 -41.5280212, 146.6568291 -41.5276274, 146.6570668 -41.5273349, 146.6571174 -41.527266, 146.6572545 -41.5270794, 146.6578247 -41.526242, 146.6582421 -41.525629)",,,
217523570,False,,West Parade,residential,,True,280.71399999999994,"LINESTRING (146.6551347 -41.5265584, 146.655323 -41.5264712, 146.6555278 -41.5263241, 146.656107 -41.5258562, 146.6567076 -41.5252368, 146.657291 -41.5246358)",,,
31293260,False,C501,East Barrack Street,secondary,,False,348.573,"LINESTRING (146.6606489 -41.528188, 146.6592729 -41.5267103, 146.6584152 -41.5257529, 146.6583416 -41.5256848, 146.6582421 -41.525629)",,,
32333878,False,,Lansdowne Place,residential,,False,119.916,"LINESTRING (146.6606489 -41.528188, 146.6607644 -41.5281274, 146.6613589 -41.5278256, 146.661838 -41.5275793)",,,
47108245,False,,East Westbury Place,residential,,False,29.834,"LINESTRING (146.6628543 -41.5270547, 146.6630687 -41.5272697)",,,
32333878,False,,Lansdowne Place,residential,,True,102.78200000000001,"LINESTRING (146.6628543 -41.5270547, 146.6627834 -41.5270969, 146.661838 -41.5275793)",,,
47108245,False,,East Westbury Place,residential,,True,368.17400000000004,"LINESTRING (146.6628543 -41.5270547, 146.6604071 -41.524466, 146.6603579 -41.5243966, 146.6603613 -41.5243356)",,,
90962739,False,A5,Meander Valley Road,primary,60,True,149.123,"LINESTRING (146.6603613 -41.5243356, 146.6621294 -41.5245507)",,,
47108245,False,,East Westbury Place,residential,,False,368.17400000000004,"LINESTRING (146.6603613 -41.5243356, 146.6603579 -41.5243966, 146.6604071 -41.524466, 146.6628543 -41.5270547)",,,
90962739,False,A5,Meander Valley Road,primary,60,False,23.567999999999998,"LINESTRING (146.6603613 -41.5243356, 146.6601925 -41.5243149, 146.6600806 -41.5243105)",,,
496774165,True,,Emu Bay Road,tertiary,60,False,29.79,"LINESTRING (146.6542774 -41.5252931, 146.654022 -41.5252374, 146.6539337 -41.5252185)",1,,
496774167,False,,Emu Bay Road,tertiary,60,False,266.509,"LINESTRING (146.6542774 -41.5252931, 146.6545383 -41.5253763, 146.6547788 -41.5254239, 146.6549703 -41.5254522, 146.6551773 -41.5254566, 146.6553683 -41.5254388, 146.6555559 -41.5254015, 146.6556984 -41.525355, 146.6558623 -41.525275, 146.6561347 -41.5251312, 146.6564789 -41.5249493, 146.6569468 -41.5246885, 146.6571016 -41.5246046)",2,,
37625494,True,,,tertiary,60,False,7.576,"LINESTRING (146.6539931 -41.5250816, 146.6540111 -41.5251095, 146.6540153 -41.5251403, 146.6540133 -41.5251463)",1,roundabout,
43985828,False,,Panorama Place,residential,,False,96.66199999999998,"LINESTRING (146.6539931 -41.5250816, 146.6540452 -41.5250635, 146.6542018 -41.5249719, 146.6543056 -41.5249047, 146.654366 -41.5248611, 146.6544005 -41.5248059, 146.6544005 -41.5247314, 146.6543904 -41.5245548, 146.6544003 -41.524461, 146.6544517 -41.5243626)",,,
496567073,False,,West Barrack Street,residential,50,False,225.716,"LINESTRING (146.6555758 -41.5226483, 146.6540249 -41.5209833)",,,
42399646,False,,Parsonage Street,residential,,True,105.032,"LINESTRING (146.6555758 -41.5226483, 146.6556341 -41.5226182, 146.6566138 -41.5221114)",,,
496567073,False,,West Barrack Street,residential,50,True,230.173,"LINESTRING (146.6555758 -41.5226483, 146.6568186 -41.5240374, 146.6570466 -41.5242492, 146.6571566 -41.5243446)",,,
