osmid,name,highway,oneway,reversed,length,maxspeed,geometry,bridge,lanes,ref,junction
47801389,Degaris Place,unclassified,False,False,69.231,,"LINESTRING (140.7441914 -36.9546645, 140.7444766 -36.9552439)",,,,
386893616,Ormerod Street,residential,False,False,132.78300000000002,50,"LINESTRING (140.7441914 -36.9546645, 140.7435303 -36.9548725, 140.7428026 -36.9551053)",,,,
"[386893616, 41666396]",Ormerod Street,residential,False,True,211.551,50,"LINESTRING (140.7441914 -36.9546645, 140.7447942 -36.95447, 140.7464053 -36.9539648)",,,,
41666397,Macdonnell Street,residential,False,True,157.846,50,"LINESTRING (140.7390197 -36.955359, 140.7372583 -36.9551748)",,,,
"[455877829, 455877827, 47805269, 41666397]","['Ormerod Street', 'Macdonnell Street']",residential,False,"[False, True]",200.34199999999998,50,"LINESTRING (140.7390197 -36.955359, 140.7394509 -36.9554018, 140.7395648 -36.9554134, 140.7396263 -36.9554319, 140.7396596 -36.9554462, 140.7396911 -36.955457, 140.7397588 -36.9554893, 140.7399356 -36.9556052, 140.7401146 -36.9557504, 140.740168 -36.955785, 140.7402231 -36.9558097, 140.740302 -36.9558322, 140.7403689 -36.9558333, 140.7404375 -36.9558284, 140.7405451 -36.955813, 140.7407637 -36.955765, 140.7410664 -36.9556886)",yes,,,
47728268,Moore Street,residential,False,False,141.392,50,"LINESTRING (140.7390197 -36.955359, 140.7391308 -36.9545692, 140.7391975 -36.9540954)",,,,
41666193,Butler Terrace,residential,False,False,104.983,50,"LINESTRING (140.7363225 -36.9602106, 140.7373484 -36.960679)",,,,
47639372,Handyside Street,residential,False,False,155.142,50,"LINESTRING (140.7363225 -36.9602106, 140.7379227 -36.9596523)",,,,
41666193,Butler Terrace,residential,False,False,131.475,50,"LINESTRING (140.7373484 -36.960679, 140.7386332 -36.9612656)",,,,
41666193,Butler Terrace,residential,False,True,104.983,50,"LINESTRING (140.7373484 -36.960679, 140.7363225 -36.9602106)",,,,
47639380,Findlater Crescent,residential,False,False,123.82700000000001,50,"LINESTRING (140.7373484 -36.960679, 140.7371059 -36.9610561, 140.7368813 -36.9612474, 140.736532 -36.9613472, 140.7363684 -36.9613542)",,,,
41666193,Butler Terrace,residential,False,False,39.328,50,"LINESTRING (140.7386332 -36.9612656, 140.7390175 -36.9614411)",,,,
41666193,Butler Terrace,residential,False,True,131.475,50,"LINESTRING (140.7386332 -36.9612656, 140.7373484 -36.960679)",,,,
47639371,McCoy Street,residential,False,False,190.174,50,"LINESTRING (140.7386332 -36.9612656, 140.7379227 -36.9596523)",,,,
41666193,Butler Terrace,residential,False,True,39.328,50,"LINESTRING (140.7390175 -36.9614411, 140.7386332 -36.9612656)",,,,
47639373,Magarey Crescent,residential,False,False,224.368,50,"LINESTRING (140.7390175 -36.9614411, 140.7402748 -36.9596912)",,,,
47639370,Livingston Street,residential,False,False,240.717,50,"LINESTRING (140.7374419 -36.9586386, 140.7399499 -36.95782)",,,,
47639371,McCoy Street,residential,False,False,122.086,50,"LINESTRING (140.7374419 -36.9586386, 140.7369369 -36.9576175)",,,,
47639371,McCoy Street,residential,False,True,120.542,50,"LINESTRING (140.7374419 -36.9586386, 140.7379227 -36.9596523)",,,,
47639370,Livingston Street,residential,False,True,240.717,50,"LINESTRING (140.7399499 -36.95782, 140.7374419 -36.9586386)",,,,
47639373,Magarey Crescent,residential,False,False,36.54,50,"LINESTRING (140.7399499 -36.95782, 140.7398039 -36.9575128)",,,,
47639373,Magarey Crescent,residential,False,True,63.802,50,"LINESTRING (140.7399499 -36.95782, 140.7402298 -36.9583484)",,,,
47639371,McCoy Street,residential,False,False,120.542,50,"LINESTRING (140.7379227 -36.9596523, 140.7374419 -36.9586386)",,,,
47639371,McCoy Street,residential,False,True,190.174,50,"LINESTRING (140.7379227 -36.9596523, 140.7386332 -36.9612656)",,,,
47639372,Handyside Street,residential,False,False,238.044,50,"LINESTRING (140.7379227 -36.9596523, 140.7404178 -36.9588726)",,,,
47639372,Handyside Street,residential,False,True,155.142,50,"LINESTRING (140.7379227 -36.9596523, 140.7363225 -36.9602106)",,,,
47639371,McCoy Street,residential,False,True,122.086,50,"LINESTRING (140.7369369 -36.9576175, 140.7374419 -36.9586386)",,,,
455877826,Smith Street,primary,False,True,99.617,60,"LINESTRING (140.7369369 -36.9576175, 140.7379818 -36.9572928)",,2,B240,
47639372,Handyside Street,residential,False,True,238.044,50,"LINESTRING (140.7404178 -36.9588726, 140.7379227 -36.9596523)",,,,
47639373,Magarey Crescent,residential,False,False,60.635,50,"LINESTRING (140.7404178 -36.9588726, 140.7402298 -36.9583484)",,,,
47639373,Magarey Crescent,residential,False,True,94.319,50,"LINESTRING (140.7404178 -36.9588726, 140.7404853 -36.9590617, 140.7402748 -36.9596912)",,,,
47639373,Magarey Crescent,residential,False,True,224.368,50,"LINESTRING (140.7402748 -36.9596912, 140.7390175 -36.9614411)",,,,
47658516,Pethick Street,residential,False,False,73.512,50,"LINESTRING (140.7402748 -36.9596912, 140.740988 -36.9600263)",,,,
47639373,Magarey Crescent,residential,False,False,94.319,50,"LINESTRING (140.7402748 -36.9596912, 140.7404853 -36.9590617, 140.7404178 -36.9588726)",,,,
47639373,Magarey Crescent,residential,False,False,63.802,50,"LINESTRING (140.7402298 -36.9583484, 140.7399499 -36.95782)",,,,
47639373,Magarey Crescent,residential,False,True,60.635,50,"LINESTRING (140.7402298 -36.9583484, 140.7404178 -36.9588726)",,,,
47658513,Church Street,residential,False,False,41.221,50,"LINESTRING (140.7402298 -36.9583484, 140.7406811 -36.9584343)",,,,
47639373,Magarey Crescent,residential,False,False,84.873,50,"LINESTRING (140.7398039 -36.9575128, 140.7394767 -36.9567957)",,,,
47639373,Magarey Crescent,residential,False,True,36.54,50,"LINESTRING (140.7398039 -36.9575128, 140.7399499 -36.95782)",,,,
47639375,Robertson Street,residential,False,False,179.468,50,"LINESTRING (140.7398039 -36.9575128, 140.7416708 -36.9568968)",,,,
47639373,Magarey Crescent,residential,False,True,84.873,50,"LINESTRING (140.7394767 -36.9567957, 140.7398039 -36.9575128)",,,,
455877826,Smith Street,primary,False,False,143.871,60,"LINESTRING (140.7394767 -36.9567957, 140.7379818 -36.9572928)",,2,B240,
455877826,Smith Street,primary,False,True,134.359,60,"LINESTRING (140.7394767 -36.9567957, 140.7404771 -36.956486, 140.7408869 -36.9563596)",,2,B240,
47639374,,residential,True,False,12.33,,"LINESTRING (140.7417121 -36.9567976, 140.7417395 -36.9567941, 140.7417668 -36.9567981, 140.7417909 -36.9568091, 140.741809 -36.9568259, 140.741819 -36.9568466)",,,,roundabout
47639374,,residential,True,False,10.228,,"LINESTRING (140.741819 -36.9568466, 140.7418198 -36.9568696, 140.7418106 -36.9568913, 140.7417925 -36.9569092, 140.7417678 -36.9569211)",,,,roundabout
47639376,Robertson Street,residential,False,False,218.43,50,"LINESTRING (140.741819 -36.9568466, 140.7440215 -36.9561676, 140.7441123 -36.9561391)",,,,
47639374,,residential,True,False,9.693000000000001,,"LINESTRING (140.7417678 -36.9569211, 140.7417411 -36.9569253, 140.7417141 -36.9569224, 140.7416897 -36.9569125, 140.7416708 -36.9568968)",,,,roundabout
"[47658512, 683736845]",McRae Street,residential,False,False,244.60899999999998,50,"LINESTRING (140.7417678 -36.9569211, 140.7420672 -36.957506, 140.7422695 -36.9579321, 140.7426787 -36.9587707, 140.7427766 -36.9589678)",,,,
47639375,Robertson Street,residential,False,True,179.468,50,"LINESTRING (140.7416708 -36.9568968, 140.7398039 -36.9575128)",,,,
47639374,,residential,True,False,8.925,,"LINESTRING (140.7416708 -36.9568968, 140.7416599 -36.9568788, 140.7416564 -36.9568589, 140.7416606 -36.9568391, 140.741672 -36.9568212)",,,,roundabout
47658518,Jones Street,residential,False,False,82.66,,"LINESTRING (140.7441123 -36.9561391, 140.7437902 -36.9554417)",,,,
47639376,Robertson Street,residential,False,False,195.295,50,"LINESTRING (140.7441123 -36.9561391, 140.7441882 -36.9561148, 140.746157 -36.9554949)",,,,
47639376,Robertson Street,residential,False,True,218.43,50,"LINESTRING (140.7441123 -36.9561391, 140.7440215 -36.9561676, 140.741819 -36.9568466)",,,,
47658518,Jones Street,residential,False,True,62.816,,"LINESTRING (140.7441123 -36.9561391, 140.7443185 -36.9565826, 140.7443982 -36.9566487)",,,,
47658523,Rolland Street,residential,False,True,73.329,,"LINESTRING (140.746157 -36.9554949, 140.7458937 -36.9548699)",,,,
219725113,Rolland Street,residential,False,False,49.603,50,"LINESTRING (140.746157 -36.9554949, 140.7463387 -36.9559167)",,,,
47639376,Robertson Street,residential,False,True,195.295,50,"LINESTRING (140.746157 -36.9554949, 140.7441882 -36.9561148, 140.7441123 -36.9561391)",,,,
