osmid,oneway,name,highway,reversed,length,maxspeed,lanes,ref,geometry,junction
4725141,True,Corio Street,trunk,False,10.327,,,,"LINESTRING (145.403384 -36.3815752, 145.4033665 -36.381667)",
20123698,True,Welsford Street,trunk,False,10.94,50,,,"LINESTRING (145.3979275 -36.3808318, 145.3979078 -36.3809289)",
"[985651744, 578237902, 51473759]",True,High Street,trunk,False,122.351,"['40', '50']",2,A300,"LINESTRING (145.3979275 -36.3808318, 145.3980425 -36.380847, 145.3980714 -36.3808508, 145.3985137 -36.3809163, 145.3986505 -36.3809386, 145.3987926 -36.3809659, 145.3991485 -36.3810163, 145.3991821 -36.381021, 145.3992708 -36.3810335)",
134191734,False,Welsford Street,unclassified,True,10.519,60,,,"LINESTRING (145.3971946 -36.384994, 145.3970954 -36.3850447)",
20123364,True,Sobraon Street,unclassified,False,50.458,60,,,"LINESTRING (145.3971946 -36.384994, 145.3972778 -36.3850264, 145.397289 -36.3850281, 145.3974567 -36.3850618, 145.3977324 -36.385126)",
220225899,False,Rowe Street,unclassified,True,8.987,50,,,"LINESTRING (145.4031438 -36.3826945, 145.4030459 -36.3826766)",
220225895,True,Corio Street,unclassified,False,102.88600000000001,50,,,"LINESTRING (145.4031438 -36.3826945, 145.4031218 -36.382807, 145.4030621 -36.3831094, 145.4029736 -36.3835227, 145.4029696 -36.3835413, 145.4029713 -36.3836082)",
50196423,False,Maude Street,unclassified,True,70.684,40,,,"LINESTRING (145.4005351 -36.3823676, 145.4006582 -36.3817397)",
220225897,False,Maude Street,unclassified,False,72.34,40,,,"LINESTRING (145.4005351 -36.3823676, 145.4005165 -36.3824615, 145.4004029 -36.3830094)",
"[4725144, 866100201]",False,Rowe Street,unclassified,False,227.86600000000004,50,,,"LINESTRING (145.4005351 -36.3823676, 145.400629 -36.3823777, 145.4009402 -36.3824182, 145.4009632 -36.3824168, 145.4010174 -36.3824062, 145.4010406 -36.3824058, 145.4012645 -36.3824345, 145.4014868 -36.3824643, 145.4025074 -36.3826014, 145.4029569 -36.382662, 145.4029872 -36.3826663, 145.4030459 -36.3826766)",
50196480,True,Vaughan Street,trunk_link,False,8.919,,,,"LINESTRING (145.3989314 -36.383206, 145.398833 -36.3831934)",
"[134725234, 143785911]",True,Wyndham Street,trunk,False,224.69900000000004,"['60', '50']",2,A39,"LINESTRING (145.3989314 -36.383206, 145.398917 -36.3832796, 145.3988874 -36.3834315, 145.3988432 -36.383641, 145.3987976 -36.3838612, 145.398752 -36.3840685, 145.3987311 -36.3841713, 145.3986863 -36.3843913, 145.3986541 -36.3845525, 145.3986058 -36.3847941, 145.3985545 -36.3850501, 145.3985463 -36.3850932, 145.3985259 -36.3852002)",
578237163,True,Wyndham Street,trunk,False,10.34,50,2,A39,"LINESTRING (145.398833 -36.3831934, 145.3988514 -36.3831016)",
