osmid,ref,highway,junction,oneway,reversed,length,geometry,lanes,name,maxspeed,bridge,width
82575736,B72;B23,primary,roundabout,True,False,18.383,"LINESTRING (149.1277771 -36.2356039, 149.1277382 -36.2356144, 149.1276972 -36.2356145, 149.1276583 -36.2356042, 149.1276253 -36.2355846, 149.1276016 -36.2355576)",,,,,
302016563,B72;B23,primary,,False,True,96.058,"LINESTRING (149.1277771 -36.2356039, 149.1278126 -36.2356565, 149.1282897 -36.2363624)",2,Bombala Street,60,,
302016563,B72;B23,primary,,False,False,61.029,"LINESTRING (149.1302187 -36.2390659, 149.1298793 -36.2385902)",2,Bombala Street,60,,
302016563,B72;B23,primary,,False,True,68.546,"LINESTRING (149.1302187 -36.2390659, 149.1305999 -36.2396002)",2,Bombala Street,60,,
13412453,,residential,,False,True,195.454,"LINESTRING (149.1302187 -36.2390659, 149.1300945 -36.2391226, 149.1284686 -36.2398642, 149.1283217 -36.2399312)",,Denison Street,,,
23299573,,residential,,False,False,140.1,"LINESTRING (149.1302187 -36.2390659, 149.130352 -36.2390034, 149.1315693 -36.2384328)",,Denison Street,,,
302016563,B72;B23,primary,,False,False,62.248,"LINESTRING (149.1309461 -36.2400854, 149.1305999 -36.2396002)",2,Bombala Street,60,,
6315096,,residential,,False,True,71.641,"LINESTRING (149.1268841 -36.2378602, 149.1272529 -36.2384317)",,Vale Street,,,
6315096,,residential,,False,False,79.929,"LINESTRING (149.1268841 -36.2378602, 149.1267794 -36.2377642, 149.1266796 -36.2377187, 149.1265639 -36.2376699, 149.1263393 -36.2375823, 149.1262315 -36.237545, 149.1261399 -36.2374816)",,Vale Street,,,
23299374,,residential,,False,False,192.347,"LINESTRING (149.1268841 -36.2378602, 149.1271823 -36.2377302, 149.1286255 -36.2370657, 149.1287504 -36.2370081)",,Murray Street,,,
23299374,,residential,,False,True,209.675,"LINESTRING (149.1268841 -36.2378602, 149.1267542 -36.237939, 149.1263912 -36.2381592, 149.1261825 -36.2382579, 149.1259015 -36.2383907, 149.125625 -36.238521, 149.1254039 -36.2386178, 149.1251412 -36.2387137, 149.1250105 -36.2387558, 149.1248688 -36.2388015)",,Murray Street,,,
6315096,,residential,,False,False,118.25500000000001,"LINESTRING (149.1261399 -36.2374816, 149.1260774 -36.2374087, 149.1255392 -36.2366648, 149.1254687 -36.2365665)",,Vale Street,,,
6315096,,residential,,False,True,79.929,"LINESTRING (149.1261399 -36.2374816, 149.1262315 -36.237545, 149.1263393 -36.2375823, 149.1265639 -36.2376699, 149.1266796 -36.2377187, 149.1267794 -36.2377642, 149.1268841 -36.2378602)",,Vale Street,,,
82585483,,unclassified,,False,True,230.08800000000002,"LINESTRING (149.1261399 -36.2374816, 149.126271 -36.2374204, 149.1264323 -36.2373452, 149.1268312 -36.237155, 149.1269934 -36.2370777, 149.1270653 -36.2370434, 149.1271491 -36.236984, 149.1274336 -36.2367821, 149.1281596 -36.2364262, 149.1282897 -36.2363624)",,Murray Lane,,,
23299573,,residential,,False,True,140.1,"LINESTRING (149.1315693 -36.2384328, 149.130352 -36.2390034, 149.1302187 -36.2390659)",,Denison Street,,,
23299374,,residential,,False,False,170.964,"LINESTRING (149.1287504 -36.2370081, 149.1288846 -36.2369467, 149.130408 -36.2362489)",,Murray Street,,,
23299374,,residential,,False,True,192.347,"LINESTRING (149.1287504 -36.2370081, 149.1286255 -36.2370657, 149.1271823 -36.2377302, 149.1268841 -36.2378602)",,Murray Street,,,
302016563,B72;B23,primary,,False,False,82.84,"LINESTRING (149.1287504 -36.2370081, 149.1286833 -36.236914, 149.1282897 -36.2363624)",2,Bombala Street,60,,
302016563,B72;B23,primary,,False,True,68.99600000000001,"LINESTRING (149.1287504 -36.2370081, 149.1288299 -36.2371195, 149.1291341 -36.2375459)",2,Bombala Street,60,,
13412455,,residential,,False,False,163.702,"LINESTRING (149.12948 -36.2380219, 149.1296038 -36.2379628, 149.1300123 -36.237768, 149.1310511 -36.2372725)",,Egan Street,,,
13412455,,residential,,False,True,194.75900000000001,"LINESTRING (149.12948 -36.2380219, 149.1293494 -36.238083, 149.1277489 -36.238832, 149.1276017 -36.2389009)",,Egan Street,,,
302016563,B72;B23,primary,,False,False,61.357,"LINESTRING (149.12948 -36.2380219, 149.1294004 -36.2379191, 149.1291341 -36.2375459)",2,Bombala Street,60,,
