osmid,name,highway,maxspeed,oneway,reversed,length,geometry,junction,width
175776199,Parkes Street,tertiary,50,False,False,93.442,"LINESTRING (150.9832898 -34.190256, 150.9823572 -34.1905893)",,
26964868,Hume Drive,residential,,False,False,340.74899999999997,"LINESTRING (150.9832898 -34.190256, 150.9833237 -34.1903155, 150.9835764 -34.1907833, 150.9836077 -34.1908308, 150.9836529 -34.1908682, 150.9837347 -34.1909115, 150.9838225 -34.1909335, 150.9839404 -34.1909261, 150.9840677 -34.1908865, 150.9843214 -34.1907964, 150.9844697 -34.1907738, 150.9851262 -34.1907188, 150.9852295 -34.1907015, 150.9853625 -34.1906552, 150.9854904 -34.1905774, 150.9858 -34.1903307, 150.9859804 -34.1902089, 150.9862107 -34.190084)",,
175776199,Parkes Street,tertiary,50,False,True,231.524,"LINESTRING (150.9832898 -34.190256, 150.9843741 -34.1898269, 150.984771 -34.1896296, 150.9854585 -34.1892132)",,
175776199,Parkes Street,tertiary,50,False,False,169.38799999999998,"LINESTRING (150.9871654 -34.187803, 150.9870329 -34.1881527, 150.9869506 -34.1882974, 150.986822 -34.1884322, 150.9862261 -34.1887652, 150.9860031 -34.1889032)",,
175776199,Parkes Street,tertiary,50,False,True,125.392,"LINESTRING (150.9871654 -34.187803, 150.9872572 -34.1874748, 150.9872339 -34.1872241, 150.9872156 -34.1868794, 150.9871952 -34.1866858)",,
"[256130105, 229363310]","['Walker Street', 'Robertson Street']",residential,50,False,False,609.4359999999999,"LINESTRING (150.9871654 -34.187803, 150.9865807 -34.187695, 150.9846099 -34.1874172, 150.9845345 -34.187405, 150.9842569 -34.1873887, 150.9834759 -34.1876413, 150.9828169 -34.1878961, 150.9825222 -34.1880178, 150.9823896 -34.1880741, 150.982208 -34.1881735, 150.9821391 -34.1883303, 150.982006 -34.1889406, 150.981942 -34.1893163)",,
26964873,Harper Street,residential,,False,False,59.377,"LINESTRING (150.9862107 -34.190084, 150.9858474 -34.1896426)",,
26964868,Hume Drive,residential,,False,True,340.749,"LINESTRING (150.9862107 -34.190084, 150.9859804 -34.1902089, 150.9858 -34.1903307, 150.9854904 -34.1905774, 150.9853625 -34.1906552, 150.9852295 -34.1907015, 150.9851262 -34.1907188, 150.9844697 -34.1907738, 150.9843214 -34.1907964, 150.9840677 -34.1908865, 150.9839404 -34.1909261, 150.9838225 -34.1909335, 150.9837347 -34.1909115, 150.9836529 -34.1908682, 150.9836077 -34.1908308, 150.9835764 -34.1907833, 150.9833237 -34.1903155, 150.9832898 -34.190256)",,
175776199,Parkes Street,tertiary,50,False,True,60.806,"LINESTRING (150.9854585 -34.1892132, 150.9860031 -34.1889032)",,
26964873,Harper Street,residential,,False,True,59.731,"LINESTRING (150.9854585 -34.1892132, 150.9855055 -34.1892519, 150.9858474 -34.1896426)",,
175776199,Parkes Street,tertiary,50,False,False,231.524,"LINESTRING (150.9854585 -34.1892132, 150.984771 -34.1896296, 150.9843741 -34.1898269, 150.9832898 -34.190256)",,
26964873,Harper Street,residential,,False,True,59.377,"LINESTRING (150.9858474 -34.1896426, 150.9862107 -34.190084)",,
26964873,Harper Street,residential,,False,False,59.731,"LINESTRING (150.9858474 -34.1896426, 150.9855055 -34.1892519, 150.9854585 -34.1892132)",,
