osmid,ref,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,width,junction
28838522,B64,Camp Street,primary,50,False,True,13.526,,"LINESTRING (148.1574943 -33.8943027, 148.1573909 -33.8942165)",,
688277144,B64,Camp Street,primary,50,False,False,36.007000000000005,2,"LINESTRING (148.1574943 -33.8943027, 148.1576472 -33.8944156, 148.1577274 -33.8944661, 148.1578005 -33.8945018)",,
688277145,,Camp Street,residential,50,True,False,48.074,1,"LINESTRING (148.1574943 -33.8943027, 148.1571643 -33.8944023, 148.1570516 -33.8944268, 148.1570009 -33.8944402)",,
604044566,B64,Alexandra Street,primary,50,False,False,34.328,2,"LINESTRING (148.1567958 -33.8935269, 148.1568566 -33.8935969, 148.156896 -33.8936423, 148.1569919 -33.8937885)",,
26946129,,Weddin Street,residential,,False,True,52.486999999999995,,"LINESTRING (148.1627811 -33.8946172, 148.1627948 -33.8946749, 148.1627941 -33.8947315, 148.1627857 -33.8947896, 148.1627366 -33.8950849)",,
192920545,,Short Street,residential,,False,False,28.465,,"LINESTRING (148.1627811 -33.8946172, 148.1628717 -33.8945817, 148.1629624 -33.8945363, 148.163038 -33.8944791)",,
"[942198795, 1019427155]",,Burrangong Street,residential,,False,True,55.84,,"LINESTRING (148.1627811 -33.8946172, 148.162753 -33.8945621, 148.16272 -33.8945061, 148.1626914 -33.8944653, 148.1624997 -33.894173)",,
841592450,,Weddin Street,secondary,50,False,False,132.166,2,"LINESTRING (148.1615729 -33.9012324, 148.1616816 -33.9006755, 148.1618019 -33.9000591)",,
841592451,,South Street,residential,,False,False,115.064,,"LINESTRING (148.1615729 -33.9012324, 148.1614003 -33.9012547, 148.1603425 -33.90111)",,
26946140,,West Street,residential,,False,True,272.909,,"LINESTRING (148.1554431 -33.899189, 148.1555864 -33.8984678, 148.1559207 -33.8967669)",,
1044457111,,Rose Street,residential,,False,False,133.107,,"LINESTRING (148.1554431 -33.899189, 148.1561326 -33.899284, 148.156866 -33.8993842)",,
26946079,,Rose Street,residential,,False,True,6.776,,"LINESTRING (148.1618019 -33.9000591, 148.1617294 -33.9000495)",,
26946079,,Rose Street,residential,,False,False,136.62400000000002,,"LINESTRING (148.1618019 -33.9000591, 148.1625335 -33.9001548, 148.1632642 -33.9002503)",,
841592450,,Weddin Street,secondary,50,False,False,137.42000000000002,2,"LINESTRING (148.1618019 -33.9000591, 148.1619182 -33.8994515, 148.1620296 -33.8988378)",,
841592450,,Weddin Street,secondary,50,False,True,132.166,2,"LINESTRING (148.1618019 -33.9000591, 148.1616816 -33.9006755, 148.1615729 -33.9012324)",,
26946084,,Warraderry Street,residential,,False,False,9.022,,"LINESTRING (148.1647248 -33.9004303, 148.1647092 -33.9005104)",,
26946084,,Warraderry Street,residential,,False,True,82.184,,"LINESTRING (148.1647248 -33.9004303, 148.1648641 -33.8997003)",,
26946079,,Rose Street,residential,,False,True,136.284,,"LINESTRING (148.1647248 -33.9004303, 148.1639939 -33.9003362, 148.1632642 -33.9002503)",,
26946080,,East Street,residential,,False,True,29.366,,"LINESTRING (148.1646477 -33.8929084, 148.1646068 -33.8931703)",,
219168959,,Melyra Street,residential,,False,False,137.318,,"LINESTRING (148.1646477 -33.8929084, 148.1653825 -33.8930036, 148.165784 -33.8930556, 148.1661216 -33.8930499)",,
219168959,,Melyra Street,residential,,False,True,101.447,,"LINESTRING (148.1646477 -33.8929084, 148.163931 -33.892814, 148.1635622 -33.8927654)",,
219168959,,Melyra Street,residential,,False,True,137.318,,"LINESTRING (148.1661216 -33.8930499, 148.165784 -33.8930556, 148.1653825 -33.8930036, 148.1646477 -33.8929084)",,
942198797,,Warraderry Street,residential,,True,False,131.169,,"LINESTRING (148.1661216 -33.8930499, 148.1661755 -33.8931539, 148.1660908 -33.8936, 148.1659754 -33.8942073)",,
26946085,,Wood Street,residential,,False,False,141.452,,"LINESTRING (148.1578005 -33.8945018, 148.1577874 -33.8945709, 148.157671 -33.8951487, 148.1575486 -33.8957566)",,
688277144,B64,Camp Street,primary,50,False,False,223.149,2,"LINESTRING (148.1578005 -33.8945018, 148.1578932 -33.8945338, 148.1579913 -33.8945573, 148.1580972 -33.8945766, 148.158652 -33.8946488, 148.1601781 -33.8948497)",,
688277144,B64,Camp Street,primary,50,False,True,36.007000000000005,2,"LINESTRING (148.1578005 -33.8945018, 148.1577274 -33.8944661, 148.1576472 -33.8944156, 148.1574943 -33.8943027)",,
26946085,,Wood Street,residential,,False,False,139.046,,"LINESTRING (148.156866 -33.8993842, 148.156623 -33.9006183)",,
1044457111,,Rose Street,residential,,False,False,223.654,,"LINESTRING (148.156866 -33.8993842, 148.1592555 -33.8997189)",,
26946085,,Wood Street,residential,,False,True,134.51600000000002,,"LINESTRING (148.156866 -33.8993842, 148.1569751 -33.8987945, 148.1570912 -33.898189)",,
1044457111,,Rose Street,residential,,False,True,133.107,,"LINESTRING (148.156866 -33.8993842, 148.1561326 -33.899284, 148.1554431 -33.899189)",,
26946085,,Wood Street,residential,,False,True,139.046,,"LINESTRING (148.156623 -33.9006183, 148.156866 -33.8993842)",,
841592451,,South Street,residential,,False,True,66.788,,"LINESTRING (148.156623 -33.9006183, 148.1573372 -33.9007151)",,
841592451,,South Street,residential,,False,False,158.738,,"LINESTRING (148.1590346 -33.9009455, 148.1573372 -33.9007151)",,
841592451,,South Street,residential,,False,True,10.242,,"LINESTRING (148.1590346 -33.9009455, 148.1591452 -33.900953)",,
26946086,,Forbes Street,residential,,True,False,137.90699999999998,,"LINESTRING (148.1590346 -33.9009455, 148.1591445 -33.9003354, 148.1592555 -33.8997189)",,
1044457111,,Rose Street,residential,,False,False,14.304,,"LINESTRING (148.1592555 -33.8997189, 148.1594083 -33.8997404)",,
1044457111,,Rose Street,residential,,False,True,223.654,,"LINESTRING (148.1592555 -33.8997189, 148.156866 -33.8993842)",,
26946086,,Forbes Street,residential,,True,False,137.777,,"LINESTRING (148.1592555 -33.8997189, 148.1593705 -33.8991069, 148.159486 -33.8984947)",,
26946088,,Middle Street,residential,50,False,False,224.442,,"LINESTRING (148.1575486 -33.8957566, 148.1599503 -33.8960728)",,
26946085,,Wood Street,residential,,False,False,134.889,,"LINESTRING (148.1575486 -33.8957566, 148.1574318 -33.8963639, 148.1573181 -33.8969545)",,
26946085,,Wood Street,residential,,False,True,141.452,,"LINESTRING (148.1575486 -33.8957566, 148.157671 -33.8951487, 148.1577874 -33.8945709, 148.1578005 -33.8945018)",,
26946088,,Middle Street,residential,50,False,True,81.742,,"LINESTRING (148.1609614 -33.8962002, 148.1600859 -33.8960893)",,
