osmid,oneway,ref,name,highway,maxspeed,access,reversed,length,geometry,lanes,width,junction
173049625,False,B101,Main Street,primary,60,yes,False,124.021,"LINESTRING (140.3491641 -37.5930118, 140.3490725 -37.5929499, 140.3479751 -37.5924168)",,,
"[173105553, 1218958538]",False,B101,Ridge Terrace,primary,50,,False,92.046,"LINESTRING (140.3491641 -37.5930118, 140.3496379 -37.5927893, 140.3500599 -37.5925859)",2,7.5,
637109123,False,,Ridge Terrace,secondary,50,,True,171.524,"LINESTRING (140.3491641 -37.5930118, 140.3484263 -37.5933494, 140.34829 -37.5934118, 140.3474783 -37.5937833)",2,7.5,
36817652,False,,Short Street,tertiary,50,,False,97.909,"LINESTRING (140.3563685 -37.5967413, 140.3556707 -37.5974266)",,,
36817652,False,,Short Street,tertiary,50,,True,105.736,"LINESTRING (140.3563685 -37.5967413, 140.357125 -37.5960031)",,,
221684447,False,B1,George Street,primary,60,,False,271.88,"LINESTRING (140.3563685 -37.5967413, 140.3563134 -37.5966862, 140.3562702 -37.5966527, 140.3562406 -37.5966298, 140.356157 -37.5965744, 140.3555737 -37.5961859, 140.3551421 -37.5958985, 140.3547796 -37.5956607, 140.3541225 -37.5952248, 140.3540979 -37.5952085, 140.3540205 -37.5951572)",2,,
637109121,False,B1,Adelaide Road,primary,110,,False,143.10999999999999,"LINESTRING (140.3543701 -37.5912032, 140.3538791 -37.5912923, 140.3535581 -37.5913507, 140.3534243 -37.5913776, 140.3527891 -37.591498)",2,,
36817652,False,,Short Street,tertiary,50,,False,119.67,"LINESTRING (140.3556707 -37.5974266, 140.3547935 -37.5982483)",,,
36817652,False,,Short Street,tertiary,50,,True,97.909,"LINESTRING (140.3556707 -37.5974266, 140.3563685 -37.5967413)",,,
48488123,False,,Davenport Street,residential,,,False,273.631,"LINESTRING (140.3556707 -37.5974266, 140.354039 -37.5963402, 140.3532929 -37.5958435)",,,
168961741,False,,North Terrace,residential,50,,True,106.971,"LINESTRING (140.3507783 -37.5941535, 140.3518208 -37.5936604)",,,
48488123,False,,Davenport Street,residential,,,True,102.219,"LINESTRING (140.3507783 -37.5941535, 140.3508984 -37.5942593, 140.3516511 -37.5947573)",,,
168961741,False,,North Terrace,residential,50,,False,138.12800000000001,"LINESTRING (140.3507783 -37.5941535, 140.3502492 -37.5943986, 140.3494744 -37.5947576, 140.3494249 -37.5947805)",,,
86392909,False,,Benton Street,residential,,,False,373.835,"LINESTRING (140.3483648 -37.5952715, 140.3516086 -37.5974388)",,,
168961741,False,,North Terrace,residential,50,,True,108.186,"LINESTRING (140.3483648 -37.5952715, 140.3494249 -37.5947805)",,,
36817653,False,,Stuckey Street,residential,50,,True,99.931,"LINESTRING (140.3532929 -37.5958435, 140.3525651 -37.5965328)",,,
48488123,False,,Davenport Street,residential,,,False,128.505,"LINESTRING (140.3532929 -37.5958435, 140.3521733 -37.5951028)",,,
48488123,False,,Davenport Street,residential,,,True,273.631,"LINESTRING (140.3532929 -37.5958435, 140.354039 -37.5963402, 140.3556707 -37.5974266)",,,
619214374,False,,Glen Street,tertiary,50,,False,99.665,"LINESTRING (140.3532929 -37.5958435, 140.3539372 -37.5952357, 140.3539591 -37.5952151, 140.3540205 -37.5951572)",,,
221684447,False,B1,George Street,primary,60,,False,255.464,"LINESTRING (140.3540205 -37.5951572, 140.353939 -37.5951017, 140.3539187 -37.5950879, 140.3526161 -37.5942015, 140.3518208 -37.5936604)",2,,
