osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,junction,bridge,lanes
"[445591784, 697509970]",True,12,Remembrance Driveway,primary,"['60', '50']",False,138.034,"LINESTRING (150.5937204 -34.2221352, 150.5937468 -34.2220634, 150.5937819 -34.2220018, 150.5938144 -34.2219008, 150.5939546 -34.2211309, 150.593965 -34.2210959, 150.5940182 -34.2209223)",,,
1097449127,True,12,,primary,,False,13.192,"LINESTRING (150.5937204 -34.2221352, 150.5937538 -34.2221298, 150.5937876 -34.2221333, 150.5938184 -34.2221454, 150.593843 -34.2221649, 150.593848 -34.2221692)",roundabout,,
"[43195968, 30738858, 77116791]",False,,Thirlmere Way,tertiary,,False,226.28300000000002,"LINESTRING (150.5899135 -34.2216627, 150.5904017 -34.221733, 150.5914742 -34.2218835, 150.5921233 -34.2219722, 150.5923387 -34.2220085)",,yes,
43195968,False,,Thirlmere Way,tertiary,,True,79.29700000000001,"LINESTRING (150.5899135 -34.2216627, 150.5898156 -34.2216475, 150.5890658 -34.2215314)",,,
44665548,False,,Pitt Street,residential,50,True,119.509,"LINESTRING (150.5899135 -34.2216627, 150.5899052 -34.2217257, 150.5898815 -34.2219024, 150.5897701 -34.2227309)",,,
"[832489924, 1221221935]",False,12,Remembrance Driveway,primary,50,False,198.26600000000002,"LINESTRING (150.5899738 -34.2280681, 150.5894274 -34.2286706, 150.5888256 -34.2293342, 150.5886628 -34.2294829)",,,
832489924,False,12,Remembrance Driveway,primary,50,True,118.79400000000001,"LINESTRING (150.5899738 -34.2280681, 150.5903105 -34.2276962, 150.5907503 -34.2272142)",,,
"[42745552, 832489926]",False,,Rockford Road,unclassified,80,True,96.045,"LINESTRING (150.5899738 -34.2280681, 150.5900288 -34.2281024, 150.5900677 -34.228139, 150.5901119 -34.2282133, 150.5902704 -34.2286139, 150.5903658 -34.2288551)",,,
259042813,False,,York Street,residential,50,True,200.08800000000002,"LINESTRING (150.5892816 -34.2269982, 150.5896346 -34.2265417, 150.5900795 -34.2259427, 150.5902679 -34.225689, 150.5904351 -34.2254724)",,,
832489925,False,,Bronzewing Street,residential,50,False,92.59700000000001,"LINESTRING (150.5892816 -34.2269982, 150.5892059 -34.2269996, 150.5890241 -34.2269936, 150.5889531 -34.2269838, 150.5888107 -34.2269641, 150.5882849 -34.2268912)",,,
"[43195965, 832489925]",False,,Bronzewing Street,residential,50,True,64.275,"LINESTRING (150.5892816 -34.2269982, 150.5896212 -34.227043, 150.589972 -34.2270892)",,,2
43195966,False,,Castlereagh Street,residential,50,False,124.167,"LINESTRING (150.5871313 -34.2245742, 150.5877523 -34.2235826)",,,
43195966,False,,Castlereagh Street,residential,50,True,136.155,"LINESTRING (150.5871313 -34.2245742, 150.5862171 -34.2255375)",,,
44665562,False,,Market Street,residential,,False,138.704,"LINESTRING (150.5871313 -34.2245742, 150.5886156 -34.2247973)",,,
43195965,False,,Bronzewing Street,residential,50,False,73.237,"LINESTRING (150.5907503 -34.2272142, 150.5906434 -34.2271741, 150.589972 -34.2270892)",,,2
832489924,False,12,Remembrance Driveway,primary,50,False,118.79400000000001,"LINESTRING (150.5907503 -34.2272142, 150.5903105 -34.2276962, 150.5899738 -34.2280681)",,,
"[696591915, 832489924, 445591787]",False,12,Remembrance Driveway,primary,50,True,145.861,"LINESTRING (150.5907503 -34.2272142, 150.5910451 -34.2268974, 150.5911674 -34.226776, 150.5916037 -34.2262642, 150.5916965 -34.2261619)",,,
576266162,False,,Thirlmere Way,tertiary,,True,330.916,"LINESTRING (150.588956 -34.2215154, 150.5854132 -34.2209911)",,,
43195969,True,,,tertiary,,False,9.721,"LINESTRING (150.588956 -34.2215154, 150.58896 -34.2215012, 150.5889691 -34.2214888, 150.5889825 -34.2214793, 150.5889988 -34.2214737, 150.5890164 -34.2214725, 150.5890335 -34.2214759)",roundabout,,
648063894,False,,Thirlmere Way,tertiary,,True,5.15,"LINESTRING (150.5923387 -34.2220085, 150.5923925 -34.2220214)",,,
"[43195968, 30738858, 77116791]",False,,Thirlmere Way,tertiary,,True,226.28300000000002,"LINESTRING (150.5923387 -34.2220085, 150.5921233 -34.2219722, 150.5914742 -34.2218835, 150.5904017 -34.221733, 150.5899135 -34.2216627)",,yes,
445591788,False,,York Street,residential,50,False,14.326,"LINESTRING (150.5923387 -34.2220085, 150.5923279 -34.2220832, 150.5923148 -34.2221357)",,,
697505847,False,,York Street,residential,50,True,11.945,"LINESTRING (150.5923387 -34.2220085, 150.5923663 -34.2219438, 150.5923784 -34.2219063)",,,
43195966,False,,Castlereagh Street,residential,50,False,132.615,"LINESTRING (150.5853171 -34.2264695, 150.5862171 -34.2255375)",,,
"[44665548, 639525357]",False,,"['Pitt Street', 'Bronzewing Street']",residential,50,False,403.119,"LINESTRING (150.5853171 -34.2264695, 150.5867975 -34.2266524, 150.5886156 -34.2247973)",,,
43195966,False,,Castlereagh Street,residential,50,True,123.288,"LINESTRING (150.5889892 -34.2215611, 150.5889454 -34.2216345, 150.5883776 -34.2225478)",,,
43195969,True,,,tertiary,,False,6.291,"LINESTRING (150.5889892 -34.2215611, 150.5889748 -34.2215535, 150.5889639 -34.2215426, 150.5889574 -34.2215295, 150.588956 -34.2215154)",roundabout,,
43195969,True,,,tertiary,,False,7.468999999999999,"LINESTRING (150.5890335 -34.2214759, 150.5890453 -34.2214815, 150.5890551 -34.2214892, 150.5890624 -34.2214986, 150.5890668 -34.2215092, 150.5890679 -34.2215203, 150.5890658 -34.2215314)",roundabout,,
43195968,False,,Thirlmere Way,tertiary,,False,79.29700000000001,"LINESTRING (150.5890658 -34.2215314, 150.5898156 -34.2216475, 150.5899135 -34.2216627)",,,
43195969,True,,,tertiary,,False,8.770999999999999,"LINESTRING (150.5890658 -34.2215314, 150.5890576 -34.2215456, 150.589044 -34.2215567, 150.5890267 -34.2215634, 150.5890077 -34.2215649, 150.5889892 -34.2215611)",roundabout,,
43195970,True,12,,primary,,False,4.326,"LINESTRING (150.5936811 -34.2221562, 150.5936907 -34.2221489, 150.5937204 -34.2221352)",roundabout,,
574209056,True,12,Remembrance Driveway,primary,50,False,96.59800000000001,"LINESTRING (150.5938134 -34.2222938, 150.593564 -34.2228108, 150.5934637 -34.2231117)",,,
1097449125,True,12,,primary,,False,14.908999999999999,"LINESTRING (150.5938134 -34.2222938, 150.5937901 -34.2223032, 150.5937565 -34.2223075, 150.5937229 -34.2223027, 150.5936928 -34.2222896, 150.5936691 -34.2222693)",roundabout,,
