osmid,oneway,name,highway,reversed,length,ref,geometry,lanes,maxspeed,junction
580561093,True,Boulder Road,secondary,False,13.05,,"LINESTRING (121.4741787 -30.7458934, 121.4742784 -30.7459736)",,,
202016829,True,Hannan Street,trunk,False,205.51,94;357,"LINESTRING (121.4741787 -30.7458934, 121.4754812 -30.7447129, 121.4756483 -30.7445445)",,,
580561092,True,Boulder Road,secondary,False,12.618,,"LINESTRING (121.4752776 -30.7467492, 121.4753784 -30.7468225)",,,
580561094,True,Egan Street,residential,False,201.556,,"LINESTRING (121.4752776 -30.7467492, 121.4767239 -30.7454299)",1,,
108849902,False,Egan Street,residential,True,154.0,,"LINESTRING (121.4780563 -30.7443162, 121.4777595 -30.7445858, 121.4773957 -30.7449243, 121.476946 -30.7453198)",,,
794401013,False,Goldfields Highway,trunk,False,11.206,94,"LINESTRING (121.4781423 -30.7426943, 121.4781811 -30.7427894)",,70,
183332482,True,,residential,False,10.67,,"LINESTRING (121.4735577 -30.7485147, 121.4735657 -30.7485729, 121.4735565 -30.7486094)",,,roundabout
108849924,False,Cassidy Street,residential,True,144.055,,"LINESTRING (121.470106 -30.7458634, 121.4690175 -30.7449672)",,,
155501893,False,Dugan Street,residential,True,195.765,,"LINESTRING (121.470106 -30.7458634, 121.4715242 -30.744593)",,50,
155501893,False,Dugan Street,residential,False,226.45,,"LINESTRING (121.470106 -30.7458634, 121.4685798 -30.7472751, 121.4684824 -30.7473457)",,50,
368723215,True,Cassidy Street,residential,False,141.058,,"LINESTRING (121.470106 -30.7458634, 121.4702773 -30.7458842, 121.4707237 -30.7462536, 121.471216 -30.7466609)",,,
320478337,False,Porter Street,residential,True,89.28900000000002,,"LINESTRING (121.4779162 -30.7463092, 121.4778216 -30.7462318, 121.4774017 -30.7458876, 121.477321 -30.7458184, 121.4772436 -30.7457519)",,50,
580563602,False,MacDonald Street,residential,True,234.31,,"LINESTRING (121.4779162 -30.7463092, 121.4777258 -30.7464809, 121.4767708 -30.7473417, 121.4766366 -30.7474626, 121.4762243 -30.7478343)",,,
580563605,False,MacDonald Street,residential,True,11.089,,"LINESTRING (121.4762243 -30.7478343, 121.4761455 -30.7479075)",,,
580563602,False,MacDonald Street,residential,False,234.30999999999997,,"LINESTRING (121.4762243 -30.7478343, 121.4766366 -30.7474626, 121.4767708 -30.7473417, 121.4777258 -30.7464809, 121.4779162 -30.7463092)",,,
673613894,True,Boulder Road,secondary,False,138.296,,"LINESTRING (121.4762243 -30.7478343, 121.4766201 -30.7482993, 121.4771081 -30.7488187)",,,
580563605,False,MacDonald Street,residential,False,11.089,,"LINESTRING (121.4761455 -30.7479075, 121.4762243 -30.7478343)",,,
580563611,True,Boulder Road,secondary,False,139.014,,"LINESTRING (121.4761455 -30.7479075, 121.4752906 -30.746896)",,,
155502003,False,MacDonald Street,residential,True,220.61599999999999,,"LINESTRING (121.4761455 -30.7479075, 121.4761001 -30.747948, 121.475804 -30.7482266, 121.4757114 -30.7483131, 121.4756652 -30.7483563, 121.4750151 -30.7489637, 121.4749957 -30.7489818, 121.4746303 -30.7493015, 121.4745711 -30.7493583)",,,
696622446,False,Cassidy Street,residential,False,100.713,,"LINESTRING (121.4736396 -30.7487358, 121.4738755 -30.7489575, 121.474287 -30.7492704, 121.4743985 -30.7493628)",,50,
760239789,True,Cassidy Street,residential,False,15.811,,"LINESTRING (121.4736396 -30.7487358, 121.4735108 -30.7486764, 121.4734938 -30.7486686)",,50,
320475771,False,Cheetham Street,residential,True,10.369,,"LINESTRING (121.4771081 -30.7488187, 121.4770318 -30.748885)",,50,
580564239,True,Boulder Road,secondary,False,131.106,,"LINESTRING (121.4771081 -30.7488187, 121.4779809 -30.7497284)",,,
320475771,False,Cheetham Street,residential,False,10.369,,"LINESTRING (121.4770318 -30.748885, 121.4771081 -30.7488187)",,50,
673613895,True,Boulder Road,secondary,False,137.797,,"LINESTRING (121.4770318 -30.748885, 121.4761455 -30.7479075)",,,
"[320475771, 155501803]",False,"['Cheetham Street', 'Cassidy Street']",residential,True,244.032,,"LINESTRING (121.4770318 -30.748885, 121.4769953 -30.7489182, 121.4769327 -30.7489751, 121.4763033 -30.7495528, 121.4762118 -30.7496368, 121.4761748 -30.7496707, 121.4760277 -30.7498058, 121.4756484 -30.7501736, 121.4755712 -30.7502405, 121.4755478 -30.7502526, 121.4755283 -30.7502612, 121.4755004 -30.750266, 121.4754733 -30.7502618, 121.4754566 -30.750256, 121.4754286 -30.7502384, 121.4753822 -30.7501978, 121.4752987 -30.7501203, 121.4752584 -30.750086)",,50,
155501787,False,Hanbury Street,residential,True,10.658,,"LINESTRING (121.4779809 -30.7497284, 121.4779065 -30.7497998)",,50,
155501787,False,Hanbury Street,residential,False,10.658,,"LINESTRING (121.4779065 -30.7497998, 121.4779809 -30.7497284)",,50,
580564235,True,Boulder Road,secondary,False,131.66,,"LINESTRING (121.4779065 -30.7497998, 121.4770318 -30.748885)",,,
155527426,False,Outridge Terrace,residential,False,69.652,,"LINESTRING (121.4773169 -30.7431942, 121.4776383 -30.7437564)",,50,
109832390,True,Hannan Street,trunk,False,190.598,94;357,"LINESTRING (121.4773169 -30.7431942, 121.4763198 -30.7440679, 121.4759307 -30.7444264)",,,
155527426,False,Outridge Terrace,residential,True,69.652,,"LINESTRING (121.4776383 -30.7437564, 121.4773169 -30.7431942)",,50,
580561091,True,Egan Street,residential,False,11.713,,"LINESTRING (121.4753784 -30.7468225, 121.4752906 -30.746896)",1,,
580563608,True,Boulder Road,secondary,False,138.538,,"LINESTRING (121.4753784 -30.7468225, 121.4762243 -30.7478343)",,,
"[223117337, 155528157]",False,"['Outridge Terrace', 'Shamrock Street']",residential,True,20.194000000000003,,"LINESTRING (121.472247 -30.7419547, 121.4723317 -30.7420277, 121.4723944 -30.7420848)",,50,
155528157,False,Shamrock Street,residential,False,44.602,,"LINESTRING (121.4727145 -30.7423767, 121.4723944 -30.7420848)",,50,
155528157,False,Shamrock Street,residential,True,76.103,,"LINESTRING (121.4727145 -30.7423767, 121.4733003 -30.7428403)",,50,
591420129,False,Brookman Street,residential,True,108.274,,"LINESTRING (121.4757777 -30.7426103, 121.4752153 -30.7431286, 121.4749943 -30.7433134)",,50,
155528157,False,Shamrock Street,residential,False,76.103,,"LINESTRING (121.4733003 -30.7428403, 121.4727145 -30.7423767)",,50,
155528150,True,,residential,False,14.939,,"LINESTRING (121.4733003 -30.7428403, 121.4733427 -30.7428143, 121.4733946 -30.7428104, 121.4734417 -30.7428296)",,,roundabout
155528150,True,,residential,False,7.261,,"LINESTRING (121.4732783 -30.7429028, 121.4733003 -30.7428403)",,,roundabout
599930357,True,Dugan Street,residential,False,180.355,,"LINESTRING (121.473375 -30.7429797, 121.4720924 -30.7441695)",,50,
155528150,True,,residential,False,13.465,,"LINESTRING (121.473375 -30.7429797, 121.4733097 -30.742957, 121.4732783 -30.7429028)",,,roundabout
223117337,False,Outridge Terrace,residential,False,10.808,,"LINESTRING (121.4773692 -30.7430197, 121.4774259 -30.7431038)",,50,
"[109832406, 794401014]",True,Hannan Street,trunk,False,82.333,94;357,"LINESTRING (121.4773692 -30.7430197, 121.4775072 -30.7429531, 121.477618 -30.7428996, 121.4781423 -30.7426943)",,,
109832390,True,Hannan Street,trunk,False,14.476,94;357,"LINESTRING (121.4774259 -30.7431038, 121.4773169 -30.7431942)",,,
