osmid,lanes,ref,highway,junction,oneway,reversed,length,geometry,name,maxspeed,width
173449320,1,B37,trunk,roundabout,True,False,12.55,"LINESTRING (138.6230304 -35.5517078, 138.6230073 -35.5517084, 138.6229846 -35.5517047, 138.6229637 -35.5516967, 138.6229457 -35.5516849, 138.6229316 -35.55167, 138.6229222 -35.5516528)",,,
576495725,,B37,trunk,,True,False,46.47,"LINESTRING (138.6230304 -35.5517078, 138.6229913 -35.55174, 138.6229377 -35.5517929, 138.6227354 -35.5520486)",Torrens Street,60,
23075181,2,,residential,,False,True,50.457,"LINESTRING (138.6230349 -35.5538649, 138.6235912 -35.5538322)",Coral Street,,
60269598,,,residential,,True,False,204.99300000000002,"LINESTRING (138.6230349 -35.5538649, 138.6230923 -35.5544963, 138.6231226 -35.5547578, 138.6231415 -35.5549216, 138.6231942 -35.5554506, 138.6231909 -35.5555702, 138.6231778 -35.5556219, 138.6231067 -35.5556773)",Ocean Street,50,
60269602,,,residential,,False,False,87.694,"LINESTRING (138.6230349 -35.5538649, 138.6221373 -35.5538977, 138.6220665 -35.5539003)",Coral Street,50,
173449325,,,trunk_link,,False,True,5.979,"LINESTRING (138.6212047 -35.5538975, 138.6212609 -35.5539258)",Coral Street,50,
173449376,,B37,trunk,,True,False,104.262,"LINESTRING (138.6212047 -35.5538975, 138.6213809 -35.5536644, 138.6214419 -35.5535857, 138.6214733 -35.5535392, 138.6218124 -35.5531009)",Torrens Street,60,
50904904,2,B37,trunk,,False,False,120.644,"LINESTRING (138.6238961 -35.5504525, 138.6236776 -35.5507483, 138.6235485 -35.5509231, 138.6233053 -35.5512408, 138.6232002 -35.551378)",Hindmarsh Road,60,
42530541,,,residential,,False,True,107.085,"LINESTRING (138.618563 -35.5533481, 138.6191891 -35.5525308)",Acraman Street,50,5
23075180,2,,residential,,False,True,117.52199999999999,"LINESTRING (138.618563 -35.5533481, 138.6192348 -35.5536901, 138.6196642 -35.5539088)",Crozier Road,,
42530541,,,residential,,False,False,85.178,"LINESTRING (138.6209321 -35.5502542, 138.6204347 -35.5509046)",Acraman Street,50,5
23075171,,,secondary,,False,True,160.23600000000002,"LINESTRING (138.6209321 -35.5502542, 138.6213642 -35.5505392, 138.6215093 -35.5506316, 138.6217542 -35.5507941, 138.6222598 -35.5511298, 138.6223079 -35.5511617)",Seaview Road,,
