osmid,highway,junction,oneway,reversed,length,geometry,name,maxspeed,lanes
4772841,tertiary,roundabout,True,False,5.075,"LINESTRING (118.5964238 -20.407106, 118.5964426 -20.4071481)",,,
4772841,tertiary,roundabout,True,False,25.725,"LINESTRING (118.5964426 -20.4071481, 118.5964527 -20.4072052, 118.5964447 -20.4072625, 118.5964195 -20.4073153, 118.5963792 -20.4073591)",,,
4772860,tertiary,,True,False,70.252,"LINESTRING (118.5964426 -20.4071481, 118.5966053 -20.4072182, 118.5967091 -20.4072571, 118.5968647 -20.4072863, 118.5970857 -20.4073236)",Forrest Circle,,
4772841,tertiary,roundabout,True,False,29.161,"LINESTRING (118.5963559 -20.4073764, 118.596291 -20.4074016, 118.5962215 -20.4074065, 118.596154 -20.40739, 118.5960952 -20.4073542)",,,
4772863,tertiary,,True,False,39.211,"LINESTRING (118.5963559 -20.4073764, 118.5963005 -20.4074818, 118.5962596 -20.4075929, 118.5962338 -20.407708)",Hamilton Road,,
4772841,tertiary,roundabout,True,False,7.1,"LINESTRING (118.5960952 -20.4073542, 118.5960542 -20.4073032)",,,
334664335,tertiary,,True,False,41.648,"LINESTRING (118.5960542 -20.4073032, 118.595656 -20.4072715)",Forrest Circle,,
4772841,tertiary,roundabout,True,False,22.836000000000002,"LINESTRING (118.5960542 -20.4073032, 118.5960346 -20.4072553, 118.5960287 -20.4072042, 118.596037 -20.4071535, 118.5960589 -20.4071064)",,,
4772841,tertiary,roundabout,True,False,41.081999999999994,"LINESTRING (118.5960832 -20.4070755, 118.5961459 -20.4070309, 118.5962216 -20.4070107, 118.5962999 -20.4070178, 118.5963701 -20.4070512, 118.5964238 -20.407106)",,,
4772843,tertiary,,True,False,262.502,"LINESTRING (118.5960832 -20.4070755, 118.596177 -20.4069381, 118.5962148 -20.4068554, 118.5962385 -20.4067815, 118.5962566 -20.4066851, 118.5963615 -20.404755)",Hamilton Road,,
173081018,residential,,False,False,16.207,"LINESTRING (118.5963615 -20.404755, 118.596517 -20.4047533)",Hedditch Street,50,
4772861,tertiary,,True,False,73.798,"LINESTRING (118.5970857 -20.4073236, 118.5967958 -20.4073402, 118.5966473 -20.4073386, 118.5965393 -20.4073424, 118.5964842 -20.4073487, 118.5963792 -20.4073591)",Forrest Circle,,
4772862,tertiary,,False,False,151.355,"LINESTRING (118.5970857 -20.4073236, 118.5973376 -20.407331, 118.5975708 -20.4073358, 118.5976776 -20.4073376, 118.5980169 -20.4073405, 118.5982905 -20.4073401, 118.5985378 -20.4073401)",Forrest Circle,,
4772862,tertiary,,False,True,135.613,"LINESTRING (118.6008936 -20.4079439, 118.6006327 -20.4078071, 118.6004855 -20.4077397, 118.6003439 -20.4076809, 118.6001407 -20.4076058, 118.5999282 -20.4075387, 118.5996961 -20.4074781)",Forrest Circle,,
934512044,tertiary,,True,False,99.511,"LINESTRING (118.6008936 -20.4079439, 118.6009836 -20.4079918, 118.6011805 -20.4080819, 118.6013514 -20.408187, 118.6014547 -20.408257, 118.6016043 -20.4083679, 118.6016875 -20.4084348)",Forrest Circle,,
934512040,tertiary,,False,False,171.507,"LINESTRING (118.5962338 -20.407708, 118.596236 -20.4092504)",Hamilton Road,,
4772864,tertiary,,True,False,41.94200000000001,"LINESTRING (118.5962338 -20.407708, 118.5962041 -20.4076178, 118.5961712 -20.4075287, 118.5961348 -20.4074408, 118.5960952 -20.4073542)",Hamilton Road,,
