osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction,lanes,bridge
554606051,C142,Main Street,primary,50,False,True,178.412,"LINESTRING (146.1704253 -41.1549003, 146.1705149 -41.1547984, 146.1706336 -41.154711, 146.1707507 -41.1546361, 146.1708844 -41.1545717, 146.1712125 -41.1544851, 146.1716074 -41.1544175, 146.1721454 -41.1543286, 146.1723318 -41.1543381)",,,
"[562677884, 562677885]",,Dial Street,residential,,False,False,212.574,"LINESTRING (146.1704253 -41.1549003, 146.1702757 -41.1548306, 146.1702499 -41.1548067, 146.1702393 -41.1547858, 146.1702333 -41.1547606, 146.1702381 -41.154734, 146.1702571 -41.1546818, 146.1702647 -41.1546461, 146.1702678 -41.1546134, 146.1702659 -41.1545672, 146.1701424 -41.1536777, 146.1700924 -41.153318, 146.1701043 -41.1531939, 146.170138 -41.1530726)",,,
671200699,C142,Main Street,primary,50,False,False,30.306,"LINESTRING (146.1704253 -41.1549003, 146.1703581 -41.155021, 146.1703087 -41.1551577)",,,
35677619,,Clock Tower Roundabout,tertiary,,True,False,13.069999999999999,"LINESTRING (146.1759274 -41.1578161, 146.1759332 -41.1578256, 146.175941 -41.1578586, 146.1759302 -41.1578978, 146.1759055 -41.1579257)",roundabout,,
35677619,,Clock Tower Roundabout,tertiary,,True,False,28.387,"LINESTRING (146.1756844 -41.1578567, 146.1756931 -41.1578238, 146.1757275 -41.1577866, 146.1757655 -41.157769, 146.175812 -41.1577623, 146.1758559 -41.1577679, 146.1758947 -41.1577845, 146.1759274 -41.1578161)",roundabout,,
35677622,,Reibey Street,tertiary,50,False,False,207.736,"LINESTRING (146.1756844 -41.1578567, 146.1753811 -41.1577903, 146.1744016 -41.1576674, 146.1733488 -41.1575506, 146.1732421 -41.1575366)",,2,
35677622,,Reibey Street,tertiary,50,False,True,121.20599999999999,"LINESTRING (146.171813 -41.1573625, 146.1719608 -41.157381, 146.173123 -41.1575192, 146.1732421 -41.1575366)",,2,
230621430,,King Edward Street,tertiary,,False,True,222.08299999999997,"LINESTRING (146.171813 -41.1573625, 146.1718293 -41.157283, 146.1719184 -41.1568831, 146.1719801 -41.1565444, 146.1720976 -41.1560087, 146.1721484 -41.1557659, 146.1722167 -41.1553887)",,,
301627801,,King Edward Street,tertiary,,False,False,116.52300000000001,"LINESTRING (146.171813 -41.1573625, 146.171788 -41.1574771, 146.1716968 -41.1579214, 146.1716919 -41.1579452, 146.1716641 -41.1580932, 146.1716218 -41.1583181, 146.1716066 -41.1583988)",,,
"[1035905040, 1035905041, 1061622902]",,Reibey Street,unclassified,50,False,False,314.76400000000007,"LINESTRING (146.171813 -41.1573625, 146.1717051 -41.1573484, 146.1704395 -41.1571913, 146.169615 -41.1570888, 146.1695322 -41.1570852, 146.1694205 -41.1570694, 146.1693614 -41.1570743, 146.169318 -41.1570879, 146.1692784 -41.1571073, 146.169252 -41.1571378, 146.169232 -41.1571731, 146.1691609 -41.1572939, 146.1691188 -41.1573704, 146.1690731 -41.1574457, 146.169026 -41.1575051, 146.1689829 -41.1575675, 146.1689116 -41.1576464, 146.16886 -41.1577026, 146.1688227 -41.1577381, 146.1687944 -41.1577619, 146.1687525 -41.1577714, 146.1687122 -41.1577728, 146.1686702 -41.1577683, 146.168617 -41.1577579)",,2,
