osmid,lanes,highway,maxspeed,junction,oneway,reversed,length,geometry,name,ref
687909553,,secondary,50,,True,False,15.5,"LINESTRING (117.8837092 -35.02713, 117.8836852 -35.026992)",York Street,
43460134,,secondary_link,,,False,True,12.348,"LINESTRING (117.8838435 -35.0271146, 117.8837092 -35.02713)",,
"[43459816, 129366600, 626393045, 426052860, 426052861]",,residential,50,,True,False,627.7129999999999,"LINESTRING (117.8838435 -35.0271146, 117.8840584 -35.0271458, 117.8845853 -35.0272393, 117.884753 -35.0272691, 117.8849505 -35.0272995, 117.8851186 -35.0273254, 117.8852954 -35.0273527, 117.8859024 -35.0274462, 117.8860721 -35.0274727, 117.8860744 -35.0274728, 117.8861874 -35.0274789, 117.88633 -35.0274865, 117.8865166 -35.0275306, 117.8867102 -35.0276238, 117.8868838 -35.0276968, 117.8870882 -35.0277311, 117.8870152 -35.0280269, 117.8869288 -35.0280226, 117.8868069 -35.0280006, 117.8861127 -35.0278753, 117.8859862 -35.0278524, 117.8858081 -35.0278202, 117.8856599 -35.0277985, 117.8855447 -35.0277815, 117.8855171 -35.0277801, 117.8854318 -35.0277759, 117.8852683 -35.0277835, 117.8851956 -35.0277822, 117.8850075 -35.0277786, 117.8848276 -35.0277752, 117.8846161 -35.0277714, 117.8844473 -35.0277768, 117.8840357 -35.02779, 117.8838748 -35.0277955)",Proudlove Parade,
174609922,,secondary,50,,True,False,75.768,"LINESTRING (117.8838435 -35.0271146, 117.883848 -35.0272574, 117.8838748 -35.0277955)",York Street,
173516295,2,tertiary,60,,False,True,76.56899999999999,"LINESTRING (117.8784792 -35.0207926, 117.8788429 -35.0210057, 117.8792275 -35.0210744)",Serpentine Road,
43438096,,residential,,,False,True,103.29,"LINESTRING (117.8795362 -35.0244133, 117.8794861 -35.0234853)",Parade Street,
49722270,,residential,,,False,False,228.904,"LINESTRING (117.8795362 -35.0244133, 117.8819891 -35.0239629)",Grey Street West,
452032868,,residential,,,False,False,108.478,"LINESTRING (117.8795362 -35.0244133, 117.8795945 -35.0253877)",Parade Street,
43438029,,secondary,,,True,False,24.167,"LINESTRING (117.8838922 -35.0280018, 117.8839155 -35.0282183)",Princess Royal Drive,
43460426,,secondary_link,,,True,False,31.936999999999998,"LINESTRING (117.8838922 -35.0280018, 117.884009 -35.0281331, 117.8841415 -35.0281947)",,
32658756,2,secondary,50,roundabout,True,False,18.774,"LINESTRING (117.8832387 -35.0208544, 117.8832666 -35.0208189, 117.8833048 -35.0207906, 117.8833508 -35.0207716, 117.8834013 -35.020763)",,
32930211,,secondary,,roundabout,True,False,12.693000000000001,"LINESTRING (117.8849091 -35.0208759, 117.8848639 -35.0208847, 117.884818 -35.0208791, 117.8847779 -35.0208598)",,
43436489,,residential,,,False,False,113.58800000000001,"LINESTRING (117.8849091 -35.0208759, 117.8849544 -35.021039, 117.8850425 -35.0217354, 117.8850619 -35.0218887)",Aberdeen Street,
43436483,,residential,,,False,False,89.015,"LINESTRING (117.8852267 -35.0249027, 117.8852979 -35.0257011)",Aberdeen Street,
43436483,,residential,,,False,True,117.389,"LINESTRING (117.8852267 -35.0249027, 117.8851535 -35.0238487)",Aberdeen Street,
1238987532,,residential,,,False,False,213.849,"LINESTRING (117.8852267 -35.0249027, 117.8853771 -35.0249137, 117.8864493 -35.0250625, 117.8875437 -35.0252144)",Earl Street,
43438096,,residential,,,False,False,120.604,"LINESTRING (117.8794074 -35.0224026, 117.8794861 -35.0234853)",Parade Street,
43437558,,residential,,,False,False,118.349,"LINESTRING (117.8794074 -35.0224026, 117.8790731 -35.022405, 117.8787833 -35.0224324, 117.8782195 -35.0227343)",Cliff Way,
43438096,,residential,,,False,True,148.53500000000003,"LINESTRING (117.8794074 -35.0224026, 117.879317 -35.0215859, 117.8792933 -35.0214241, 117.8793227 -35.0211794, 117.8793573 -35.0210763)",Parade Street,
32973275,,residential,,roundabout,True,False,8.701,"LINESTRING (117.8821447 -35.0262087, 117.8821121 -35.0262039, 117.8820834 -35.0261903, 117.8820642 -35.0261722)",,
607756235,,residential,,,False,False,116.17099999999999,"LINESTRING (117.8821447 -35.0262087, 117.8820923 -35.0262901, 117.8825075 -35.0271801)",Collie Street,
43459956,2,secondary,,,False,False,106.937,"LINESTRING (117.8825075 -35.0271801, 117.8833316 -35.0269555, 117.8836317 -35.0269071)",Stirling Terrace,257
43459956,2,secondary,,,False,True,173.691,"LINESTRING (117.8825075 -35.0271801, 117.8810042 -35.0276679, 117.8807368 -35.0277609)",Stirling Terrace,257
607756235,,residential,,,False,True,116.17099999999999,"LINESTRING (117.8825075 -35.0271801, 117.8820923 -35.0262901, 117.8821447 -35.0262087)",Collie Street,
43437536,,residential,,,False,False,58.889,"LINESTRING (117.8818872 -35.0221235, 117.8819308 -35.0226519)",Collie Street,
173516295,2,tertiary,60,,False,True,69.618,"LINESTRING (117.8818872 -35.0221235, 117.8826505 -35.0220882)",Serpentine Road,
173516295,2,tertiary,60,,False,False,231.91699999999997,"LINESTRING (117.8818872 -35.0221235, 117.8814501 -35.0221198, 117.8810892 -35.0218692, 117.8808715 -35.021718, 117.880109 -35.0211884, 117.8797752 -35.0210988)",Serpentine Road,
43437536,,residential,,,False,True,58.889,"LINESTRING (117.8819308 -35.0226519, 117.8818872 -35.0221235)",Collie Street,
43437256,,residential,,,False,False,264.40099999999995,"LINESTRING (117.8819308 -35.0226519, 117.8813234 -35.0226806, 117.8805069 -35.022729, 117.8803945 -35.0227675, 117.8803225 -35.0228499, 117.880255 -35.0229469, 117.8802102 -35.0230877, 117.8800856 -35.0232822, 117.8794861 -35.0234853)",Hotchin Avenue,
43437536,,residential,,,False,False,145.916,"LINESTRING (117.8819308 -35.0226519, 117.8819587 -35.0230855, 117.8819887 -35.0235504, 117.8819891 -35.0239629)",Collie Street,
43437536,,residential,,,False,False,109.705,"LINESTRING (117.8819891 -35.0239629, 117.8820235 -35.0249491)",Collie Street,
49722270,,residential,,,False,True,228.904,"LINESTRING (117.8819891 -35.0239629, 117.8795362 -35.0244133)",Grey Street West,
