osmid,lanes,name,highway,oneway,reversed,length,geometry,maxspeed,junction
22562233,2,Sonter Avenue,residential,False,False,82.203,"LINESTRING (151.3314816 -33.4864745, 151.3309937 -33.4870917)",,
22562229,,Camellia Circle,residential,False,False,46.254,"LINESTRING (151.3314816 -33.4864745, 151.3316861 -33.4865896, 151.3318448 -33.4867529)",,
22562229,,Camellia Circle,residential,False,True,117.53800000000001,"LINESTRING (151.3314816 -33.4864745, 151.3312601 -33.4863684, 151.3310134 -33.4863216, 151.3307604 -33.4863213, 151.3305136 -33.4863676, 151.3302851 -33.4864582)",,
22562233,2,Sonter Avenue,residential,False,True,131.31799999999998,"LINESTRING (151.3314816 -33.4864745, 151.3317407 -33.4861374, 151.3317738 -33.486064, 151.3319225 -33.4853729)",,
22562229,,Camellia Circle,residential,False,False,169.809,"LINESTRING (151.3312035 -33.4881788, 151.3309456 -33.4882152, 151.3306845 -33.4882016, 151.330434 -33.4881387, 151.3302073 -33.4880299, 151.3300163 -33.4878808, 151.3298712 -33.4876993, 151.3297795 -33.487495)",,
22562229,,Camellia Circle,residential,False,True,196.056,"LINESTRING (151.3312035 -33.4881788, 151.3314026 -33.488113, 151.3316019 -33.4880053, 151.33177 -33.4878654, 151.3318998 -33.4876995, 151.3319855 -33.4875148, 151.3320234 -33.4873192, 151.3320119 -33.4871214, 151.3319515 -33.4869298, 151.3318448 -33.4867529)",,
25050991,,Daffodil Drive,residential,False,True,98.411,"LINESTRING (151.3312035 -33.4881788, 151.3312997 -33.4884329, 151.331875 -33.4888233)",,
22562231,,Iris Place,residential,False,False,50.699,"LINESTRING (151.3297795 -33.487495, 151.3292397 -33.4875672)",,
22562229,,Camellia Circle,residential,False,False,132.897,"LINESTRING (151.3297795 -33.487495, 151.329746 -33.4872584, 151.329784 -33.4870224, 151.3298816 -33.4868089, 151.3299987 -33.4866692, 151.3301312 -33.4865536, 151.3302851 -33.4864582)",,
22562229,,Camellia Circle,residential,False,True,169.809,"LINESTRING (151.3297795 -33.487495, 151.3298712 -33.4876993, 151.3300163 -33.4878808, 151.3302073 -33.4880299, 151.330434 -33.4881387, 151.3306845 -33.4882016, 151.3309456 -33.4882152, 151.3312035 -33.4881788)",,
22562232,,Primrose Place,residential,False,False,62.16,"LINESTRING (151.3302851 -33.4864582, 151.3299575 -33.4859705)",,
22562229,,Camellia Circle,residential,False,False,117.538,"LINESTRING (151.3302851 -33.4864582, 151.3305136 -33.4863676, 151.3307604 -33.4863213, 151.3310134 -33.4863216, 151.3312601 -33.4863684, 151.3314816 -33.4864745)",,
22562229,,Camellia Circle,residential,False,True,132.897,"LINESTRING (151.3302851 -33.4864582, 151.3301312 -33.4865536, 151.3299987 -33.4866692, 151.3298816 -33.4868089, 151.329784 -33.4870224, 151.329746 -33.4872584, 151.3297795 -33.487495)",,
