osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,ref,junction,width
220199967,True,1,Dean Street,secondary,False,34.966,"LINESTRING (146.9131031 -36.0804192, 146.9127189 -36.0803695)",,,,
296602334,False,,Townsend Street,tertiary_link,False,5.807,"LINESTRING (146.9131031 -36.0804192, 146.9131138 -36.0803677)",,,,
301188593,False,,Townsend Street,tertiary,True,224.757,"LINESTRING (146.9131031 -36.0804192, 146.9130821 -36.0805366, 146.912988 -36.0810639, 146.9129228 -36.081478, 146.9127731 -36.0822783, 146.9127453 -36.0824196)",,,,
684762504,False,,Englehardt Street,residential,True,8.691,"LINESTRING (146.9160485 -36.0783194, 146.9161441 -36.0783312)",,,,
684762513,True,1,Kiewa Street,tertiary,False,43.343,"LINESTRING (146.9160485 -36.0783194, 146.9160641 -36.0782482, 146.9161051 -36.0780615, 146.9161703 -36.077945)",,,,
"[684762514, 8071646]",False,,Englehardt Street,residential,False,235.587,"LINESTRING (146.9160485 -36.0783194, 146.915948 -36.078306, 146.9159204 -36.0783024, 146.9156566 -36.0782699, 146.9153976 -36.078237, 146.9134574 -36.077998)",,,,
8071646,False,,Englehardt Street,residential,False,48.376,"LINESTRING (146.9123324 -36.0778598, 146.9117986 -36.0778037)",,,,
8071646,False,,Englehardt Street,residential,True,102.265,"LINESTRING (146.9123324 -36.0778598, 146.9134574 -36.077998)",,,,
8071647,False,,Creek Street,residential,False,41.893,"LINESTRING (146.9123324 -36.0778598, 146.9122711 -36.0778633, 146.9122433 -36.0778755, 146.9122189 -36.0778968, 146.9122039 -36.0779256, 146.9121938 -36.0779661, 146.9121634 -36.0781645)",,,,
684770325,True,,Dean Street,secondary,False,8.145,"LINESTRING (146.915676 -36.0807396, 146.9155868 -36.0807266)",,,,
204895518,True,2,Kiewa Street,tertiary,False,48.889,"LINESTRING (146.915676 -36.0807396, 146.9156567 -36.0808102, 146.9156352 -36.0809258, 146.9155877 -36.0811733)",50,,,
"[954642868, 211898796]",False,4,Smollett Street,tertiary,True,125.861,"LINESTRING (146.9217378 -36.0835616, 146.9212231 -36.0834952, 146.9211299 -36.0834833, 146.9209631 -36.0834634, 146.920524 -36.0834067, 146.9204961 -36.0834034, 146.9203541 -36.0833865)",,,,
205000723,False,,David Street,secondary,False,63.354,"LINESTRING (146.9203541 -36.0833865, 146.9203772 -36.0832609, 146.9203811 -36.0832399, 146.9204733 -36.082825)",,,,
294778936,False,4,Smollett Street,tertiary,True,131.126,"LINESTRING (146.9203541 -36.0833865, 146.9202105 -36.0833677, 146.920183 -36.0833634, 146.9189112 -36.0832111)",,,,
"[211898796, 954642868]",False,4,Smollett Street,tertiary,False,125.86099999999999,"LINESTRING (146.9203541 -36.0833865, 146.9204961 -36.0834034, 146.920524 -36.0834067, 146.9209631 -36.0834634, 146.9211299 -36.0834833, 146.9212231 -36.0834952, 146.9217378 -36.0835616)",,,,
684772476,True,2,Olive Street,tertiary,False,9.302,"LINESTRING (146.9181546 -36.0810498, 146.9181685 -36.0809669)",,,,
223481235,True,1,Dean Street,secondary,False,47.391000000000005,"LINESTRING (146.9181546 -36.0810498, 146.9180464 -36.0810346, 146.9179428 -36.08102, 146.9176526 -36.0809266)",,,,
301188594,False,,Olive Street,tertiary_link,True,7.543,"LINESTRING (146.9178154 -36.0830441, 146.9178023 -36.0831111)",,,,
"[574875411, 223481079]",True,2,Smollett Street,tertiary,False,100.235,"LINESTRING (146.9178154 -36.0830441, 146.9179591 -36.0830616, 146.918089 -36.0830774, 146.9184733 -36.0831433, 146.9189112 -36.0832111)",,,,
294778931,False,2,Olive Street,tertiary,False,173.935,"LINESTRING (146.9178154 -36.0830441, 146.9178316 -36.0829616, 146.9178369 -36.0829349, 146.9180104 -36.0820023, 146.9180857 -36.0815906, 146.9181225 -36.081501)",,,,
204895519,True,1,Smollett Street,tertiary,False,8.703,"LINESTRING (146.9152311 -36.0827245, 146.915327 -36.0827354)",,,,
310159929,True,2,Kiewa Street,tertiary,False,69.658,"LINESTRING (146.9152311 -36.0827245, 146.9152492 -36.082637, 146.9153587 -36.0821066)",50,,,
"[211898794, 684773579]",True,1,Dean Street,secondary,False,226.86800000000002,"LINESTRING (146.9207322 -36.0813636, 146.9206816 -36.0813514, 146.9205925 -36.0813299, 146.9205469 -36.0813189, 146.919449 -36.0811838, 146.919322 -36.0811682, 146.9188289 -36.0811075, 146.9186103 -36.0811042, 146.9183701 -36.0810786, 146.9183305 -36.081073, 146.9182397 -36.08106)",,,,
"[205000723, 954642862]",False,,David Street,secondary,True,164.161,"LINESTRING (146.9207322 -36.0813636, 146.9207196 -36.0814352, 146.9207143 -36.0814654, 146.9206651 -36.0817646, 146.9206545 -36.0818274, 146.9204733 -36.082825)",,,,
1167853734,False,,David Street,secondary,False,9.615,"LINESTRING (146.9207322 -36.0813636, 146.9207421 -36.0813153, 146.9207497 -36.0812783)",,,,
684765159,True,3,Kiewa Street,tertiary,False,6.229,"LINESTRING (146.9159827 -36.0786555, 146.915993 -36.0786001)",,,,
576463985,False,,Townsend Street,primary,True,9.242,"LINESTRING (146.9123428 -36.0844772, 146.9123268 -36.0845593)",,,,
282640453,True,2,Hume Street,primary,False,232.78699999999998,"LINESTRING (146.9123428 -36.0844772, 146.9124991 -36.0844941, 146.9130119 -36.0845641, 146.9136617 -36.0846355, 146.914721 -36.0847616, 146.9147477 -36.0847652, 146.9149047 -36.0847863)",60,B58,,
282640454,False,,Townsend Street,tertiary,False,222.35299999999998,"LINESTRING (146.9123428 -36.0844772, 146.9123596 -36.0844022, 146.9123708 -36.0843523, 146.9123937 -36.0842352, 146.9124138 -36.0841325, 146.9124342 -36.0840282, 146.9124756 -36.0838168, 146.9124944 -36.0837205, 146.9125224 -36.0835774, 146.9127206 -36.0825643, 146.912733 -36.0825026)",,,,
