osmid,name,highway,oneway,reversed,length,ref,maxspeed,geometry,lanes,width
68868744,White Street,residential,False,True,10.183,,,"LINESTRING (115.0388426 -30.3055488, 115.0387787 -30.3054757)",,
321240545,Indian Ocean Drive,trunk,True,False,23.631,60,,"LINESTRING (115.0388426 -30.3055488, 115.0386664 -30.3056972)",,
637176230,Indian Ocean Drive,trunk,False,True,8.189,60,70,"LINESTRING (115.0374269 -30.3066937, 115.0374747 -30.3066327)",,
69705964,Cook Street,residential,False,True,141.475,,50,"LINESTRING (115.0374269 -30.3066937, 115.0372361 -30.3065906, 115.0361779 -30.3060184)",,
637176230,Indian Ocean Drive,trunk,False,False,46.291000000000004,60,70,"LINESTRING (115.0374269 -30.3066937, 115.0373606 -30.3067884, 115.0371773 -30.3070499)",,
743461741,Indian Ocean Drive,trunk,False,False,54.41,60,60,"LINESTRING (115.0435552 -30.3027919, 115.0430667 -30.30304)",2,
68678155,Doust Street,residential,False,True,199.274,,,"LINESTRING (115.0435552 -30.3027919, 115.0433941 -30.3025745, 115.0432789 -30.3024874, 115.0431542 -30.3024066, 115.0419649 -30.301664)",2,7
743461741,Indian Ocean Drive,trunk,False,True,236.562,60,60,"LINESTRING (115.0435552 -30.3027919, 115.0445955 -30.3022677, 115.0456438 -30.3016648)",2,
"[68678154, 68678151]","['Roberts Street', 'Heaton Street']",residential,False,False,476.145,,50,"LINESTRING (115.0394706 -30.3002563, 115.0393918 -30.3003823, 115.0381866 -30.3023087, 115.0380114 -30.3025278, 115.0379602 -30.3026344, 115.0379635 -30.3027186, 115.0379815 -30.3028141, 115.037999 -30.3028655, 115.0380376 -30.3029131, 115.0380904 -30.3029531, 115.0385347 -30.3032228, 115.0392451 -30.3036466)",2,10
68678155,Doust Street,residential,False,False,102.958,,,"LINESTRING (115.0394706 -30.3002563, 115.0397663 -30.3004082, 115.040389 -30.3007344)",2,7
68678153,Sandpiper Street,residential,False,False,102.971,,,"LINESTRING (115.0392451 -30.3036466, 115.0393997 -30.3034448, 115.0398553 -30.3028851)",2,10
68678154,Roberts Street,residential,False,False,154.663,,,"LINESTRING (115.0392451 -30.3036466, 115.0395761 -30.3038409, 115.0400223 -30.3040513, 115.0401942 -30.3041274, 115.0403429 -30.3042116, 115.0405813 -30.3044103)",2,10
"[68678154, 68678151]","['Roberts Street', 'Heaton Street']",residential,False,True,476.145,,50,"LINESTRING (115.0392451 -30.3036466, 115.0385347 -30.3032228, 115.0380904 -30.3029531, 115.0380376 -30.3029131, 115.037999 -30.3028655, 115.0379815 -30.3028141, 115.0379635 -30.3027186, 115.0379602 -30.3026344, 115.0380114 -30.3025278, 115.0381866 -30.3023087, 115.0393918 -30.3003823, 115.0394706 -30.3002563)",2,10
68678155,Doust Street,residential,False,False,95.03,,,"LINESTRING (115.041146 -30.3011839, 115.0419649 -30.301664)",2,7
68678155,Doust Street,residential,False,True,88.204,,,"LINESTRING (115.041146 -30.3011839, 115.040389 -30.3007344)",2,7
68678153,Sandpiper Street,residential,False,True,102.26599999999999,,,"LINESTRING (115.041146 -30.3011839, 115.0410696 -30.3012803, 115.0408902 -30.3015067, 115.0405675 -30.3019559)",2,10
