osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,width,access,tunnel,ref,bridge
770060970,True,2,Western Distributor Onramp,motorway_link,60,False,27.681,"LINESTRING (151.2038821 -33.870974, 151.203804 -33.870977, 151.2035826 -33.8709856)",,,,,
"[1193052357, 77527247]",True,"['4', '3']",Sussex Street,unclassified,50,False,230.802,"LINESTRING (151.2038821 -33.870974, 151.2038952 -33.8710722, 151.2039008 -33.8711252, 151.2039276 -33.8713342, 151.2039808 -33.8717973, 151.2040397 -33.8723168, 151.2040614 -33.8725084, 151.2040918 -33.8727715, 151.2040966 -33.872814, 151.2041079 -33.872919, 151.2041158 -33.8729916, 151.2041212 -33.8730401)",,,,,
"[48539508, 521118940, 521118941, 521118942]",False,"['5', '6']",Park Street,secondary,40,True,251.46199999999996,"LINESTRING (151.2125843 -33.8737152, 151.2125047 -33.8737018, 151.2124178 -33.8736862, 151.2123755 -33.8736795, 151.2122322 -33.873657, 151.2118959 -33.8736009, 151.2115865 -33.8735503, 151.2113604 -33.8735126, 151.2104901 -33.8733632, 151.2102758 -33.8733315, 151.210107 -33.8733123, 151.2100667 -33.8733075, 151.2099094 -33.873293)",,,,,
"[753455242, 753455243, 753455244]",False,5,College Street,secondary,40,False,298.109,"LINESTRING (151.2125843 -33.8737152, 151.2125841 -33.8736256, 151.2125908 -33.8735462, 151.2125968 -33.8735096, 151.2127251 -33.8727203, 151.2127708 -33.8723143, 151.2127934 -33.8721373, 151.2128284 -33.8719204, 151.2129459 -33.8710521)",,,,,
551547081,False,4,Bathurst Street,secondary,50,True,50.496,"LINESTRING (151.2042532 -33.8741226, 151.2041567 -33.8741117, 151.2041276 -33.8741085, 151.2037112 -33.8740616)",,,,,
551547082,True,3,Bathurst Street,secondary,40,False,92.478,"LINESTRING (151.2042532 -33.8741226, 151.2043448 -33.8741319, 151.2051533 -33.8742139, 151.2051847 -33.8742166, 151.2052477 -33.874222)",,,,,
243014970,False,,Sussex Street,tertiary,50,True,118.833,"LINESTRING (151.2033934 -33.8668311, 151.2033914 -33.8669049, 151.2033913 -33.8669276, 151.2034445 -33.8673411, 151.203513 -33.8678945)",,,,,
527690684,False,4,Erskine Street,tertiary,40,False,89.20299999999999,"LINESTRING (151.2033934 -33.8668311, 151.2035218 -33.8668208, 151.2035552 -33.8668182, 151.2042427 -33.8667632, 151.2042772 -33.8667604, 151.2043551 -33.8667542)",12,,,,
"[778420272, 778420271]",True,2,Kent Street,unclassified,40,False,59.074,"LINESTRING (151.2052477 -33.874222, 151.2052338 -33.8741169, 151.2052216 -33.8740247, 151.2051827 -33.8736935)",,,,,
36328671,True,2,Druitt Street,secondary,30,False,94.44099999999999,"LINESTRING (151.205085 -33.8727825, 151.2050054 -33.8728098, 151.2049695 -33.8728124, 151.2048267 -33.8728288, 151.2047276 -33.8728369, 151.204645 -33.8728483, 151.2045578 -33.8728715, 151.2044728 -33.8729, 151.2042589 -33.872989, 151.204226 -33.8730014, 151.2041212 -33.8730401)",,,,,
"[778420267, 524946781, 244140638]",True,"['2', '3']",Kent Street,unclassified,40,False,202.891,"LINESTRING (151.205085 -33.8727825, 151.2050902 -33.8727117, 151.2050535 -33.8724257, 151.2049394 -33.8715652, 151.2048697 -33.8711034, 151.2048657 -33.8710725, 151.2048502 -33.8709694)",,,,,
702324044,False,3,Druitt Street,secondary,30,True,59.101,"LINESTRING (151.205085 -33.8727825, 151.2051446 -33.8727785, 151.2051859 -33.8727757, 151.2052203 -33.8727733, 151.2056091 -33.8727465, 151.2056323 -33.872745, 151.205723 -33.8727389)",,,,,
3190200,True,3,King Street,secondary,40,False,88.509,"LINESTRING (151.2036324 -33.868799, 151.2037127 -33.868792, 151.2044731 -33.8687871, 151.2045078 -33.8687861, 151.2045905 -33.8687837)",,,,,
"[129194905, 243014970]",False,,Sussex Street,tertiary,50,False,101.28,"LINESTRING (151.2036324 -33.868799, 151.2036296 -33.868746, 151.2036191 -33.8687144, 151.2036102 -33.8686876, 151.2035834 -33.8684692, 151.203513 -33.8678945)",,,,,
826184865,True,4,Sussex Street,tertiary,50,False,22.994,"LINESTRING (151.2036324 -33.868799, 151.2036369 -33.8688707, 151.2036454 -33.8690055)",,,,,
"[1015713937, 4987587, 2077108]",False,5,"['Chifley Square', 'Phillip Street']",primary,40,False,129.339,"LINESTRING (151.210757 -33.8663402, 151.210791 -33.8662592, 151.2108033 -33.86623, 151.2110235 -33.8660377, 151.2111385 -33.8659373, 151.211212 -33.8658134, 151.2114586 -33.8653524)",,,,,
"[901816996, 408466887, 152425771, 408466893, 816490712]",False,"['5', '6']",Elizabeth Street,primary,40,False,318.0720000000001,"LINESTRING (151.210757 -33.8663402, 151.2107467 -33.8664179, 151.210741 -33.8664606, 151.2106326 -33.8672999, 151.2105932 -33.8676016, 151.2105893 -33.8676341, 151.210585 -33.8676696, 151.2105801 -33.867711, 151.2105708 -33.8677874, 151.2105616 -33.8678658, 151.2105579 -33.8678965, 151.2105558 -33.8679137, 151.2105142 -33.8682617, 151.210449 -33.8689428, 151.2104325 -33.8690547, 151.2104281 -33.8690845, 151.2104241 -33.8691114, 151.2104191 -33.8691381, 151.210408 -33.8691855)",,,,,
152425775,False,4,Hunter Street,unclassified,40,True,60.649,"LINESTRING (151.210757 -33.8663402, 151.2109275 -33.8663596, 151.2109599 -33.8663639, 151.2114062 -33.8664232)",,,,,
235499634,False,4,Hunter Street,unclassified,40,False,66.69699999999999,"LINESTRING (151.210757 -33.8663402, 151.2106172 -33.8663191, 151.21058 -33.8663135, 151.2101574 -33.8662496, 151.2101293 -33.8662449, 151.210047 -33.8662299)",,,,,
324139693,False,6,Elizabeth Street,primary,40,False,35.943,"LINESTRING (151.2102321 -33.870425, 151.2102143 -33.8705627, 151.2102035 -33.8706483, 151.2101987 -33.8707469)",,,,,
378056657,False,5,Elizabeth Street,primary,40,True,67.736,"LINESTRING (151.2102321 -33.870425, 151.2102638 -33.8701737, 151.2103124 -33.8698195)",,,,,
152425775,False,4,Hunter Street,unclassified,40,False,92.572,"LINESTRING (151.212395 -33.866561, 151.2122925 -33.8665467, 151.2122657 -33.866543, 151.2114062 -33.8664232)",,,,,
333018552,False,4,Macquarie Street,secondary,40,True,50.421,"LINESTRING (151.212395 -33.866561, 151.2124091 -33.8664768, 151.2124124 -33.8664569, 151.2124704 -33.8661119)",,,,,
"[753455241, 785917939]",False,4,Macquarie Street,secondary,40,False,362.907,"LINESTRING (151.212395 -33.866561, 151.2123872 -33.8666308, 151.2123842 -33.8666575, 151.2122597 -33.8677776, 151.2122533 -33.8678287, 151.2122485 -33.8678664, 151.2122427 -33.8679123, 151.212239 -33.8679427, 151.2122319 -33.8679996, 151.2122277 -33.8680336, 151.2122263 -33.8680447, 151.2121958 -33.868291, 151.2121546 -33.868625, 151.2120066 -33.8696806, 151.212002 -33.8697119, 151.2119883 -33.869807)",,,,,
4990150,True,2,Shakespeare Place,motorway_link,40,False,80.66399999999999,"LINESTRING (151.2125342 -33.8657237, 151.2126607 -33.8656808, 151.2128725 -33.8657067, 151.2133936 -33.8657429)",,,,,
435287619,False,4,Macquarie Street,secondary,40,False,43.566,"LINESTRING (151.2125342 -33.8657237, 151.2125175 -33.8658249, 151.2125125 -33.8658553, 151.2124704 -33.8661119)",,,,,
