osmid,highway,junction,oneway,reversed,length,geometry,name,lanes,bridge,maxspeed
37036807,secondary,roundabout,True,False,24.072999999999997,"LINESTRING (152.3510983 -24.8653782, 152.3511325 -24.8653966, 152.351159 -24.8654235, 152.3511753 -24.8654564, 152.3511799 -24.8654923, 152.3511724 -24.8655277, 152.3511534 -24.8655594)",,,,
37036831,secondary,,True,False,35.394,"LINESTRING (152.3510983 -24.8653782, 152.3511356 -24.8653817, 152.3511748 -24.8653767, 152.3513171 -24.8653391, 152.3514376 -24.8653072)",Bourbong Street,,,
1196554649,secondary,roundabout,True,False,1.801,"LINESTRING (152.3532956 -24.864782, 152.3533117 -24.864789)",,1,,
1196544070,secondary,roundabout,True,False,4.384,"LINESTRING (152.3553004 -24.8642483, 152.3553186 -24.8642125)",,1,,
37036807,secondary,roundabout,True,False,1.842,"LINESTRING (152.3511534 -24.8655594, 152.3511413 -24.8655718)",,,,
1196544070,secondary,roundabout,True,False,4.388,"LINESTRING (152.3553861 -24.8644113, 152.3553488 -24.864391)",,1,,
37036807,secondary,roundabout,True,False,23.863,"LINESTRING (152.3510028 -24.865598, 152.3509732 -24.8655833, 152.3509487 -24.8655622, 152.350931 -24.865536, 152.3509213 -24.8655067, 152.3509203 -24.865476, 152.350928 -24.8654462, 152.3509439 -24.8654191)",,,,
37036832,secondary,,True,False,34.591,"LINESTRING (152.3510028 -24.865598, 152.3509734 -24.8655964, 152.3509427 -24.8656018, 152.3506726 -24.8656758)",Bourbong Street,,,
37036807,secondary,roundabout,True,False,1.759,"LINESTRING (152.3509439 -24.8654191, 152.350955 -24.8654069)",,,,
37036814,secondary,,True,False,88.637,"LINESTRING (152.3555365 -24.8641812, 152.3555619 -24.8641861, 152.3555898 -24.8641871, 152.3556141 -24.8641838, 152.3556543 -24.8641728, 152.3561588 -24.8640353, 152.3562004 -24.8640188, 152.3563621 -24.8639355)",Bourbong Street,,,
1196544070,secondary,roundabout,True,False,18.001,"LINESTRING (152.3555365 -24.8641812, 152.3555667 -24.864211, 152.3555858 -24.8642476, 152.3555921 -24.8642876, 152.3555851 -24.8643276)",,1,,
37036856,secondary,,True,False,61.964999999999996,"LINESTRING (152.3562837 -24.863372, 152.35638 -24.8636118, 152.3564101 -24.8636868, 152.3564261 -24.8637225, 152.3564434 -24.8637612, 152.3564838 -24.8638177, 152.3565372 -24.8638744)",Toonburra Street,,,
"[371734269, 357758133]",secondary,,False,True,144.63000000000002,"LINESTRING (152.3562837 -24.863372, 152.3562587 -24.8633007, 152.3562292 -24.8632319, 152.3562005 -24.8631757, 152.3561663 -24.863115, 152.3561311 -24.8630676, 152.3560992 -24.8630394, 152.356057 -24.8630095, 152.3560185 -24.8629891, 152.3559728 -24.8629747, 152.3559217 -24.8629656, 152.3558698 -24.8629635, 152.3558123 -24.8629684, 152.355773 -24.8629743, 152.3557466 -24.8629782, 152.3554255 -24.8630551, 152.355124 -24.8631273)","['Quay Street', 'Toonburra Street']",,,
37036857,tertiary,roundabout,True,False,1.255,"LINESTRING (152.3562466 -24.8665187, 152.3562572 -24.8665246)",,1,,
37036857,tertiary,roundabout,True,False,1.516,"LINESTRING (152.3561528 -24.8666827, 152.3561399 -24.8666757)",,1,,
37036857,tertiary,roundabout,True,False,15.007,"LINESTRING (152.356284 -24.8666492, 152.3562646 -24.8666697, 152.3562395 -24.8666842, 152.3562109 -24.8666915, 152.3561811 -24.8666909, 152.3561528 -24.8666827)",,1,,
37059034,tertiary,,True,False,21.788,"LINESTRING (152.356284 -24.8666492, 152.3562755 -24.8666837, 152.3562749 -24.8667089, 152.3562861 -24.8668439)",Walla Street,,,
"[173586232, 356424344, 356424343]",residential,,False,False,173.07799999999997,"LINESTRING (152.3540882 -24.8674516, 152.354341 -24.8683337, 152.3543703 -24.8684283, 152.3543971 -24.8685034, 152.354422 -24.8685441, 152.3544435 -24.8685816, 152.3544774 -24.8686301, 152.3545063 -24.8686683, 152.354558 -24.8687221, 152.3547239 -24.8688597)",Tantitha Street,,yes,
1265074575,residential,,True,False,23.235000000000003,"LINESTRING (152.3540882 -24.8674516, 152.3540577 -24.8674025, 152.3540066 -24.8673204, 152.3539877 -24.8673017, 152.3539586 -24.867282)",Tantitha Street,,,
173586222,tertiary,,False,True,57.087,"LINESTRING (152.3534896 -24.8673411, 152.3532012 -24.8674206, 152.3531416 -24.8674373, 152.3529481 -24.8674901)",Woondooma Street,,,
1197168936,tertiary,,True,False,47.150999999999996,"LINESTRING (152.3534896 -24.8673411, 152.3536208 -24.8672736, 152.3537856 -24.8672267, 152.3538251 -24.8672155, 152.3538538 -24.8672035, 152.3538765 -24.8671891, 152.3539098 -24.8671642)",Woondooma Street,,,
37036908,tertiary,,False,False,140.101,"LINESTRING (152.3545239 -24.8670556, 152.3545542 -24.8670483, 152.3555743 -24.8667723, 152.3556317 -24.8667567, 152.3558548 -24.8666959)",Woondooma Street,,,
1197168935,tertiary,,True,False,47.94800000000001,"LINESTRING (152.3545239 -24.8670556, 152.3543908 -24.8671241, 152.3542245 -24.8671734, 152.3541699 -24.8671896, 152.354141 -24.8672022, 152.3541183 -24.8672197, 152.3540972 -24.8672364)",Woondooma Street,,,
173445873,tertiary,,True,False,67.518,"LINESTRING (152.3517217 -24.8677587, 152.3517249 -24.8677194, 152.3517175 -24.8676887, 152.3515467 -24.8671752)",Targo Street,,,
1197212833,tertiary,roundabout,True,False,16.886,"LINESTRING (152.3517217 -24.8677587, 152.3517364 -24.8677372, 152.351757 -24.8677202, 152.351782 -24.8677088, 152.3518094 -24.8677041, 152.3518372 -24.8677063, 152.3518633 -24.8677152)",,1,,
1197212833,tertiary,roundabout,True,False,3.489,"LINESTRING (152.3518633 -24.8677152, 152.3518904 -24.8677347)",,1,,
37036860,secondary,roundabout,True,False,15.723,"LINESTRING (152.3496654 -24.8683094, 152.3496901 -24.8683267, 152.3497085 -24.8683495, 152.3497192 -24.868376, 152.3497214 -24.8684042, 152.3497148 -24.8684319)",,1,,
1197684705,tertiary,,True,False,40.23,"LINESTRING (152.3496654 -24.8683094, 152.3496911 -24.8683145, 152.3497161 -24.8683158, 152.3500607 -24.8682757)",Woondooma Street,,,
37036860,secondary,roundabout,True,False,2.218,"LINESTRING (152.3497148 -24.8684319, 152.3497051 -24.8684498)",,1,,
37036860,secondary,roundabout,True,False,1.909,"LINESTRING (152.3495087 -24.8683579, 152.3495175 -24.8683427)",,1,,
37036860,secondary,roundabout,True,False,14.891,"LINESTRING (152.3495451 -24.868478, 152.3495239 -24.8684594, 152.3495088 -24.8684363, 152.349501 -24.8684105, 152.3495009 -24.8683837, 152.3495087 -24.8683579)",,1,,
1197684706,tertiary,,True,False,26.338,"LINESTRING (152.3495451 -24.868478, 152.349511 -24.8684715, 152.349477 -24.868471, 152.3492857 -24.868488)",Woondooma Street,,,
37036861,tertiary,roundabout,True,False,17.71,"LINESTRING (152.3513299 -24.8666034, 152.3513535 -24.8665798, 152.3513832 -24.8665628, 152.3514168 -24.8665536, 152.3514519 -24.8665529, 152.3514859 -24.8665608)",,1,,
173445870,tertiary,,True,False,53.4,"LINESTRING (152.3513299 -24.8666034, 152.3513348 -24.8665806, 152.3513368 -24.8665597, 152.3513325 -24.866531, 152.351231 -24.8662267, 152.3512025 -24.8661414)",Targo Street,,,
37036861,tertiary,roundabout,True,False,2.109,"LINESTRING (152.3513196 -24.8666199, 152.3513299 -24.8666034)",,1,,
