osmid,name,highway,oneway,reversed,length,ref,maxspeed,geometry,width,lanes
10949617,Gordon Young Drive,tertiary,False,False,201.706,,,"LINESTRING (153.0389874 -30.8903782, 153.0368979 -30.8901038)",,
34876385,Gregory Street,secondary,False,False,45.221,12,50,"LINESTRING (153.0389874 -30.8903782, 153.0390463 -30.890085, 153.0390613 -30.8899766)",,
34876385,Gregory Street,secondary,False,True,338.953,12,50,"LINESTRING (153.0389874 -30.8903782, 153.0389713 -30.8904503, 153.0389561 -30.890554, 153.038945 -30.8906621, 153.038943 -30.8907924, 153.0389461 -30.8910284, 153.0389553 -30.8913841, 153.0389741 -30.8916584, 153.0390497 -30.8920376, 153.0393744 -30.8933894)",,
34876385,Gregory Street,secondary,False,True,45.221,12,50,"LINESTRING (153.0390613 -30.8899766, 153.0390463 -30.890085, 153.0389874 -30.8903782)",,
10949617,Gordon Young Drive,tertiary,False,True,201.706,,,"LINESTRING (153.0368979 -30.8901038, 153.0389874 -30.8903782)",,
174632648,Roy Sanders Street,residential,False,False,185.012,,,"LINESTRING (153.0368979 -30.8901038, 153.0368812 -30.8901884, 153.0367584 -30.890809, 153.0367275 -30.890884, 153.0366144 -30.8909105, 153.0357288 -30.890797)",,
174632681,Hill Street,residential,False,True,17.681,,,"LINESTRING (153.0405654 -30.8905879, 153.0407475 -30.8906173)",,
174632656,Sturt Street,residential,False,True,144.854,,,"LINESTRING (153.0407475 -30.8906173, 153.0405023 -30.8919029)",,
174632681,Hill Street,residential,False,False,17.681,,,"LINESTRING (153.0407475 -30.8906173, 153.0405654 -30.8905879)",,
174632681,Hill Street,residential,False,True,97.632,,,"LINESTRING (153.0407475 -30.8906173, 153.041758 -30.890755)",,
174632451,John Shaw Close,residential,False,False,78.627,,,"LINESTRING (153.0357288 -30.890797, 153.0356334 -30.8913693, 153.035628 -30.8914982)",10,
174632648,Roy Sanders Street,residential,False,True,185.012,,,"LINESTRING (153.0357288 -30.890797, 153.0366144 -30.8909105, 153.0367275 -30.890884, 153.0367584 -30.890809, 153.0368812 -30.8901884, 153.0368979 -30.8901038)",,
174632681,Hill Street,residential,False,False,59.834,,,"LINESTRING (153.042376 -30.8908461, 153.041758 -30.890755)",,
174632681,Hill Street,residential,False,True,96.641,,,"LINESTRING (153.042376 -30.8908461, 153.0433738 -30.890995)",,
174632694,Mitchell Street,residential,False,True,142.879,,,"LINESTRING (153.042376 -30.8908461, 153.0421732 -30.8921192)",,
