osmid,lanes,name,highway,oneway,reversed,length,ref,maxspeed,geometry,junction
739560733,3,Moss Street,tertiary,False,True,14.98,,,"LINESTRING (150.6058938 -34.8722062, 150.6057314 -34.8722261)",
"[569142066, 739560734]",3,East Street,trunk,True,False,96.465,A1,70,"LINESTRING (150.6058938 -34.8722062, 150.6059079 -34.8722945, 150.6059269 -34.872414, 150.6059437 -34.8725802, 150.6059465 -34.8728152, 150.6059293 -34.873071)",
4907839,3,East Street,trunk,True,False,444.64799999999997,A1,70,"LINESTRING (150.6059293 -34.873071, 150.6059066 -34.8732871, 150.6058715 -34.8734924, 150.6058025 -34.8738475, 150.6055622 -34.8750434, 150.6053489 -34.8760766, 150.6051513 -34.8770178)",
5300170,,Worrigee Street,residential,False,True,13.221,,,"LINESTRING (150.6051513 -34.8770178, 150.6050088 -34.8769961)",
318470022,,Bridge Road,secondary,False,False,58.672000000000004,,,"LINESTRING (150.6007523 -34.8718512, 150.6007737 -34.8719329, 150.600804 -34.8720118, 150.6009658 -34.8723479)",
318470022,,Bridge Road,secondary,False,True,129.216,,,"LINESTRING (150.6007523 -34.8718512, 150.6007412 -34.8717709, 150.6007499 -34.8716003, 150.6007944 -34.8714101, 150.6008536 -34.8711402, 150.600926 -34.8707016)",
4907920,,North Street,tertiary,False,False,39.781,,,"LINESTRING (150.6009658 -34.8723479, 150.6005369 -34.8722833)",
5020286,,North Street,secondary,False,False,89.951,,,"LINESTRING (150.6009658 -34.8723479, 150.601631 -34.8724409, 150.6019378 -34.8724838)",
173306139,,Berry Street,residential,False,True,223.96800000000002,,,"LINESTRING (150.6009658 -34.8723479, 150.6009955 -34.8724093, 150.6010074 -34.8724411, 150.6010142 -34.872476, 150.60101 -34.8725228, 150.6010038 -34.8725549, 150.6009485 -34.8728388, 150.6007389 -34.8738563, 150.6006395 -34.87433)",
318470022,,Bridge Road,secondary,False,True,58.672000000000004,,,"LINESTRING (150.6009658 -34.8723479, 150.600804 -34.8720118, 150.6007737 -34.8719329, 150.6007523 -34.8718512)",
173306121,,North Street,secondary,False,True,93.105,,,"LINESTRING (150.6057795 -34.8730358, 150.6047741 -34.8728919)",
4905101,3,East Street,trunk,True,False,90.254,A1,70,"LINESTRING (150.6057795 -34.8730358, 150.6057837 -34.8728158, 150.6057747 -34.8726119, 150.6057589 -34.872407, 150.6057447 -34.8723135, 150.6057314 -34.8722261)",
739560733,3,Moss Street,tertiary,False,False,14.98,,,"LINESTRING (150.6057314 -34.8722261, 150.6058938 -34.8722062)",
739560733,3,Moss Street,tertiary,False,True,97.45100000000001,,,"LINESTRING (150.6057314 -34.8722261, 150.6056523 -34.8722363, 150.604767 -34.8723481, 150.6047205 -34.8723646, 150.6046885 -34.8723866)",
4907920,,North Street,tertiary,False,True,113.861,,,"LINESTRING (150.5962652 -34.871674, 150.5974945 -34.871851)",
173306122,,Shoalhaven Street,residential,False,True,114.604,,,"LINESTRING (150.5962652 -34.871674, 150.5960534 -34.8726899)",
5020286,,North Street,secondary,False,True,138.931,,,"LINESTRING (150.6034372 -34.8727025, 150.6021213 -34.8725106, 150.6020296 -34.8724972, 150.6019378 -34.8724838)",
5366487,,Moss Street,residential,True,False,133.886,,,"LINESTRING (150.6034372 -34.8727025, 150.6034601 -34.8725906, 150.6034786 -34.8725477, 150.6035074 -34.8725127, 150.6035468 -34.8724794, 150.6036039 -34.8724587, 150.6036874 -34.8724454, 150.6041446 -34.8723967, 150.6045702 -34.8723476, 150.6046885 -34.8723866)",
173306138,,Kinghorne Street,residential,False,True,222.112,,,"LINESTRING (150.6034372 -34.8727025, 150.6033456 -34.8731483, 150.6031306 -34.8741945, 150.6030564 -34.8745517, 150.6030517 -34.8745741, 150.6030317 -34.8746721)",
1101691269,,North Street,secondary,False,False,102.656,,,"LINESTRING (150.6034372 -34.8727025, 150.6041106 -34.8727969, 150.6042761 -34.8728201, 150.6045464 -34.872858)",
5020301,2,Plunkett Street,tertiary,False,False,102.83,,,"LINESTRING (150.5998335 -34.8782715, 150.6009427 -34.8784364)",
173303659,2,Plunkett Street,tertiary,False,True,106.763,,,"LINESTRING (150.5998335 -34.8782715, 150.5991837 -34.8781805, 150.5986798 -34.87811)",
173306133,,Berry Street,residential,False,True,193.726,,,"LINESTRING (150.5998335 -34.8782715, 150.6001277 -34.8768221, 150.600182 -34.8765529)",
739560733,3,Moss Street,tertiary,False,False,97.451,,,"LINESTRING (150.6046885 -34.8723866, 150.6047205 -34.8723646, 150.604767 -34.8723481, 150.6056523 -34.8722363, 150.6057314 -34.8722261)",
739560733,3,Moss Street,tertiary,False,True,43.96600000000001,,,"LINESTRING (150.6046885 -34.8723866, 150.6046623 -34.872422, 150.6046521 -34.872464, 150.6046567 -34.8726048, 150.6046726 -34.8727746)",
5020289,,Junction Street,residential,False,True,221.881,,,"LINESTRING (150.6006395 -34.87433, 150.5982435 -34.8739869)",
173306139,,Berry Street,residential,False,True,48.21,,,"LINESTRING (150.6006395 -34.87433, 150.60055 -34.8747573)",
