osmid,name,highway,oneway,reversed,length,lanes,maxspeed,geometry,bridge,junction
407413646,Laggan Road,tertiary,False,False,53.267,,,"LINESTRING (149.4674417 -34.4556591, 149.4675966 -34.4551974)",,
380746451,Goulburn Street,primary,False,True,140.781,2,50,"LINESTRING (149.4674417 -34.4556591, 149.4674756 -34.4556749, 149.4675308 -34.4557145, 149.4685172 -34.4565606)",,
26923941,Wade Street,residential,False,True,148.146,,,"LINESTRING (149.4670824 -34.4606543, 149.4659562 -34.4596989)",,
26923934,Spring Street,residential,False,False,136.583,,,"LINESTRING (149.4670824 -34.4606543, 149.4676159 -34.4602241, 149.4681415 -34.4597905)",,
26923941,Wade Street,residential,False,False,231.418,,,"LINESTRING (149.4670824 -34.4606543, 149.4676836 -34.4611432, 149.468848 -34.4621414)",,
171005290,Findhorn Street,residential,False,True,36.473,,,"LINESTRING (149.4731684 -34.4553786, 149.4734958 -34.4555649)",,
42475998,Spring Street,residential,False,True,64.558,,,"LINESTRING (149.4731684 -34.4553786, 149.4731191 -34.4555915, 149.4730346 -34.4557671, 149.4729126 -34.4559102)",,
26924107,Roberts Street,residential,False,False,69.816,,,"LINESTRING (149.4685172 -34.4565606, 149.468602 -34.4564958, 149.4690758 -34.4561339)",,
26924107,Roberts Street,residential,False,True,134.257,,,"LINESTRING (149.4685172 -34.4565606, 149.468432 -34.4566281, 149.4679749 -34.4569904, 149.467479 -34.4574118)",,
380746451,Goulburn Street,primary,False,False,140.781,2,50,"LINESTRING (149.4685172 -34.4565606, 149.4675308 -34.4557145, 149.4674756 -34.4556749, 149.4674417 -34.4556591)",,
380746451,Goulburn Street,primary,False,True,224.019,2,50,"LINESTRING (149.4685172 -34.4565606, 149.4697356 -34.4575716, 149.4702072 -34.4580145)",,
407413646,Laggan Road,tertiary,False,True,53.267,,,"LINESTRING (149.4675966 -34.4551974, 149.4674417 -34.4556591)",,
26923937,Robertson Lane,residential,False,False,178.218,,,"LINESTRING (149.4675966 -34.4551974, 149.4676947 -34.4551972, 149.4679827 -34.4552205, 149.4690758 -34.4561339)",,
"[407413645, 407413646, 26923935]",Laggan Road,tertiary,False,False,136.577,,,"LINESTRING (149.4675966 -34.4551974, 149.4676144 -34.4551528, 149.4676706 -34.4549815, 149.4677124 -34.4548599, 149.4678268 -34.4545932, 149.4680917 -34.4540402)",yes,
26924107,Roberts Street,residential,False,False,66.244,,,"LINESTRING (149.4690758 -34.4561339, 149.4696017 -34.4557254)",,
26923937,Robertson Lane,residential,False,True,178.21800000000002,,,"LINESTRING (149.4690758 -34.4561339, 149.4679827 -34.4552205, 149.4676947 -34.4551972, 149.4675966 -34.4551974)",,
26924107,Roberts Street,residential,False,True,69.816,,,"LINESTRING (149.4690758 -34.4561339, 149.468602 -34.4564958, 149.4685172 -34.4565606)",,
26923941,Wade Street,residential,False,True,231.418,,,"LINESTRING (149.468848 -34.4621414, 149.4676836 -34.4611432, 149.4670824 -34.4606543)",,
171005288,Colyer Street,tertiary,False,False,134.731,,,"LINESTRING (149.468848 -34.4621414, 149.4691066 -34.4619208, 149.4693707 -34.4617175, 149.4698971 -34.4612932)",,
380746423,Goulburn Street,primary,False,True,222.35,2,50,"LINESTRING (149.4720223 -34.459565, 149.4703439 -34.4581216)",,
