osmid,ref,highway,oneway,reversed,length,name,width,geometry,maxspeed
530089659,27DR027,unclassified,False,False,49.309,,,"LINESTRING (85.3370167 27.7478939, 85.3372759 27.7482734)",
165929099,27DR027,unclassified,False,True,39.63999999999999,Dhapasi Marg,5,"LINESTRING (85.3370167 27.7478939, 85.336965 27.7478394, 85.3368319 27.7477853, 85.3367303 27.7477494, 85.3366759 27.7477155)",
530089660,,unclassified,False,False,46.635,Dhapasi Marg,,"LINESTRING (85.3370167 27.7478939, 85.3370776 27.747776, 85.3371658 27.7477173, 85.3372647 27.7476488, 85.3373247 27.7475877)",
138959841,,unclassified,False,True,32.295,,7,"LINESTRING (85.3312824 27.7487016, 85.3314157 27.748967)",30
138959841,,unclassified,False,False,87.111,,7,"LINESTRING (85.3312824 27.7487016, 85.3310768 27.7482336, 85.3309644 27.7479705)",30
222753166,,residential,False,False,96.581,,,"LINESTRING (85.3312824 27.7487016, 85.3310412 27.7487064, 85.3309949 27.748715, 85.3309476 27.7487328, 85.330453 27.7490943)",
138959841,,unclassified,False,False,46.347,,7,"LINESTRING (85.3322547 27.7498508, 85.3318996 27.749577)",30
138959841,,unclassified,False,True,16.681,,7,"LINESTRING (85.3322547 27.7498508, 85.3324036 27.7499225)",30
172667992,,residential,False,True,107.429,,,"LINESTRING (85.3322547 27.7498508, 85.3320701 27.7500088, 85.3319474 27.7500728, 85.3313436 27.7503728)",
606426469,,unclassified,False,True,14.992,,,"LINESTRING (85.3380709 27.749852, 85.3381649 27.7499581)",
138959841,,unclassified,False,False,58.82299999999999,,7,"LINESTRING (85.3380709 27.749852, 85.3377987 27.7499086, 85.3374894 27.7499745)",30
138959841,,unclassified,False,True,62.479,,7,"LINESTRING (85.3380709 27.749852, 85.3381048 27.7497489, 85.3381303 27.7496385, 85.3381222 27.749595, 85.3380856 27.7495161, 85.338034 27.7494414, 85.337943 27.7493778, 85.3379236 27.7493636)",30
138959841,,unclassified,False,False,106.904,,7,"LINESTRING (85.3374894 27.7499745, 85.3371028 27.7501127, 85.3368509 27.7503838, 85.3367718 27.7504366, 85.3366257 27.7505198)",30
