osmid,ref,name,highway,oneway,reversed,length,lanes,geometry,bridge,junction,width
353907814,,,secondary,True,False,25.276,,"LINESTRING (85.9333077 26.7319699, 85.9333266 26.731936, 85.9333331 26.7318986, 85.9333264 26.7318611, 85.9333074 26.7318273, 85.9332777 26.7318002, 85.9332402 26.7317825)",,roundabout,
356824737,,Factory Road,secondary,False,False,42.621,2,"LINESTRING (85.9332402 26.7317825, 85.9333579 26.7314139)",,,
353907814,,,secondary,True,False,18.553,,"LINESTRING (85.9332402 26.7317825, 85.9331941 26.7317758, 85.9331481 26.7317832, 85.9331076 26.7318039, 85.9330771 26.7318355)",,roundabout,
356824742,,Station Road,tertiary,False,True,51.785,,"LINESTRING (85.9321381 26.7312418, 85.932564 26.7315105)",,,
353908690,,,residential,False,False,154.17399999999998,,"LINESTRING (85.9321381 26.7312418, 85.9321988 26.7311419, 85.9322992 26.7310168, 85.9324018 26.7309751, 85.9324387 26.7309714, 85.9326565 26.7309354, 85.932876 26.7308937, 85.9330511 26.7308645, 85.9332449 26.730827, 85.9334084 26.730802, 85.9335176 26.7307705)",,,
356824737,,Factory Road,secondary,False,False,6.235,2,"LINESTRING (85.9335176 26.7307705, 85.9335506 26.7307228)",,,
353908690,,,residential,False,True,154.174,,"LINESTRING (85.9335176 26.7307705, 85.9334084 26.730802, 85.9332449 26.730827, 85.9330511 26.7308645, 85.932876 26.7308937, 85.9326565 26.7309354, 85.9324387 26.7309714, 85.9324018 26.7309751, 85.9322992 26.7310168, 85.9321988 26.7311419, 85.9321381 26.7312418)",,,
356824737,,Factory Road,secondary,False,True,73.30799999999999,2,"LINESTRING (85.9335176 26.7307705, 85.9334862 26.7308664, 85.9333579 26.7314139)",,,
353907814,,,secondary,True,False,16.271,,"LINESTRING (85.933163 26.7320166, 85.933186 26.7320216, 85.9332325 26.7320173, 85.9332747 26.7319994, 85.9333077 26.7319699)",,roundabout,
356824742,,Station Road,tertiary,False,False,51.785,,"LINESTRING (85.932564 26.7315105, 85.9321381 26.7312418)",,,
356824742,,Station Road,tertiary,False,True,62.472,,"LINESTRING (85.932564 26.7315105, 85.9330419 26.7318119, 85.9330771 26.7318355)",,,
312802662,,,unclassified,False,False,86.741,,"LINESTRING (85.9316482 26.7274504, 85.9317921 26.7274183, 85.9323898 26.7273266, 85.9325035 26.7272964)",,,
634147705,,,residential,False,False,98.48100000000001,,"LINESTRING (85.9315075 26.7269479, 85.9316524 26.7268425, 85.9320171 26.7267755, 85.9322585 26.7267467, 85.9324429 26.7267103)",,,
341500648,,,unclassified,False,True,29.589,,"LINESTRING (85.9324429 26.7267103, 85.9323248 26.726466)",,,
341500648,,,unclassified,False,False,66.372,,"LINESTRING (85.9324429 26.7267103, 85.9325014 26.7268313, 85.9325035 26.7272964)",,,
634147705,,,residential,False,True,98.481,,"LINESTRING (85.9324429 26.7267103, 85.9322585 26.7267467, 85.9320171 26.7267755, 85.9316524 26.7268425, 85.9315075 26.7269479)",,,
341500648,,,unclassified,False,False,29.589,,"LINESTRING (85.9323248 26.726466, 85.9324429 26.7267103)",,,
341500648,,,unclassified,False,True,13.768,,"LINESTRING (85.9323248 26.726466, 85.9322699 26.7263523)",,,
634147841,,,residential,False,False,59.483,,"LINESTRING (85.9331168 26.7291471, 85.9337139 26.7291051)",,,
634147841,,,residential,False,True,59.483,,"LINESTRING (85.9337139 26.7291051, 85.9331168 26.7291471)",,,
356824737,,Factory Road,secondary,False,False,83.334,2,"LINESTRING (85.9337139 26.7291051, 85.9337479 26.7285417, 85.9337556 26.7283566)",,,
356824737,,Factory Road,secondary,False,True,66.481,2,"LINESTRING (85.9337139 26.7291051, 85.9336808 26.7296552, 85.9336751 26.7297019)",,,
634148661,,,residential,False,False,99.13499999999999,,"LINESTRING (85.9337139 26.7291051, 85.9340234 26.7290369, 85.9343185 26.7289651, 85.9346833 26.7288932)",,,
312802663,,,residential,False,False,232.23800000000003,,"LINESTRING (85.9320105 26.7284919, 85.9323058 26.7282776, 85.9327634 26.7279022, 85.933109 26.7276102, 85.9334266 26.7273683, 85.9337986 26.7271527)",,,
634147842,,,residential,False,False,176.95499999999998,,"LINESTRING (85.9320105 26.7284919, 85.9325589 26.7284476, 85.9329613 26.7283901, 85.9332295 26.7283805, 85.9333958 26.7282991, 85.9336479 26.7283422, 85.9337556 26.7283566)",,,
356824737,,Factory Road,secondary,False,False,57.661,2,"LINESTRING (85.9337556 26.7283566, 85.9337771 26.7278384)",,,
356824737,,Factory Road,secondary,False,True,83.334,2,"LINESTRING (85.9337556 26.7283566, 85.9337479 26.7285417, 85.9337139 26.7291051)",,,
634147842,,,residential,False,True,176.955,,"LINESTRING (85.9337556 26.7283566, 85.9336479 26.7283422, 85.9333958 26.7282991, 85.9332295 26.7283805, 85.9329613 26.7283901, 85.9325589 26.7284476, 85.9320105 26.7284919)",,,
356824737,,Factory Road,secondary,False,True,57.661,2,"LINESTRING (85.9337771 26.7278384, 85.9337556 26.7283566)",,,
356824737,,Factory Road,secondary,False,False,76.279,2,"LINESTRING (85.9337771 26.7278384, 85.9337881 26.7275719, 85.9337986 26.7271527)",,,
634147843,,,residential,False,False,121.484,,"LINESTRING (85.9337771 26.7278384, 85.9342863 26.727772, 85.9346672 26.7276906, 85.9349726 26.7276148)",,,
634147843,,,residential,False,True,223.16699999999997,,"LINESTRING (85.9351768 26.7289267, 85.9354343 26.7288549, 85.9354235 26.7281697, 85.9354128 26.7274989, 85.93515 26.7275708, 85.9349726 26.7276148)",,,
634148199,,,residential,False,True,164.099,,"LINESTRING (85.9351768 26.7289267, 85.9349944 26.7289267, 85.9349944 26.7286632, 85.9349944 26.7284045, 85.9350051 26.7282368, 85.9349944 26.7279972, 85.9349726 26.7276148)",,,
634148199,,,residential,False,False,219.03,,"LINESTRING (85.9351768 26.7289267, 85.9352412 26.7291088, 85.9353002 26.7292382, 85.935048 26.7292956, 85.9348013 26.7293579, 85.9344687 26.7294346, 85.9344794 26.7295735, 85.9342702 26.7296262, 85.9339591 26.7296789, 85.9336751 26.7297019)",,,
634147843,,,residential,False,False,223.167,,"LINESTRING (85.9349726 26.7276148, 85.93515 26.7275708, 85.9354128 26.7274989, 85.9354235 26.7281697, 85.9354343 26.7288549, 85.9351768 26.7289267)",,,
634148199,,,residential,False,False,164.09900000000002,,"LINESTRING (85.9349726 26.7276148, 85.9349944 26.7279972, 85.9350051 26.7282368, 85.9349944 26.7284045, 85.9349944 26.7286632, 85.9349944 26.7289267, 85.9351768 26.7289267)",,,
634147843,,,residential,False,True,121.484,,"LINESTRING (85.9349726 26.7276148, 85.9346672 26.7276906, 85.9342863 26.727772, 85.9337771 26.7278384)",,,
356824737,,Factory Road,secondary,False,True,9.31,2,"LINESTRING (85.9336751 26.7297019, 85.9336527 26.7297832)",,,
356824737,,Factory Road,secondary,False,False,66.481,2,"LINESTRING (85.9336751 26.7297019, 85.9336808 26.7296552, 85.9337139 26.7291051)",,,
634148199,,,residential,False,True,219.02999999999997,,"LINESTRING (85.9336751 26.7297019, 85.9339591 26.7296789, 85.9342702 26.7296262, 85.9344794 26.7295735, 85.9344687 26.7294346, 85.9348013 26.7293579, 85.935048 26.7292956, 85.9353002 26.7292382, 85.9352412 26.7291088, 85.9351768 26.7289267)",,,
341500595,,,unclassified,False,True,16.567,,"LINESTRING (85.9371749 26.7276919, 85.9371931 26.72784)",,,
341500595,,,unclassified,False,False,161.464,,"LINESTRING (85.9371749 26.7276919, 85.9371403 26.7274137, 85.9368983 26.7266541, 85.9368484 26.7262743)",,,
634148201,,,residential,False,False,134.98499999999999,,"LINESTRING (85.9371749 26.7276919, 85.9367378 26.7277145, 85.9363516 26.7278056, 85.935842 26.7279062)",,,
634148201,,,residential,False,True,134.985,,"LINESTRING (85.935842 26.7279062, 85.9363516 26.7278056, 85.9367378 26.7277145, 85.9371749 26.7276919)",,,
634148202,,,residential,False,True,49.921,,"LINESTRING (85.9359841 26.7289375, 85.9360777 26.7293786)",,,
766040737,,,residential,False,False,59.185,,"LINESTRING (85.9359841 26.7289375, 85.9365714 26.7288472)",,,
634148202,,,residential,False,False,188.86400000000003,,"LINESTRING (85.9359841 26.7289375, 85.9359224 26.7285386, 85.9359343 26.728506, 85.9359474 26.7284595, 85.9364131 26.728428, 85.9369184 26.7283988, 85.9373015 26.7283616)",,,
634148661,,,residential,False,True,99.13499999999999,,"LINESTRING (85.9346833 26.7288932, 85.9343185 26.7289651, 85.9340234 26.7290369, 85.9337139 26.7291051)",,,
356824737,,Factory Road,secondary,False,False,104.97,2,"LINESTRING (85.9335506 26.7307228, 85.9336527 26.7297832)",,,
356824737,,Factory Road,secondary,False,True,6.235,2,"LINESTRING (85.9335506 26.7307228, 85.9335176 26.7307705)",,,
634148662,,,residential,False,False,161.36599999999999,,"LINESTRING (85.9335506 26.7307228, 85.9338357 26.7305941, 85.9340663 26.7305845, 85.934356 26.7305557, 85.9346672 26.7305366, 85.9349834 26.730513, 85.9350534 26.730509, 85.9351339 26.7304886)",,,
634148662,,,residential,False,True,161.36599999999999,,"LINESTRING (85.9351339 26.7304886, 85.9350534 26.730509, 85.9349834 26.730513, 85.9346672 26.7305366, 85.934356 26.7305557, 85.9340663 26.7305845, 85.9338357 26.7305941, 85.9335506 26.7307228)",,,
356824737,,Factory Road,secondary,False,True,42.621,2,"LINESTRING (85.9333579 26.7314139, 85.9332402 26.7317825)",,,
356824737,,Factory Road,secondary,False,False,73.30799999999999,2,"LINESTRING (85.9333579 26.7314139, 85.9334862 26.7308664, 85.9335176 26.7307705)",,,
634148663,,,residential,False,False,121.72099999999999,,"LINESTRING (85.9333579 26.7314139, 85.9336211 26.7313558, 85.9339108 26.7312648, 85.9339376 26.7311977, 85.9344097 26.7311115, 85.9344955 26.7311115)",,,
634148663,,,residential,False,False,181.159,,"LINESTRING (85.9344955 26.7311115, 85.9346564 26.7311115, 85.9351714 26.7310875, 85.9359491 26.7310056, 85.9363054 26.7309371)",,,
634148663,,,residential,False,True,121.721,,"LINESTRING (85.9344955 26.7311115, 85.9344097 26.7311115, 85.9339376 26.7311977, 85.9339108 26.7312648, 85.9336211 26.7313558, 85.9333579 26.7314139)",,,
634148664,,,residential,False,False,65.33500000000001,,"LINESTRING (85.9344955 26.7311115, 85.934517 26.7313132, 85.9345277 26.7314953, 85.9345545 26.7316965)",,,
634148664,,,residential,False,False,36.445,,"LINESTRING (85.9345545 26.7316965, 85.9346511 26.7320127)",,,
634148665,,,residential,False,False,78.74,,"LINESTRING (85.9345545 26.7316965, 85.9353377 26.7315863)",,,
634148664,,,residential,False,True,65.335,,"LINESTRING (85.9345545 26.7316965, 85.9345277 26.7314953, 85.934517 26.7313132, 85.9344955 26.7311115)",,,
634148664,,,residential,False,True,36.445,,"LINESTRING (85.9346511 26.7320127, 85.9345545 26.7316965)",,,
634148664,,,residential,False,False,48.045,,"LINESTRING (85.9346511 26.7320127, 85.9344419 26.732051, 85.9341736 26.7320798)",,,
634148666,,,residential,False,False,52.837,,"LINESTRING (85.9346511 26.7320127, 85.9350266 26.73196, 85.9351785 26.7319574)",,,
634148664,,,residential,False,True,48.045,,"LINESTRING (85.9341736 26.7320798, 85.9344419 26.732051, 85.9346511 26.7320127)",,,
634148665,,,residential,False,True,78.74,,"LINESTRING (85.9353377 26.7315863, 85.9345545 26.7316965)",,,
634148666,,,residential,False,True,23.73,,"LINESTRING (85.9354174 26.7319533, 85.9351785 26.7319574)",,,
"[401717426, 401717429, 342549599]",NH05,,primary,False,True,395.13400000000007,,"LINESTRING (85.9409215 26.7247572, 85.9408022 26.7247846, 85.9405318 26.7248466, 85.9401605 26.7250912, 85.9397682 26.725324, 85.9395265 26.7254384, 85.9392806 26.7255672, 85.9388129 26.7256949, 85.9385011 26.7258173, 85.9383367 26.7258765, 85.9381947 26.7259277, 85.9377747 26.7260676, 85.9374061 26.7261946, 85.9373261 26.7261792)",yes,,5
645017417,,,unclassified,False,False,67.88900000000001,,"LINESTRING (85.9409215 26.7247572, 85.9408624 26.7245219, 85.9407872 26.7242032, 85.9407792 26.7241601)",,,
645017417,,,unclassified,False,True,67.889,,"LINESTRING (85.9407792 26.7241601, 85.9407872 26.7242032, 85.9408624 26.7245219, 85.9409215 26.7247572)",,,
766040719,,,residential,False,True,13.946,,"LINESTRING (85.9381037 26.7312659, 85.938068 26.7311446)",,,
