osmid,highway,oneway,reversed,length,ref,name,maxspeed,junction,geometry,lanes
269308086,unclassified,False,False,160.564,,,,,"LINESTRING (31.3730519 -8.8432387, 31.3742709 -8.8440351)",
565060661,primary,False,False,166.335,M1,Kasesha Road,50,,"LINESTRING (31.3730519 -8.8432387, 31.3722929 -8.844533)",
565060661,primary,False,True,219.731,M1,Kasesha Road,50,,"LINESTRING (31.3730519 -8.8432387, 31.3741086 -8.841561)",
1013797758,unclassified,False,False,85.232,,,,,"LINESTRING (31.3730519 -8.8432387, 31.3723999 -8.8428234)",
269300171,residential,False,False,83.826,,,,,"LINESTRING (31.3720493 -8.8449268, 31.3714092 -8.8445166)",
565060661,primary,False,False,224.578,M1,Kasesha Road,50,,"LINESTRING (31.3720493 -8.8449268, 31.3709195 -8.8466099)",
565060661,primary,False,True,51.321,M1,Kasesha Road,50,,"LINESTRING (31.3720493 -8.8449268, 31.3722929 -8.844533)",
654204514,tertiary,False,False,91.445,,Makanta Road,,,"LINESTRING (31.3720493 -8.8449268, 31.37273 -8.8454)",
654027739,primary,True,False,24.793,M1,,,,"LINESTRING (31.3698767 -8.8484114, 31.3697408 -8.8485894)",
210590551,primary,True,False,12.298,M1,,,roundabout,"LINESTRING (31.3698767 -8.8484114, 31.3698401 -8.8484041, 31.3698077 -8.8483858, 31.3697829 -8.8483583)",
269308105,residential,False,True,58.162,,,,,"LINESTRING (31.369777 -8.8482444, 31.369351 -8.8479339)",
210590551,primary,True,False,16.328,M1,,,roundabout,"LINESTRING (31.369777 -8.8482444, 31.3697988 -8.8482146, 31.3698289 -8.8481932, 31.3698643 -8.8481822, 31.3699015 -8.8481828)",
210590551,primary,True,False,13.841000000000001,M1,,,roundabout,"LINESTRING (31.3699822 -8.8483538, 31.369955 -8.8483854, 31.3699183 -8.8484055, 31.3698767 -8.8484114)",
269308097,unclassified,False,False,153.433,,,,,"LINESTRING (31.3699822 -8.8483538, 31.3704931 -8.8487049, 31.3706201 -8.848785, 31.3711684 -8.8490783)",
