osmid,highway,oneway,reversed,length,ref,name,geometry,lanes,junction
249599016,residential,False,True,152.538,,,"LINESTRING (27.7638565 -15.8608664, 27.7652611 -15.8606291)",,
398008191,trunk,False,False,128.864,T1,Livingstone Road,"LINESTRING (27.7638565 -15.8608664, 27.7640432 -15.8620113)",,
249599016,residential,False,False,148.93599999999998,,,"LINESTRING (27.7638565 -15.8608664, 27.7633568 -15.8609542, 27.7624847 -15.8610959)",,
398008191,trunk,False,True,164.61,T1,Livingstone Road,"LINESTRING (27.7638565 -15.8608664, 27.7637003 -15.8600175, 27.7635906 -15.8594083)",,
235038223,residential,False,False,145.179,,Main Steet,"LINESTRING (27.7633351 -15.8580129, 27.7634858 -15.8579836, 27.763835 -15.8579168, 27.764669 -15.8577719)",,
398008191,trunk,False,False,79.286,T1,Livingstone Road,"LINESTRING (27.7633351 -15.8580129, 27.7633682 -15.8582022, 27.7634626 -15.8587153)",,
835990506,trunk,False,True,383.61400000000003,T1,Livingstone Road,"LINESTRING (27.7633351 -15.8580129, 27.7630324 -15.8580526, 27.7622062 -15.8581774, 27.7597973 -15.8585778)",2,
688908344,residential,False,False,152.54,,,"LINESTRING (27.7634626 -15.8587153, 27.7648685 -15.8584852)",,
398008191,trunk,False,False,78.265,T1,Livingstone Road,"LINESTRING (27.7634626 -15.8587153, 27.7635227 -15.8590409, 27.7635906 -15.8594083)",,
398008191,trunk,False,True,79.286,T1,Livingstone Road,"LINESTRING (27.7634626 -15.8587153, 27.7633682 -15.8582022, 27.7633351 -15.8580129)",,
398008192,trunk,True,False,32.307,T1,Livingstone Road,"LINESTRING (27.7580626 -15.8584472, 27.75821 -15.8587008)",1,
1235769476,trunk,False,True,156.386,T1,Livingstone Road,"LINESTRING (27.7580626 -15.8584472, 27.7578774 -15.8573502, 27.7578215 -15.8570601)",2,
407980695,trunk,True,False,68.267,T1,Livingstone Road,"LINESTRING (27.7588784 -15.8587291, 27.7582861 -15.8589578)",1,
835990506,trunk,False,False,99.718,T1,Livingstone Road,"LINESTRING (27.7588784 -15.8587291, 27.7597973 -15.8585778)",2,
28675787,secondary,False,True,351.9,D391,,"LINESTRING (27.7656645 -15.8544453, 27.7624249 -15.8549964)",,
398008194,trunk,False,True,167.395,T1,Livingstone Road,"LINESTRING (27.7576072 -15.8558037, 27.757538 -15.8555364, 27.7574365 -15.8551214, 27.7573278 -15.8548099, 27.7572054 -15.8545331, 27.7571201 -15.8543794)",2,
1032068423,secondary,False,False,523.086,D391,,"LINESTRING (27.7576072 -15.8558037, 27.7578906 -15.8557591, 27.7602006 -15.8553705, 27.7609308 -15.8552477, 27.7624249 -15.8549964)",,
1235769476,trunk,False,False,141.58100000000002,T1,Livingstone Road,"LINESTRING (27.7576072 -15.8558037, 27.757646 -15.8560037, 27.7577126 -15.8563959, 27.7578215 -15.8570601)",2,
235038225,residential,False,False,216.885,,Nyerere Street,"LINESTRING (27.7602311 -15.8599627, 27.7622289 -15.8596291)",,
249599023,residential,False,False,164.90699999999998,,Mulungushi Road,"LINESTRING (27.7602311 -15.8599627, 27.7601649 -15.8599067, 27.7600308 -15.8597571, 27.7599504 -15.8594062, 27.7597973 -15.8585778)",,
