osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,tunnel,junction
"[24483765, 495661535]",757,Stiklestad alle,primary,"['60', '40']",False,False,290.977,"LINESTRING (11.4878169 63.78965, 11.4880113 63.7897902, 11.4881461 63.7899147, 11.4882516 63.7900467, 11.4892286 63.7915173, 11.4894263 63.7918149, 11.4894941 63.7919143, 11.4896945 63.7921243)",,,
495661514,757,Stiklestad alle,primary,60,True,False,44.348,"LINESTRING (11.4878169 63.78965, 11.487504 63.789529, 11.4873963 63.7894871, 11.4870971 63.7894125)",,,
"[495661480, 1192264490]",,Rådhusgata,residential,,True,False,21.241,"LINESTRING (11.4895434 63.7926441, 11.4896309 63.7925917, 11.4898505 63.7925114)",yes,,
"[36626036, 1192264487]",,Rådhusgata,residential,,False,True,55.598,"LINESTRING (11.4895434 63.7926441, 11.4893979 63.7926824, 11.4893418 63.7926963, 11.4891112 63.7927509, 11.4885558 63.7928885)",yes,,
495661396,6916,Håkon den VII allé,secondary,30,False,False,60.61,"LINESTRING (11.4798715 63.7932592, 11.4798596 63.7932926, 11.4796955 63.7937987)",,,
495661524,6916,Håkon den VII allé,secondary,30,True,False,26.505000000000003,"LINESTRING (11.4798715 63.7932592, 11.4798711 63.7931357, 11.4798723 63.793082, 11.479891 63.7930214)",,,
238809563,,,residential,,False,False,27.779,"LINESTRING (11.4793738 63.7929314, 11.4788554 63.7928314)",,,
495661448,,Nordgata,unclassified,30,True,False,27.188000000000002,"LINESTRING (11.4793738 63.7929314, 11.479635 63.7929228, 11.4799192 63.7928937)",,,
26409141,,Jernbanegata,residential,30,False,False,31.759,"LINESTRING (11.4842273 63.7939816, 11.4841649 63.7940801, 11.4840683 63.7942584)",,,
495661507,,Jernbanegata,residential,,True,False,15.928,"LINESTRING (11.4842273 63.7939816, 11.4842177 63.7939559, 11.4842966 63.793844)",,,
495661441,,Nordgata,residential,,False,True,6.904,"LINESTRING (11.4905224 63.7948615, 11.4903844 63.7948496)",,,
"[495661416, 36835103]",,Volhaugvegen,residential,30,False,False,124.16900000000001,"LINESTRING (11.4905224 63.7948615, 11.4905402 63.794937, 11.4906692 63.7950264, 11.4910901 63.7952761, 11.4918803 63.7957928)",,,
495661439,,Nordgata,residential,40,False,False,66.126,"LINESTRING (11.4905224 63.7948615, 11.4906886 63.7948766, 11.4910307 63.7948888, 11.4918605 63.7949248)",,,
495661441,,Nordgata,residential,,False,True,4.167,"LINESTRING (11.4870513 63.7942894, 11.4869751 63.7942729)",,,
36626026,,M.B. Landstads gate,residential,30,False,False,77.737,"LINESTRING (11.4870513 63.7942894, 11.4870238 63.7943581, 11.4867848 63.7948743, 11.4867585 63.7949761)",,,
495661441,,Nordgata,residential,,False,False,53.858999999999995,"LINESTRING (11.4870513 63.7942894, 11.4872247 63.794328, 11.4880547 63.7944847)",,,
26300068,,Nordgata,unclassified,,False,False,70.756,"LINESTRING (11.4816911 63.7933128, 11.4830217 63.793557)",,,
26300068,,Nordgata,unclassified,,False,True,60.38199999999999,"LINESTRING (11.4816911 63.7933128, 11.4810532 63.7931976, 11.4809278 63.793175, 11.4805531 63.7931071)",,,
36626051,,Johannes Bruns gate,residential,30,True,False,89.259,"LINESTRING (11.4816911 63.7933128, 11.4816593 63.7933586, 11.4812036 63.7940861)",,,
"[36626053, 26409142, 36626055]",,Nordåkeren,residential,30,False,False,63.186,"LINESTRING (11.482091 63.7953218, 11.4822684 63.7953316, 11.4827412 63.7953586, 11.4829544 63.7953696, 11.4830069 63.7953723, 11.4831829 63.7953798, 11.4833698 63.7953828)",,yes,
26409142,,Nordåkeren,residential,30,False,True,74.637,"LINESTRING (11.482091 63.7953218, 11.4815687 63.7952896, 11.4805827 63.7952388)",,,
36835104,,Asbjørnsens gate,residential,30,False,True,201.608,"LINESTRING (11.482091 63.7953218, 11.4821598 63.7951695, 11.4822667 63.7949969, 11.482369 63.7947793, 11.4824973 63.7945754, 11.4826294 63.7942717, 11.48282 63.7939008, 11.4829266 63.7937462, 11.4829869 63.7936263, 11.4830217 63.793557)",,,
26300068,,Nordgata,unclassified,,False,False,8.339,"LINESTRING (11.4830217 63.793557, 11.4831881 63.793572)",,,
26300068,,Nordgata,unclassified,,False,True,70.756,"LINESTRING (11.4830217 63.793557, 11.4816911 63.7933128)",,,
36835104,,Asbjørnsens gate,residential,30,False,False,201.60799999999998,"LINESTRING (11.4830217 63.793557, 11.4829869 63.7936263, 11.4829266 63.7937462, 11.48282 63.7939008, 11.4826294 63.7942717, 11.4824973 63.7945754, 11.482369 63.7947793, 11.4822667 63.7949969, 11.4821598 63.7951695, 11.482091 63.7953218)",,,
24483764,757,Stiklestad allé,primary,40,True,False,6.0809999999999995,"LINESTRING (11.490115 63.792603, 11.4900608 63.792601, 11.489995 63.7925912)",,,roundabout
238809575,,Gamle Storgate,residential,30,False,False,16.452,"LINESTRING (11.4789762 63.7926934, 11.4788554 63.7928314)",,,
238809575,,Gamle Storgate,residential,30,False,True,55.387,"LINESTRING (11.4789762 63.7926934, 11.4791346 63.7925284, 11.4795044 63.7922545)",,,
785509624,,,residential,,False,True,92.684,"LINESTRING (11.4789762 63.7926934, 11.477854 63.792568, 11.47715 63.792483)",,,
238809563,,,residential,,False,True,27.779,"LINESTRING (11.4788554 63.7928314, 11.4793738 63.7929314)",,,
238809575,,Gamle Storgate,residential,30,False,True,16.452,"LINESTRING (11.4788554 63.7928314, 11.4789762 63.7926934)",,,
238809575,,Gamle Storgate,residential,30,False,False,49.370000000000005,"LINESTRING (11.4788554 63.7928314, 11.4788013 63.792882, 11.4784153 63.7930966, 11.4782449 63.7931822)",,,
"[495661288, 495661313, 238809570]",,"['Gamle Storgate', 'Brygga']",residential,30,False,True,552.776,"LINESTRING (11.4782449 63.7931822, 11.476877 63.7930653, 11.4765972 63.7930706, 11.476388 63.793089, 11.4764035 63.7931331, 11.4764557 63.793424, 11.4765023 63.7939656, 11.4765348 63.7941964, 11.4765587 63.7944669, 11.4765981 63.7946588, 11.476658 63.7948302, 11.4767551 63.7949541, 11.4768579 63.7950534, 11.4769259 63.7951321, 11.4770226 63.7950216, 11.4770802 63.7949148, 11.4771927 63.7945139, 11.4772205 63.7944408, 11.4772644 63.7943577, 11.4774378 63.7940412, 11.4774552 63.7938515, 11.47748 63.7937961, 11.4776015 63.7936732, 11.4779106 63.7934036, 11.4780224 63.7933144, 11.4781325 63.7932392, 11.4782175 63.7931946, 11.4782449 63.7931822)",,,
"[495661288, 495661313, 238809570]",,"['Gamle Storgate', 'Brygga']",residential,30,False,False,552.776,"LINESTRING (11.4782449 63.7931822, 11.4782175 63.7931946, 11.4781325 63.7932392, 11.4780224 63.7933144, 11.4779106 63.7934036, 11.4776015 63.7936732, 11.47748 63.7937961, 11.4774552 63.7938515, 11.4774378 63.7940412, 11.4772644 63.7943577, 11.4772205 63.7944408, 11.4771927 63.7945139, 11.4770802 63.7949148, 11.4770226 63.7950216, 11.4769259 63.7951321, 11.4768579 63.7950534, 11.4767551 63.7949541, 11.476658 63.7948302, 11.4765981 63.7946588, 11.4765587 63.7944669, 11.4765348 63.7941964, 11.4765023 63.7939656, 11.4764557 63.793424, 11.4764035 63.7931331, 11.476388 63.793089, 11.4765972 63.7930706, 11.476877 63.7930653, 11.4782449 63.7931822)",,,
238809575,,Gamle Storgate,residential,30,False,True,49.370000000000005,"LINESTRING (11.4782449 63.7931822, 11.4784153 63.7930966, 11.4788013 63.792882, 11.4788554 63.7928314)",,,
"[495661364, 495661309]",,"['Smedveita', 'Gamle kongeveg']",residential,30,False,False,413.986,"LINESTRING (11.4782449 63.7931822, 11.4783495 63.7932151, 11.478588 63.793311, 11.4786674 63.793357, 11.4787107 63.7933959, 11.4787297 63.7934344, 11.4787371 63.7934763, 11.4787211 63.7935387, 11.4786149 63.7937629, 11.478567 63.7938862, 11.4785224 63.7940612, 11.4784871 63.7942466, 11.47848 63.7944266, 11.4784508 63.794586, 11.4784042 63.7947607, 11.4783383 63.7951173, 11.4783258 63.7951931, 11.4782997 63.7953631, 11.4781775 63.7957446, 11.478031 63.7962588, 11.4779897 63.7964832, 11.4779261 63.7967954)",,,
314148962,,Kassefabrikkvegen,residential,,False,True,35.263,"LINESTRING (11.4915828 63.7921111, 11.49095 63.792261)",,,
314148962,,Kassefabrikkvegen,residential,,False,False,252.562,"LINESTRING (11.4915828 63.7921111, 11.4918489 63.7919587, 11.492003 63.791771, 11.492087 63.791522, 11.4920974 63.79134, 11.4919838 63.7911332, 11.491929 63.7910335, 11.4917031 63.790708, 11.4916509 63.7905638, 11.4916774 63.7899923, 11.4917306 63.7899243)",,,
26299436,,Fløytarvegen,unclassified,,False,False,154.59000000000003,"LINESTRING (11.4787269 63.7912984, 11.4786999 63.79124, 11.478695 63.7911983, 11.4787053 63.791152, 11.4787321 63.7910951, 11.4787763 63.7910306, 11.4788446 63.7909449, 11.4790549 63.7907173, 11.4791934 63.790533, 11.4792833 63.7904131, 11.4795134 63.7900709, 11.4795796 63.7899724)",,,
"[495521577, 26299869, 26299871]",6916,"['Ørbrua', 'Magnus den godes veg']",secondary,40,False,True,291.251,"LINESTRING (11.4787269 63.7912984, 11.4785764 63.7913189, 11.4784429 63.7913295, 11.4782976 63.7913344, 11.4780655 63.791322, 11.4776552 63.791274, 11.4766601 63.791127, 11.475547 63.7909559, 11.4746055 63.790812, 11.473488 63.7906358, 11.4730963 63.7905654)",yes,,
1061957474,6916,Håkon den VII allé,secondary,40,False,False,50.635999999999996,"LINESTRING (11.4787269 63.7912984, 11.4787817 63.7913865, 11.47883 63.7914304, 11.4789292 63.7914955, 11.4792668 63.7916794)",,,
24483760,757,Stiklestad allé,primary,40,True,False,3.0679999999999996,"LINESTRING (11.4867559 63.789313, 11.4867524 63.7892993, 11.4867523 63.7892855)",,,roundabout
24483760,757,Stiklestad allé,primary,40,True,False,5.223,"LINESTRING (11.4869958 63.7891697, 11.4870489 63.7891689, 11.4871015 63.7891725)",,,roundabout
24483760,757,Stiklestad allé,primary,40,True,False,15.620999999999999,"LINESTRING (11.4871015 63.7891725, 11.4871609 63.7891826, 11.4872136 63.7891983, 11.487257 63.7892189, 11.4872887 63.7892432, 11.4873072 63.7892701)",,,roundabout
495661617,,Kvislavegen,residential,,True,False,22.174,"LINESTRING (11.4871015 63.7891725, 11.4873046 63.7891189, 11.4874781 63.7890629)",,,
24483760,757,Stiklestad allé,primary,40,True,False,4.956,"LINESTRING (11.4873072 63.7892701, 11.4873117 63.7892923, 11.4873072 63.7893145)",,,roundabout
