osmid,name,highway,oneway,reversed,length,geometry,maxspeed,ref,bridge,junction,lanes
23735514,Olav Bismos gate,unclassified,False,True,79.364,"LINESTRING (9.5412632 61.772111, 9.5412986 61.7719677, 9.5413982 61.7716453, 9.5414766 61.7714045)",,,,,
955672666,Engebret Hougens gate,residential,False,True,88.06,"LINESTRING (9.5356749 61.77013, 9.5361238 61.7707279, 9.5362277 61.7708775)",30,,,,
23735514,Olav Bismos gate,unclassified,False,False,112.644,"LINESTRING (9.5423931 61.7683539, 9.5423909 61.7685038, 9.5423564 61.7686645, 9.5423702 61.7687428, 9.5422739 61.7690475, 9.542197 61.7693123, 9.5421833 61.7693595)",,,,,
23314200,Mullersgate,tertiary,False,False,42.681,"LINESTRING (9.5427626 61.7715115, 9.5427136 61.7716449, 9.5426772 61.7717898, 9.5426517 61.7718916)",80,,,,
"[753766624, 23735527]",Storgata,"['unclassified', 'residential']",False,False,162.54399999999998,"LINESTRING (9.5427626 61.7715115, 9.5429945 61.7715194, 9.5433797 61.7715322, 9.5435947 61.7715416, 9.5436416 61.7715361, 9.5436654 61.7715299, 9.5436952 61.77152, 9.5437293 61.7715034, 9.5437694 61.771468, 9.5437981 61.7714296, 9.5438192 61.7713816, 9.5438915 61.7711007, 9.5439089 61.7709815, 9.5437709 61.7709647, 9.5434655 61.7709192, 9.5429862 61.7708412)",,,,,
753766625,Mullersgate,tertiary,False,True,75.45599999999999,"LINESTRING (9.5427626 61.7715115, 9.5428979 61.7711017, 9.5429862 61.7708412)",,,,,
753766808,Nordmogata,residential,False,False,68.685,"LINESTRING (9.5427626 61.7715115, 9.5423854 61.771483, 9.5418007 61.7714359, 9.5414766 61.7714045)",,,,,
506970699,,residential,False,False,154.245,"LINESTRING (9.5346799 61.7731784, 9.5347637 61.7731722, 9.5349096 61.7731602, 9.5349706 61.7731483, 9.5351166 61.7730965, 9.5352653 61.7730296, 9.5353943 61.7729879, 9.5356391 61.7729257, 9.5357695 61.7729055, 9.535981 61.7728727, 9.5360532 61.7728513, 9.5362458 61.7727618, 9.5363162 61.7727187, 9.5363335 61.7727027, 9.5363571 61.7726808, 9.5363958 61.7725956, 9.5364397 61.7725198, 9.5364943 61.7724252, 9.5365425 61.7723262, 9.536568 61.772271)",80,,,,
"[630317688, 753768443]",Selsvegen,secondary,False,False,107.994,"LINESTRING (9.5346799 61.7731784, 9.5347 61.7732444, 9.5347585 61.7734365, 9.5347618 61.7734472, 9.5349811 61.7741391)","['40', '30']",2614,,,
753768443,Selsvegen,secondary,False,True,82.77199999999999,"LINESTRING (9.5346799 61.7731784, 9.5346522 61.7730499, 9.5346508 61.7729085, 9.5346587 61.7728383, 9.5347005 61.7726294, 9.5347476 61.772437)",30,2614,,,
506970699,,residential,False,True,154.24499999999998,"LINESTRING (9.536568 61.772271, 9.5365425 61.7723262, 9.5364943 61.7724252, 9.5364397 61.7725198, 9.5363958 61.7725956, 9.5363571 61.7726808, 9.5363335 61.7727027, 9.5363162 61.7727187, 9.5362458 61.7727618, 9.5360532 61.7728513, 9.535981 61.7728727, 9.5357695 61.7729055, 9.5356391 61.7729257, 9.5353943 61.7729879, 9.5352653 61.7730296, 9.5351166 61.7730965, 9.5349706 61.7731483, 9.5349096 61.7731602, 9.5347637 61.7731722, 9.5346799 61.7731784)",80,,,,
84137227,Ola Dahls gate,unclassified,False,False,5.858,"LINESTRING (9.5327672 61.7714378, 9.5326562 61.7714422)",,,,,
19213101,,unclassified,False,False,65.384,"LINESTRING (9.5327672 61.7714378, 9.532797 61.7713965, 9.5329525 61.7713669, 9.5332036 61.7713341, 9.5338934 61.771232)",80,,,,
84137227,Ola Dahls gate,unclassified,False,True,59.494,"LINESTRING (9.5327672 61.7714378, 9.5331035 61.7714376, 9.5334929 61.7714702, 9.5338825 61.7715119)",,,,,
