osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,bridge,junction
590958624,Drammensveien,tertiary,30,False,True,175.049,"LINESTRING (9.913028 59.768103, 9.912962 59.768072, 9.9128681 59.7680171, 9.912711 59.767928, 9.912597 59.7678499, 9.912397 59.767713, 9.9122924 59.7676415, 9.9121356 59.7675335, 9.912029 59.7674715, 9.9119291 59.7674202, 9.9118432 59.7673847, 9.9117708 59.7673648, 9.9117011 59.7673533, 9.9116468 59.7673499, 9.9116039 59.767353, 9.9115448 59.7673611, 9.9114972 59.7673732, 9.9114516 59.7673932, 9.911204 59.767544, 9.9110749 59.7676198, 9.911015 59.767655, 9.910963 59.767679, 9.9108855 59.7677006)",,,
"[850244585, 850251107, 136187193]",Drammensveien,tertiary,"['60', '40', '30']",False,False,209.273,"LINESTRING (9.913028 59.768103, 9.9131787 59.7681472, 9.913251 59.768159, 9.913377 59.768173, 9.913506 59.768178, 9.913558 59.768177, 9.913723 59.768165, 9.913982 59.768134, 9.9142879 59.7681063, 9.9145661 59.768093, 9.914609 59.768091, 9.9151682 59.7680803, 9.9153549 59.768083, 9.915472 59.768088, 9.915767 59.768102, 9.9161419 59.7681294, 9.916479 59.768165, 9.9167021 59.7681869)",2,yes,
850244586,Støagata,residential,50,False,True,24.089,"LINESTRING (9.913028 59.768103, 9.9129303 59.7681787, 9.912783 59.768281)",,,
"[117427876, 850245564]","['Støagata', 'Støperigata']",residential,50,False,False,124.261,"LINESTRING (9.913028 59.768103, 9.913081 59.768036, 9.9131103 59.7680036, 9.913121 59.767992, 9.9135073 59.7675947, 9.9135815 59.7675184, 9.913858 59.767234, 9.9139914 59.7670965)",,,
850244600,Vestre Nøstegate,unclassified,,False,False,28.516,"LINESTRING (9.9100975 59.7710776, 9.9103519 59.7711187, 9.910503 59.771214)",,,
46150938,Vestre Nøstegate,unclassified,30,False,True,50.736000000000004,"LINESTRING (9.910503 59.771214, 9.910431 59.771269, 9.910402 59.771301, 9.910351 59.771381, 9.910259 59.771554, 9.91022 59.771644)",,,
318412516,Østre Nøstegate,residential,,False,False,161.28700000000003,"LINESTRING (9.910503 59.771214, 9.910685 59.771321, 9.91083 59.771417, 9.910949 59.771487, 9.911022 59.771504, 9.91111 59.771501, 9.911258 59.771444, 9.911571 59.771235, 9.911932 59.771033, 9.912287 59.770844, 9.912306 59.770824, 9.912298 59.77081, 9.912156 59.770759)",,,
318412543,Vestre Nøstegate,residential,,False,False,217.02500000000003,"LINESTRING (9.910503 59.771214, 9.910554 59.771179, 9.910947 59.770899, 9.9112275 59.7706917, 9.911438 59.770536, 9.911768 59.770291, 9.911847 59.770237, 9.911871 59.770225, 9.911899 59.770215, 9.912125 59.770156, 9.91228 59.770111, 9.912728 59.770012, 9.912827 59.769983, 9.912914 59.769946, 9.91294 59.769929, 9.9130197 59.7698747, 9.9131299 59.769851)",,,
850244600,Vestre Nøstegate,unclassified,,False,True,28.516,"LINESTRING (9.910503 59.771214, 9.9103519 59.7711187, 9.9100975 59.7710776)",,,
46152237,,unclassified,30,False,True,91.07700000000001,"LINESTRING (9.9082594 59.7705914, 9.908393 59.770606, 9.9085159 59.7706179, 9.9085317 59.7706194, 9.908942 59.770659, 9.9095922 59.7707209, 9.909762 59.770737, 9.909857 59.770746)",,,
