osmid,oneway,ref,highway,maxspeed,junction,reversed,length,geometry,name,lanes,tunnel,width
5049483,True,120,primary,50,roundabout,False,13.677,"LINESTRING (11.0502999 59.9534412, 11.0502797 59.9534121, 11.0502761 59.9533814, 11.0502894 59.9533514, 11.0503186 59.9533244)",,,,
8158447,True,,unclassified,,,False,39.444,"LINESTRING (11.0502999 59.9534412, 11.0500943 59.9534002, 11.0496529 59.953297)",,,,
32845238,True,120,primary,50,roundabout,False,8.257,"LINESTRING (11.0494618 59.9546794, 11.0494873 59.9547006, 11.0495022 59.9547242, 11.0495056 59.9547489)",,,,
113574864,True,120,primary,50,,False,33.381,"LINESTRING (11.0494618 59.9546794, 11.0496678 59.9546567, 11.0500463 59.9546125)",Jernbanegata,,,
5049496,False,,residential,,,False,74.618,"LINESTRING (11.0491035 59.9547839, 11.0489089 59.9548162, 11.0478314 59.9549952)",Voldgata,,,
32845238,True,120,primary,50,roundabout,False,14.602999999999998,"LINESTRING (11.0491035 59.9547839, 11.0490875 59.9547443, 11.0491027 59.9547046, 11.0491468 59.9546707, 11.0491633 59.954665)",,,,
23373053,False,1531,secondary,50,,False,65.351,"LINESTRING (11.0472052 59.9568859, 11.0472701 59.9569672, 11.0473255 59.9570467, 11.0475408 59.9573647, 11.0475913 59.9574408)",Adolph Tidemands gate,2,,
23373053,False,1531,secondary,50,,True,99.61000000000001,"LINESTRING (11.0472052 59.9568859, 11.0471433 59.9568063, 11.0465786 59.9561236, 11.0465229 59.9560578)",Adolph Tidemands gate,2,,
24000545,False,,residential,,,False,46.193000000000005,"LINESTRING (11.0472052 59.9568859, 11.0473518 59.9568547, 11.0479716 59.9567267)",Nittedalsgata,,,
102191014,False,,tertiary,,,True,157.115,"LINESTRING (11.0472052 59.9568859, 11.0470474 59.9569203, 11.0469523 59.9569406, 11.0465247 59.957032, 11.0461512 59.9571113, 11.0455384 59.9572443, 11.0454803 59.9572569, 11.0453555 59.957284, 11.0447473 59.957416, 11.0446121 59.9574436)",Nittedalsgata,,,
"[1089902113, 5049498, 1090992782]",False,120,primary,40,,True,82.475,"LINESTRING (11.0487339 59.9579899, 11.0487818 59.9581022, 11.0488274 59.9582061, 11.0489321 59.9584449, 11.0490054 59.9586121, 11.0490503 59.9587145)",Storgata,2,,
336648704,True,,residential,,,False,81.995,"LINESTRING (11.0487339 59.9579899, 11.0487186 59.9579474, 11.0487036 59.9579079, 11.0484324 59.9573203, 11.0484094 59.9572707)",Storgata,,,
