osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,junction,lanes,bridge
86222832,Midtskogvegen,residential,False,True,28.229999999999997,"LINESTRING (5.4623314 60.1826399, 5.4624541 60.18268, 5.4625828 60.1827027, 5.4628092 60.1827122)",,,,,
"[617628128, 86205801, 617628130]",Holtbrekka,residential,False,False,189.39200000000002,"LINESTRING (5.4667581 60.1878174, 5.4665923 60.1877928, 5.4664965 60.1877922, 5.4663865 60.1877916, 5.4658139 60.1877861, 5.4654045 60.1878023, 5.4651522 60.1878973, 5.465139 60.1879023, 5.4650596 60.1879358, 5.4648726 60.1880125, 5.464863 60.1880137, 5.4647114 60.1880319, 5.4644134 60.1880677, 5.4641838 60.1880958, 5.4637798 60.1881458, 5.4635304 60.1881803)",,,,,
"[1062555640, 114991155]",Byvegen,primary,False,False,201.629,"LINESTRING (5.4667581 60.1878174, 5.4668431 60.1876762, 5.4673215 60.18693, 5.46733 60.1869165, 5.4675919 60.1865011, 5.4678563 60.1860883)",583,"['40', '50']",,,
1244608702,Byvegen,primary,False,True,94.12299999999999,"LINESTRING (5.4667581 60.1878174, 5.4665569 60.1881186, 5.4664318 60.1883059, 5.466293 60.1884826, 5.4661752 60.188612)",583,50,,,
114991155,Byvegen,primary,False,False,67.21300000000001,"LINESTRING (5.4682296 60.1855643, 5.4683185 60.185481, 5.4683542 60.1854483, 5.4684724 60.1853726, 5.4685824 60.1852936, 5.4686376 60.1852138, 5.4686663 60.1851076, 5.4686654 60.1850181)",583,40,,,
114991155,Byvegen,primary,False,True,61.893,"LINESTRING (5.4682296 60.1855643, 5.4681952 60.1855991, 5.4681391 60.1856592, 5.4680867 60.1857319, 5.4679356 60.1859642, 5.4678563 60.1860883)",583,40,,,
"[879938145, 879938147]",Øyro,tertiary,False,"[False, True]",36.748999999999995,"LINESTRING (5.4682296 60.1855643, 5.4683409 60.1855912, 5.4684703 60.1856132, 5.4686286 60.1856329, 5.4687103 60.185642, 5.4688634 60.1856599)",,,,,
35447078,Byvegen,primary,True,False,45.370000000000005,"LINESTRING (5.4686654 60.1850181, 5.4686188 60.1849347, 5.4686103 60.1848708, 5.4687159 60.1846998, 5.4687752 60.184627)",583,40,,,
114991155,Byvegen,primary,False,True,67.213,"LINESTRING (5.4686654 60.1850181, 5.4686663 60.1851076, 5.4686376 60.1852138, 5.4685824 60.1852936, 5.4684724 60.1853726, 5.4683542 60.1854483, 5.4683185 60.185481, 5.4682296 60.1855643)",583,40,,,
25465812,,primary,True,False,10.452,"LINESTRING (5.469137 60.1847702, 5.4690742 60.1847729, 5.4690117 60.1847691, 5.468952 60.184759)",552,40,roundabout,,
"[879366952, 116844950]",,tertiary,False,True,169.416,"LINESTRING (5.469137 60.1847702, 5.4691831 60.1848563, 5.4692026 60.1848831, 5.4692312 60.1849065, 5.4693564 60.1849279, 5.4694873 60.1849423, 5.4696343 60.1849598, 5.4699349 60.1849955, 5.4703941 60.18505, 5.4704248 60.1850671, 5.4704435 60.1851112, 5.4704258 60.1852143, 5.4703978 60.1853771, 5.4703124 60.1857759, 5.4703025 60.1858223)",,,,,
25465812,,primary,True,False,22.918,"LINESTRING (5.4687752 60.184627, 5.4687795 60.1845953, 5.4687971 60.1845648, 5.4688271 60.1845367, 5.4688683 60.1845124, 5.4689095 60.1844958, 5.4689558 60.1844831, 5.4690059 60.1844745)",552,40,roundabout,,
25465812,,primary,True,False,20.007,"LINESTRING (5.4690059 60.1844745, 5.4690777 60.18447, 5.4691496 60.1844741, 5.4692176 60.1844865, 5.4692777 60.1845065, 5.4693267 60.184533)",552,40,roundabout,,
35546556,Mobergsbakken,primary,True,False,47.315,"LINESTRING (5.4690059 60.1844745, 5.4690765 60.184446, 5.4691033 60.1844243, 5.4691228 60.1843993, 5.4691362 60.184369, 5.4691478 60.1843164, 5.4691521 60.184242, 5.469166 60.1840725)",552,40,,,
25465812,,primary,True,False,5.629,"LINESTRING (5.4693267 60.184533, 5.4693528 60.1845547, 5.4693714 60.1845783)",552,40,roundabout,,
25465812,,primary,True,False,10.487,"LINESTRING (5.4693008 60.1847255, 5.4692656 60.1847413, 5.4692259 60.1847542, 5.4691827 60.1847639, 5.469137 60.1847702)",552,40,roundabout,,
