osmid,ref,name,highway,maxspeed,width,oneway,reversed,length,bridge,geometry
"[330774499, 5030197, 160500838]",82,"['Søndre gate', 'Børøybrua']",primary,50,7,False,False,429.15,yes,"LINESTRING (14.9143146 68.565329, 14.9146063 68.5654599, 14.9155171 68.5658378, 14.9155658 68.5658563, 14.9210301 68.568082, 14.9213388 68.5682109)"
"[330777848, 330774499]",82,Søndre gate,primary,50,7,False,True,129.617,,"LINESTRING (14.9143146 68.565329, 14.9140292 68.5651965, 14.9135108 68.5649369, 14.9132854 68.5648158, 14.9130024 68.5646627, 14.9124972 68.5643719)"
"[1158220052, 426664005]",7634,Ranværingsgata,secondary,50,,False,True,36.382999999999996,,"LINESTRING (14.9143146 68.565329, 14.9141791 68.5653686, 14.9141236 68.565385, 14.9139605 68.565453, 14.9137193 68.565571)"
158557308,,Kirsten Thodes gate,residential,,,False,False,37.008,,"LINESTRING (14.9104706 68.5627773, 14.9103139 68.5627969, 14.910258 68.562804, 14.909934 68.5628293, 14.9095801 68.562837)"
330777848,82,Søndre gate,primary,50,7,False,False,195.841,,"LINESTRING (14.9104706 68.5627773, 14.9106225 68.5629407, 14.9107664 68.5630733, 14.9111864 68.5634382, 14.91141 68.5636179, 14.9116821 68.5638268, 14.9119117 68.5639915, 14.9123763 68.5643, 14.9124972 68.5643719)"
75688857,,Skarveien,residential,,,False,False,73.22500000000001,,"LINESTRING (14.9124972 68.5643719, 14.9123394 68.5644061, 14.9122881 68.5644165, 14.9121662 68.5644362, 14.9120437 68.5644516, 14.9118411 68.5644753, 14.9112008 68.5645584, 14.9108157 68.564604)"
"[330777848, 330774499]",82,Søndre gate,primary,50,7,False,False,129.61700000000002,,"LINESTRING (14.9124972 68.5643719, 14.9130024 68.5646627, 14.9132854 68.5648158, 14.9135108 68.5649369, 14.9140292 68.5651965, 14.9143146 68.565329)"
330777848,82,Søndre gate,primary,50,7,False,True,195.84099999999998,,"LINESTRING (14.9124972 68.5643719, 14.9123763 68.5643, 14.9119117 68.5639915, 14.9116821 68.5638268, 14.91141 68.5636179, 14.9111864 68.5634382, 14.9107664 68.5630733, 14.9106225 68.5629407, 14.9104706 68.5627773)"
158515426,,Roald Alværs gate,residential,,,False,False,112.967,,"LINESTRING (14.9069173 68.5680666, 14.9066783 68.5680257, 14.9056417 68.5678749, 14.9054103 68.5678412, 14.9051947 68.5677999, 14.9049055 68.5677523, 14.9046138 68.5677197, 14.9043294 68.5677089)"
158751821,,Nordre vei,residential,,,False,True,171.88600000000002,,"LINESTRING (14.9056919 68.5691185, 14.906251 68.5691315, 14.9066849 68.5691586, 14.9071656 68.5691679, 14.9077639 68.5691719, 14.9085952 68.5692062, 14.9090218 68.5692317, 14.9093307 68.569264, 14.9094776 68.5693171, 14.9095631 68.5693934, 14.9095715 68.5694401)"
160500838,82,,primary,50,7,False,True,210.436,,"LINESTRING (14.9246029 68.5696744, 14.9243973 68.5695463, 14.9239728 68.5693126, 14.9236744 68.569168, 14.9232586 68.5689885, 14.9215715 68.568305, 14.9213388 68.5682109)"
