osmid,name,highway,oneway,reversed,length,geometry,maxspeed,bridge
358357495,Ørnesveien,tertiary,False,False,44.778999999999996,"LINESTRING (13.943563 66.816709, 13.9441176 66.816588, 13.9444493 66.8165081)",,
781509248,,unclassified,False,True,58.236000000000004,"LINESTRING (13.943563 66.816709, 13.9436889 66.8167392, 13.9438203 66.8167508, 13.9439303 66.8167434, 13.9444426 66.8166325, 13.9445096 66.8165914, 13.9445177 66.8165628, 13.9444493 66.8165081)",,
"[116382314, 116382334, 116382351]","['Glomveien', 'Ørnesveien']",tertiary,False,False,82.49,"LINESTRING (13.9444493 66.8165081, 13.9446318 66.8164611, 13.9448803 66.8164039, 13.9451704 66.8163396, 13.9452909 66.8163138, 13.9457858 66.816208, 13.9461093 66.8161606)",50,yes
358357495,Ørnesveien,tertiary,False,True,44.778999999999996,"LINESTRING (13.9444493 66.8165081, 13.9441176 66.816588, 13.943563 66.816709)",,
781509248,,unclassified,False,False,58.236,"LINESTRING (13.9444493 66.8165081, 13.9445177 66.8165628, 13.9445096 66.8165914, 13.9444426 66.8166325, 13.9439303 66.8167434, 13.9438203 66.8167508, 13.9436889 66.8167392, 13.943563 66.816709)",,
116382351,Glomveien,tertiary,False,False,115.62299999999999,"LINESTRING (13.9543283 66.8164495, 13.9550368 66.8164521, 13.9554437 66.8163944, 13.9559103 66.8162472, 13.9565424 66.8159937)",50,
116382351,Glomveien,tertiary,False,True,256.306,"LINESTRING (13.9543283 66.8164495, 13.9538622 66.8164031, 13.9529325 66.8162985, 13.9524143 66.8162595, 13.9518486 66.8162351, 13.9485406 66.8161828)",50,
116382351,Glomveien,tertiary,False,True,30.705,"LINESTRING (13.9569783 66.8157774, 13.956922 66.8158076, 13.9565424 66.8159937)",50,
116382403,Ole Hillestads veg,residential,False,False,53.775,"LINESTRING (13.9569783 66.8157774, 13.956805 66.8157363, 13.9564277 66.8156021, 13.9559674 66.8155089)",,
"[116382408, 116382403, 116382414]","['Ole Hillestads veg', 'Utsikten']",residential,False,False,233.538,"LINESTRING (13.9559674 66.8155089, 13.9555389 66.8154316, 13.9552853 66.815393, 13.9550988 66.8153825, 13.9548352 66.815388, 13.9546763 66.8153981, 13.9546061 66.8153876, 13.9545657 66.8153658, 13.9545766 66.8153301, 13.9546783 66.8152871, 13.9548817 66.8152599, 13.9555898 66.8152327, 13.9558369 66.8152004, 13.9559046 66.8151802, 13.955919 66.81516, 13.9559128 66.815139, 13.955882 66.815126, 13.9558513 66.8151244, 13.9557815 66.8151292, 13.9555967 66.8151559, 13.9554304 66.8151705, 13.9552929 66.8151697, 13.9549872 66.8151378, 13.9548099 66.8151166, 13.9546454 66.8151208, 13.9543513 66.815168, 13.9538574 66.8152874)",,
