osmid,name,highway,oneway,reversed,length,geometry,maxspeed,ref,bridge
32544379,Kirkegata,tertiary,False,False,73.113,"LINESTRING (10.6286631 59.665239, 10.6285258 59.6652311, 10.6282739 59.6652176, 10.6281027 59.6652084, 10.6280174 59.6652038, 10.6279535 59.6651949, 10.6278882 59.66518, 10.6278355 59.6651607, 10.6277904 59.6651366, 10.6277687 59.6651216, 10.6277301 59.6650893, 10.627702 59.6650568, 10.6276825 59.6650213, 10.6276765 59.6649904, 10.6276825 59.6649564)",30,,
253713434,Niels Carlsens gate,tertiary,False,False,34.705,"LINESTRING (10.6286631 59.665239, 10.6286229 59.6652797, 10.6285969 59.665318, 10.628587 59.6653406, 10.6285002 59.6655388)",30,,
32544379,Kirkegata,tertiary,False,False,91.893,"LINESTRING (10.6276825 59.6649564, 10.627694 59.6649139, 10.6277127 59.6648689, 10.6277637 59.6647948, 10.6280062 59.6644728, 10.6280392 59.664431, 10.6282314 59.6641795)",30,,
32544379,Kirkegata,tertiary,False,True,73.11299999999999,"LINESTRING (10.6276825 59.6649564, 10.6276765 59.6649904, 10.6276825 59.6650213, 10.627702 59.6650568, 10.6277301 59.6650893, 10.6277687 59.6651216, 10.6277904 59.6651366, 10.6278355 59.6651607, 10.6278882 59.66518, 10.6279535 59.6651949, 10.6280174 59.6652038, 10.6281027 59.6652084, 10.6282739 59.6652176, 10.6285258 59.6652311, 10.6286631 59.665239)",30,,
225985734,Biologveien,residential,False,False,124.10899999999998,"LINESTRING (10.6276825 59.6649564, 10.6275854 59.6649298, 10.6274271 59.6648688, 10.6273426 59.6648167, 10.6273144 59.6647692, 10.6272849 59.6646853, 10.6272737 59.6646267, 10.6272353 59.6644265, 10.627179 59.664159, 10.6271146 59.6639327)",,,
32544379,Kirkegata,tertiary,False,False,37.007000000000005,"LINESTRING (10.6282314 59.6641795, 10.6282698 59.6641356, 10.6284013 59.663987, 10.6284517 59.6639453, 10.6285019 59.6639172, 10.6285586 59.6638965)",30,,
32544379,Kirkegata,tertiary,False,True,91.893,"LINESTRING (10.6282314 59.6641795, 10.6280392 59.664431, 10.6280062 59.6644728, 10.6277637 59.6647948, 10.6277127 59.6648689, 10.627694 59.6649139, 10.6276825 59.6649564)",30,,
"[225985732, 225985733]","['Havnegata', 'Tamburbakken']",residential,False,False,176.72799999999998,"LINESTRING (10.6282314 59.6641795, 10.6280908 59.6641454, 10.628029 59.6641108, 10.6279386 59.6639236, 10.6278878 59.663801, 10.627612 59.6637695, 10.6275286 59.6636734, 10.627434 59.6635478, 10.6273842 59.6635087, 10.6273397 59.663445, 10.6272257 59.6632737, 10.6272019 59.6632065, 10.6272005 59.6631546, 10.6272079 59.6630025, 10.6273381 59.662976, 10.6274155 59.6629613, 10.6274538 59.6629541, 10.6275777 59.6629432)",,,
32544379,Kirkegata,tertiary,False,False,3.143,"LINESTRING (10.6285586 59.6638965, 10.6286039 59.6638799)",30,,
32544379,Kirkegata,tertiary,False,True,37.007000000000005,"LINESTRING (10.6285586 59.6638965, 10.6285019 59.6639172, 10.6284517 59.6639453, 10.6284013 59.663987, 10.6282698 59.6641356, 10.6282314 59.6641795)",30,,
32544610,Kroketønna,residential,False,False,121.148,"LINESTRING (10.6285586 59.6638965, 10.6285116 59.6638595, 10.6284802 59.6638256, 10.6284523 59.6637781, 10.6283408 59.6636221, 10.6282119 59.6634698, 10.6281194 59.6633708, 10.6280443 59.6632956, 10.6279908 59.6632576, 10.6279145 59.6632014, 10.6276713 59.6630587, 10.6275964 59.6630116, 10.627576 59.6629776, 10.6275777 59.6629432)",,,
32525182,Niels Carlsens gate,tertiary,False,True,51.548,"LINESTRING (10.6299162 59.6644171, 10.6304542 59.6640415)",30,,
32525182,Niels Carlsens gate,tertiary,False,False,115.492,"LINESTRING (10.6299162 59.6644171, 10.6298315 59.6644775, 10.6294005 59.6647859, 10.6293018 59.6648519, 10.6288522 59.6651124, 10.6287333 59.6651844, 10.6286631 59.665239)",30,,
32544610,Kroketønna,residential,False,True,121.14800000000001,"LINESTRING (10.6275777 59.6629432, 10.627576 59.6629776, 10.6275964 59.6630116, 10.6276713 59.6630587, 10.6279145 59.6632014, 10.6279908 59.6632576, 10.6280443 59.6632956, 10.6281194 59.6633708, 10.6282119 59.6634698, 10.6283408 59.6636221, 10.6284523 59.6637781, 10.6284802 59.6638256, 10.6285116 59.6638595, 10.6285586 59.6638965)",,,
115008018,Havnegata,residential,False,False,67.314,"LINESTRING (10.6275777 59.6629432, 10.6276419 59.6627698, 10.6277175 59.6626434, 10.627832 59.662487, 10.627924 59.6623654)",,,
"[225985732, 225985733]","['Havnegata', 'Tamburbakken']",residential,False,True,176.72799999999995,"LINESTRING (10.6275777 59.6629432, 10.6274538 59.6629541, 10.6274155 59.6629613, 10.6273381 59.662976, 10.6272079 59.6630025, 10.6272005 59.6631546, 10.6272019 59.6632065, 10.6272257 59.6632737, 10.6273397 59.663445, 10.6273842 59.6635087, 10.627434 59.6635478, 10.6275286 59.6636734, 10.627612 59.6637695, 10.6278878 59.663801, 10.6279386 59.6639236, 10.628029 59.6641108, 10.6280908 59.6641454, 10.6282314 59.6641795)",,,
33282756,Havnebakken,residential,False,False,26.472,"LINESTRING (10.627924 59.6623654, 10.6280884 59.662413, 10.6281408 59.6624449, 10.6281689 59.6625448)",,,
115008018,Havnegata,residential,False,False,105.486,"LINESTRING (10.627924 59.6623654, 10.6280347 59.6622058, 10.6282214 59.6619366, 10.6282724 59.6618698, 10.6283203 59.6617987, 10.628345 59.661728, 10.6283975 59.6615032, 10.6284109 59.6614542)",,,
115008018,Havnegata,residential,False,True,67.31400000000001,"LINESTRING (10.627924 59.6623654, 10.627832 59.662487, 10.6277175 59.6626434, 10.6276419 59.6627698, 10.6275777 59.6629432)",,,
32544639,Carlsebakken,residential,False,False,42.06,"LINESTRING (10.6284109 59.6614542, 10.6288861 59.6614352, 10.6291577 59.6614262)",,,
115008018,Havnegata,residential,False,False,51.977,"LINESTRING (10.6284109 59.6614542, 10.6283625 59.6613182, 10.6283593 59.6611675, 10.6283887 59.6611026, 10.6284422 59.6610501, 10.6284947 59.6610043)",,,
115008018,Havnegata,residential,False,True,105.48599999999999,"LINESTRING (10.6284109 59.6614542, 10.6283975 59.6615032, 10.628345 59.661728, 10.6283203 59.6617987, 10.6282724 59.6618698, 10.6282214 59.6619366, 10.6280347 59.6622058, 10.627924 59.6623654)",,,
32544639,Carlsebakken,residential,False,False,23.346,"LINESTRING (10.6291577 59.6614262, 10.629266 59.6614352, 10.629461 59.6614672, 10.6295602 59.6614764)",,,
32544639,Carlsebakken,residential,False,True,42.06,"LINESTRING (10.6291577 59.6614262, 10.6288861 59.6614352, 10.6284109 59.6614542)",,,
279669469,Badehusgata,residential,False,True,60.205999999999996,"LINESTRING (10.6291577 59.6614262, 10.6290042 59.6613627, 10.6284947 59.6610043)",,,
32544639,Carlsebakken,residential,False,True,23.346,"LINESTRING (10.6295602 59.6614764, 10.629461 59.6614672, 10.629266 59.6614352, 10.6291577 59.6614262)",,,
279669526,Storgata,tertiary,False,False,94.065,"LINESTRING (10.6295602 59.6614764, 10.6295896 59.6613926, 10.629625 59.6613149, 10.6296772 59.6612202, 10.6297312 59.6611338, 10.6299434 59.6608374, 10.6299969 59.6607637, 10.6300309 59.6607074, 10.6300552 59.6606697)",30,,
279669526,Storgata,tertiary,False,True,163.278,"LINESTRING (10.6295602 59.6614764, 10.6295406 59.6615465, 10.6295197 59.6616723, 10.6295147 59.6617788, 10.6295692 59.6621934, 10.6295822 59.6623454, 10.6295826 59.6624283, 10.6295762 59.6625001, 10.6295284 59.6628391, 10.6295177 59.6629154, 10.6295148 59.6629414)",30,,
253713434,Niels Carlsens gate,tertiary,False,True,128.195,"LINESTRING (10.6278218 59.6666201, 10.6277976 59.6665809, 10.6277879 59.6665502, 10.6277791 59.6665204, 10.6277832 59.6664923, 10.6277901 59.6664621, 10.6278019 59.6664358, 10.6278227 59.6664067, 10.6278479 59.6663764, 10.6280882 59.6661029, 10.628107 59.6660815, 10.6282217 59.6659453, 10.6283179 59.6658239, 10.6283927 59.6657263, 10.6284538 59.6656235, 10.6285002 59.6655388)",30,,
253713418,Grandeveien,tertiary,False,False,68.0,"LINESTRING (10.6350609 59.6658993, 10.6348828 59.6659373, 10.6346027 59.6659992, 10.6344545 59.6660408, 10.6343338 59.6660802, 10.6342278 59.6661208, 10.6341537 59.6661521, 10.6340314 59.6662109)",40,,
253713423,Grandeveien,tertiary,True,False,37.353,"LINESTRING (10.6350609 59.6658993, 10.635334 59.665815, 10.6354775 59.6657828, 10.6356494 59.6657443)",40,,
674138395,Belsjøveien,residential,True,False,5.187,"LINESTRING (10.6379954 59.6673829, 10.6380166 59.6673375)",,,
1190805998,Belsjøveien,residential,False,False,50.692,"LINESTRING (10.6379954 59.6673829, 10.6378919 59.6674448, 10.6376678 59.6675902, 10.6374411 59.6677426)",,,
32612329,Seimbakken,residential,False,False,107.21200000000002,"LINESTRING (10.6285002 59.6655388, 10.6286051 59.6655478, 10.6286844 59.6655495, 10.6287421 59.6655461, 10.6287886 59.6655401, 10.6290356 59.6655005, 10.6291471 59.6654879, 10.6292215 59.6654862, 10.6292669 59.6654871, 10.6293482 59.6654957, 10.6295259 59.6655211, 10.6296037 59.6655353, 10.6296922 59.665559, 10.629819 59.6655983, 10.629996 59.6656555, 10.630108 59.6657023, 10.630234 59.6657592)",,,
253713434,Niels Carlsens gate,tertiary,False,False,128.19499999999996,"LINESTRING (10.6285002 59.6655388, 10.6284538 59.6656235, 10.6283927 59.6657263, 10.6283179 59.6658239, 10.6282217 59.6659453, 10.628107 59.6660815, 10.6280882 59.6661029, 10.6278479 59.6663764, 10.6278227 59.6664067, 10.6278019 59.6664358, 10.6277901 59.6664621, 10.6277832 59.6664923, 10.6277791 59.6665204, 10.6277879 59.6665502, 10.6277976 59.6665809, 10.6278218 59.6666201)",30,,
253713434,Niels Carlsens gate,tertiary,False,True,34.705,"LINESTRING (10.6285002 59.6655388, 10.628587 59.6653406, 10.6285969 59.665318, 10.6286229 59.6652797, 10.6286631 59.665239)",30,,
32612329,Seimbakken,residential,False,False,91.866,"LINESTRING (10.6320921 59.666044, 10.6322209 59.6660128, 10.6322733 59.6659969, 10.6323184 59.6659832, 10.6324026 59.6659513, 10.6324881 59.6659087, 10.6326276 59.6658238, 10.6329484 59.6656521, 10.6330255 59.6656176, 10.6330879 59.6655942, 10.6331476 59.665581, 10.6332039 59.6655763, 10.6332596 59.6655729, 10.6333139 59.6655749, 10.6333675 59.6655797)",,,
32612329,Seimbakken,residential,False,True,89.47,"LINESTRING (10.6320921 59.666044, 10.631901 59.6660961, 10.6317917 59.6661327, 10.631675 59.6661757, 10.6316033 59.666196, 10.6315322 59.6662069, 10.6314611 59.6662109, 10.631384 59.6662102, 10.631352 59.6662073, 10.6313042 59.6662028, 10.6312251 59.6661835, 10.6309528 59.6660784, 10.6307316 59.6659888)",,,
279669485,Fjellveien,residential,False,True,209.11900000000003,"LINESTRING (10.6320921 59.666044, 10.6320784 59.6660299, 10.6320677 59.6660148, 10.632063 59.6660003, 10.6320207 59.6657578, 10.6320086 59.6656865, 10.6319828 59.6654835, 10.6319604 59.6653802, 10.6319211 59.6651614, 10.6318722 59.664881, 10.6318668 59.664859, 10.6318494 59.6648397, 10.6318165 59.6648227, 10.6316677 59.6647824, 10.6316308 59.6647686, 10.6316093 59.6647472, 10.6316026 59.6647272, 10.631604 59.6647042, 10.6316147 59.6646805, 10.6317254 59.6645755, 10.6317597 59.6645236, 10.6317587 59.6644863, 10.6317213 59.6644464, 10.6315074 59.6642921)",,,
32612373,Seierstenveien,residential,False,False,34.816,"LINESTRING (10.6338812 59.6652749, 10.6338081 59.6652884, 10.6337162 59.6653128, 10.633625 59.665349, 10.633562 59.6653839, 10.6334969 59.66543, 10.6334312 59.6654787)",,,
32612373,Seierstenveien,residential,False,True,91.73200000000003,"LINESTRING (10.6338812 59.6652749, 10.6340106 59.6652637, 10.6341802 59.6652573, 10.6343982 59.6652623, 10.634535 59.6652749, 10.6346335 59.6652955, 10.6347408 59.6653348, 10.6348054 59.6653708, 10.6349728 59.6654642, 10.6350835 59.6655167, 10.6351586 59.6655458, 10.635233 59.6655644, 10.63529 59.6655746)",,,
279669491,Holmåsveien,residential,False,False,61.111000000000004,"LINESTRING (10.6338812 59.6652749, 10.6338758 59.6652495, 10.6338771 59.6652247, 10.6338852 59.6651831, 10.633912 59.6650839, 10.6339147 59.6650165, 10.6339066 59.6649626, 10.6338738 59.6648861, 10.6337652 59.6647384)",,,
32612329,Seimbakken,residential,False,True,91.86600000000003,"LINESTRING (10.6333675 59.6655797, 10.6333139 59.6655749, 10.6332596 59.6655729, 10.6332039 59.6655763, 10.6331476 59.665581, 10.6330879 59.6655942, 10.6330255 59.6656176, 10.6329484 59.6656521, 10.6326276 59.6658238, 10.6324881 59.6659087, 10.6324026 59.6659513, 10.6323184 59.6659832, 10.6322733 59.6659969, 10.6322209 59.6660128, 10.6320921 59.666044)",,,
32612373,Seierstenveien,residential,False,False,32.335,"LINESTRING (10.6333675 59.6655797, 10.6333669 59.665603, 10.6333823 59.6656342, 10.6334078 59.6656731, 10.6334513 59.6657236, 10.6335587 59.6658519)",,,
32612373,Seierstenveien,residential,False,True,11.842,"LINESTRING (10.6333675 59.6655797, 10.6333783 59.6655512, 10.6334004 59.6655126, 10.6334312 59.6654787)",,,
32612373,Seierstenveien,residential,False,False,48.269000000000005,"LINESTRING (10.6335587 59.6658519, 10.633661 59.6659501, 10.63375 59.6660392, 10.6338405 59.666105, 10.6340314 59.6662109)",,,
32612373,Seierstenveien,residential,False,True,32.335,"LINESTRING (10.6335587 59.6658519, 10.6334513 59.6657236, 10.6334078 59.6656731, 10.6333823 59.6656342, 10.6333669 59.665603, 10.6333675 59.6655797)",,,
279669484,Engenehøy,residential,False,False,69.614,"LINESTRING (10.6335587 59.6658519, 10.633492 59.6658676, 10.6331346 59.6659521, 10.6330641 59.6659829, 10.6331264 59.6661314, 10.6332983 59.6663012)",,,
253713418,Grandeveien,tertiary,False,True,8.529,"LINESTRING (10.6339272 59.6662667, 10.6340314 59.6662109)",40,,
32612468,Rådhusveien,residential,False,True,40.148,"LINESTRING (10.6339272 59.6662667, 10.6340964 59.6663586, 10.6341742 59.6663955, 10.6343921 59.6665008, 10.6344335 59.6665214)",,,
