osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,lanes,junction,bridge,tunnel
12831737,Løkkeåsveien,unclassified,False,False,319.613,"LINESTRING (10.5218609 59.8927246, 10.5218285 59.8927522, 10.5213995 59.8929244, 10.521039 59.8930923, 10.5209188 59.8932344, 10.5209617 59.8933937, 10.5212707 59.8937252, 10.5215463 59.8940011, 10.5219572 59.8941973, 10.5223142 59.8942903, 10.5228201 59.8943697, 10.523119 59.8945904, 10.5236542 59.8947479)",,,,,,
"[122730913, 122730918]","['Engervannsveien', 'Elias Smiths vei']",secondary,True,False,26.961,"LINESTRING (10.5218609 59.8927246, 10.5216559 59.8926788, 10.5214202 59.892625)",1626,50,,,,
"[466204283, 752036206]",Drammensveien,motorway_link,True,False,61.31,"LINESTRING (10.5249311 59.8887006, 10.5245604 59.8885702, 10.5242985 59.8884679, 10.5240648 59.8883624)",E 18,80,2,,,
4428236,Sandviksveien,secondary,False,False,62.224999999999994,"LINESTRING (10.527635 59.8901432, 10.5276881 59.8900426, 10.5277388 59.8899844, 10.527992 59.8897656, 10.5280365 59.8897187, 10.5280606 59.889677, 10.5280699 59.8896336)",1648,50,,,,
4428236,Sandviksveien,secondary,False,True,62.144000000000005,"LINESTRING (10.527635 59.8901432, 10.5276167 59.8902078, 10.5276135 59.8902868, 10.5276328 59.8903854, 10.5276726 59.8904712, 10.5277187 59.8905388, 10.5277796 59.8905994, 10.5278735 59.8906739)",1648,50,,,,
12831736,Brambanis vei,unclassified,False,False,107.126,"LINESTRING (10.527635 59.8901432, 10.5275066 59.890131, 10.5273731 59.8901017, 10.5273287 59.8900856, 10.5273002 59.8900753, 10.5272251 59.890047, 10.5269463 59.8899031, 10.5268228 59.8898358, 10.5262067 59.8895221)",,,,,,
4428230,,primary,True,False,2.516,"LINESTRING (10.526772 59.89364, 10.526816 59.893635)",164,50,,roundabout,,
4428230,,primary,True,False,25.528,"LINESTRING (10.527012 59.893685, 10.52703 59.893702, 10.527048 59.893739, 10.527043 59.893767, 10.527031 59.893786, 10.526996 59.893815, 10.52694 59.893839, 10.526873 59.893851, 10.526838 59.893853)",164,50,,roundabout,,
4428230,,primary,True,False,12.725,"LINESTRING (10.526838 59.893853, 10.526805 59.893853, 10.526768 59.893849, 10.526725 59.893839, 10.526687 59.893826, 10.526647 59.893801)",164,50,,roundabout,,
"[4428233, 972760890, 122730923]","['Folangerveien', 'Engervannet bru']",primary,True,False,74.819,"LINESTRING (10.526838 59.893853, 10.5267061 59.893928, 10.5262242 59.8943385, 10.5261524 59.894428)",164,50,2,,yes,
"[50634246, 50634247, 50634248, 50634249, 12698654]",Leif Tronstads plass,residential,True,False,165.30900000000005,"LINESTRING (10.5225663 59.893075, 10.5226843 59.8930399, 10.5227099 59.8930336, 10.5229225 59.8929649, 10.5229587 59.8929512, 10.5230042 59.8929368, 10.5231817 59.89288, 10.5232559 59.8928727, 10.5233131 59.8928833, 10.5241634 59.8931706, 10.5238673 59.8934119, 10.5238392 59.8934306, 10.5238276 59.8934383, 10.5236437 59.8935605, 10.5236294 59.89357, 10.5235608 59.8936156)",,50,,,yes,
122730916,Engervannsveien,secondary,False,True,82.066,"LINESTRING (10.5225663 59.893075, 10.5230489 59.8933771, 10.5232682 59.8934901, 10.5234204 59.8935594, 10.5235608 59.8936156)",1626,50,,,,
122730918,Engervannsveien,secondary,True,False,27.570999999999998,"LINESTRING (10.5225663 59.893075, 10.5224884 59.8930448, 10.5223983 59.8929808, 10.5222757 59.8928775)",1626,50,,,,
122730916,Engervannsveien,secondary,False,False,82.066,"LINESTRING (10.5235608 59.8936156, 10.5234204 59.8935594, 10.5232682 59.8934901, 10.5230489 59.8933771, 10.5225663 59.893075)",1626,50,,,,
122730916,Engervannsveien,secondary,False,True,132.359,"LINESTRING (10.5235608 59.8936156, 10.5236672 59.893659, 10.5238147 59.8937101, 10.5240957 59.8938036, 10.5244383 59.8939132, 10.5248615 59.8940438, 10.5251512 59.8941385, 10.5252805 59.8941884, 10.5253905 59.8942355, 10.5255071 59.8942924)",1626,50,,,,
122730937,Sandviksveien,secondary,False,False,86.883,"LINESTRING (10.5293239 59.8908778, 10.5286936 59.8908631, 10.5285542 59.8908543, 10.528456 59.8908442, 10.528318 59.8908256, 10.5281635 59.8907911, 10.5280043 59.8907373, 10.5278735 59.8906739)",1648,50,,,,
301091828,Sandviksveien,secondary,True,False,25.869000000000003,"LINESTRING (10.5293239 59.8908778, 10.5294621 59.890855, 10.5296295 59.8908419, 10.5297782 59.8908386)",1648,50,2,,,
4428236,Sandviksveien,secondary,False,False,62.144,"LINESTRING (10.5278735 59.8906739, 10.5277796 59.8905994, 10.5277187 59.8905388, 10.5276726 59.8904712, 10.5276328 59.8903854, 10.5276135 59.8902868, 10.5276167 59.8902078, 10.527635 59.8901432)",1648,50,,,,
12701291,Jørgen Kranitz gate,unclassified,False,False,17.486,"LINESTRING (10.5278735 59.8906739, 10.5277984 59.8907091, 10.5276468 59.8907825)",,,,,,
122730937,Sandviksveien,secondary,False,True,86.88300000000001,"LINESTRING (10.5278735 59.8906739, 10.5280043 59.8907373, 10.5281635 59.8907911, 10.528318 59.8908256, 10.528456 59.8908442, 10.5285542 59.8908543, 10.5286936 59.8908631, 10.5293239 59.8908778)",1648,50,,,,
4428231,,primary,True,False,8.620999999999999,"LINESTRING (10.5261524 59.894428, 10.5261736 59.8944653, 10.5261699 59.894504)",164,50,,roundabout,,
4428231,,primary,True,False,1.451,"LINESTRING (10.5259014 59.8945975, 10.5258759 59.8945949)",164,50,,roundabout,,
