osmid,lanes,ref,highway,maxspeed,oneway,reversed,length,bridge,name,geometry
"[329420864, 328556421, 4571658, 4942284, 4942285, 491987293]",2,R148,secondary,"['60', '50']",False,True,476.58799999999997,yes,"['Leixlip Road', 'The New Bridge']","LINESTRING (-6.486263 53.3643161, -6.4860545 53.3642456, -6.4859941 53.3641304, -6.4859933 53.3639831, -6.4861469 53.3633861, -6.4862396 53.3629677, -6.4862643 53.3628561, -6.4862725 53.3627614, -6.4862611 53.3626703, -6.4862405 53.3626541, -6.4861894 53.3626154, -6.4860232 53.362544, -6.485505 53.3623499, -6.4851037 53.3621988, -6.484917 53.3621486, -6.4847373 53.3621003, -6.4844773 53.3620339, -6.4842207 53.3619706, -6.4834575 53.3617823, -6.483379 53.3617639, -6.4828997 53.3616454, -6.4824611 53.3615374)"
50472907,2,R148,secondary,50,False,False,59.934,,,"LINESTRING (-6.486263 53.3643161, -6.486686 53.3643688, -6.4868491 53.364384, -6.4868921 53.364388, -6.4871537 53.3644013)"
"[328073645, 328073647]",,,residential,,False,True,135.242,,Mill Lane,"LINESTRING (-6.486263 53.3643161, -6.4859155 53.3642997, -6.4852821 53.3642553, -6.4847784 53.3642165, -6.4846839 53.3642153, -6.4844364 53.3642178, -6.4842404 53.3642468)"
50472907,2,R148,secondary,50,False,False,22.955,,,"LINESTRING (-6.4877873 53.3643433, -6.4881034 53.3642594)"
29704176,,,residential,,False,False,89.97399999999999,,Ralph Square,"LINESTRING (-6.4877873 53.3643433, -6.4877321 53.3641444, -6.487662 53.3635383)"
50472907,2,R148,secondary,50,False,True,42.817,,,"LINESTRING (-6.4877873 53.3643433, -6.4875761 53.36438, -6.4873191 53.3644027, -6.4872719 53.3644039, -6.4871839 53.364402, -6.4871537 53.3644013)"
"[23527624, 27144689, 4570363, 643889191]",2,R148,secondary,50,False,True,146.369,yes,"['Main Street', 'Pound Street', 'Rye Bridge']","LINESTRING (-6.4928308 53.3639196, -6.4926599 53.3637411, -6.4925796 53.3636594, -6.4925101 53.3636012, -6.4923815 53.3634934, -6.4922677 53.3634065, -6.4921864 53.3633779, -6.4921187 53.363363, -6.4920281 53.3633752, -6.4917936 53.3634205, -6.4915386 53.3634728, -6.4911564 53.3635448)"
50472706,2,R148,secondary,50,False,False,352.9409999999999,,Station Road,"LINESTRING (-6.4928308 53.3639196, -6.4929104 53.3640497, -6.4929448 53.3641729, -6.4929666 53.3642947, -6.4928915 53.3647157, -6.4928528 53.3649148, -6.4928225 53.3650549, -6.4927443 53.3655031, -6.4927429 53.3655599, -6.4927436 53.3655807, -6.4927433 53.3656217, -6.4927664 53.3657318, -6.4927811 53.3657648, -6.4929088 53.3659397, -6.493064 53.3660864, -6.4932491 53.3662027, -6.4934153 53.3663096, -6.493609 53.3664204, -6.4938568 53.3665282, -6.49408 53.366597, -6.4943065 53.3666503)"
"[29064589, 936493590]",,,residential,,False,False,96.573,,"['Pound Street', 'Old Hill']","LINESTRING (-6.4928308 53.3639196, -6.4928849 53.3639026, -6.4929985 53.3639339, -6.4932282 53.3639973, -6.4935385 53.364058, -6.493747 53.3641188, -6.4938278 53.3641583, -6.493861 53.3641745, -6.4938867 53.3641871, -6.4940763 53.3643075)"
48519199,2,R148,secondary,50,False,True,53.927,,Station Road,"LINESTRING (-6.4971068 53.3668803, -6.4968129 53.3668078, -6.4965402 53.3667625, -6.4963337 53.3667347)"
50472907,2,R148,secondary,50,False,True,22.955,,,"LINESTRING (-6.4881034 53.3642594, -6.4877873 53.3643433)"
