osmid,oneway,ref,highway,maxspeed,reversed,length,geometry,name,lanes,tunnel
146625424,True,R634,secondary,50,False,11.532,"LINESTRING (-7.8459746 51.9533289, -7.8459451 51.9532268)",,,
"[969868225, 38498499]",True,,unclassified,,False,92.02000000000001,"LINESTRING (-7.8459746 51.9533289, -7.8458227 51.9532924, -7.8452204 51.952901, -7.8451804 51.9528697, -7.8453978 51.9528073)",,,
150769241,True,R634,secondary,50,False,10.82,"LINESTRING (-7.8456525 51.9527282, -7.8455913 51.9526385)",,,
969868221,False,,unclassified,,True,19.546,"LINESTRING (-7.8456525 51.9527282, -7.8453978 51.9528073)",,,
182674555,False,,residential,,False,126.083,"LINESTRING (-7.8466897 51.9537441, -7.8465666 51.9537965, -7.8461447 51.953976, -7.8459283 51.954068, -7.8453971 51.9536091)",Buttimer's Quay,,
182674562,True,R634,secondary,50,False,67.34299999999999,"LINESTRING (-7.8466897 51.9537441, -7.8465784 51.9536729, -7.8464516 51.9536007, -7.8462378 51.9534789, -7.8459746 51.9533289)",Marketplace,,
58903244,True,,residential,,False,78.576,"LINESTRING (-7.8476168 51.9533283, -7.8466897 51.9537441)",O'Rahily Street,,
58903239,False,R634,secondary,50,False,125.04399999999998,"LINESTRING (-7.84308 51.9476774, -7.8430983 51.9475034, -7.8431122 51.9473632, -7.8431269 51.9472262, -7.8431249 51.9470254, -7.8431113 51.9468835, -7.8430726 51.9465549)",O'Briens Place,2,
"[1160983857, 58903239]",False,R634,secondary,50,True,174.49799999999996,"LINESTRING (-7.84308 51.9476774, -7.8430698 51.9477749, -7.8430477 51.9479215, -7.8430327 51.9480857, -7.8430069 51.9482929, -7.8429764 51.9484902, -7.8429699 51.9486144, -7.8429746 51.9486429, -7.8429971 51.9487351, -7.8430319 51.948899, -7.8430493 51.9489756, -7.8430607 51.9490144, -7.8430784 51.9490881, -7.8430819 51.949106, -7.8431076 51.9492382)",O'Briens Place,2,
"[968913072, 968913073, 968913074]",False,,unclassified,,False,52.712,"LINESTRING (-7.84308 51.9476774, -7.8427867 51.9476767, -7.8426105 51.9476731, -7.8423113 51.9476649)",Carleton Wharf,,yes
58903238,True,R634,secondary,50,False,22.74,"LINESTRING (-7.8431076 51.9492382, -7.8431603 51.9493014, -7.8432128 51.9493502, -7.843292 51.949407)",Friar Street,,
"[1160983857, 58903239]",False,R634,secondary,50,False,174.49800000000002,"LINESTRING (-7.8431076 51.9492382, -7.8430819 51.949106, -7.8430784 51.9490881, -7.8430607 51.9490144, -7.8430493 51.9489756, -7.8430319 51.948899, -7.8429971 51.9487351, -7.8429746 51.9486429, -7.8429699 51.9486144, -7.8429764 51.9484902, -7.8430069 51.9482929, -7.8430327 51.9480857, -7.8430477 51.9479215, -7.8430698 51.9477749, -7.84308 51.9476774)",O'Briens Place,2,
58903238,True,R634,secondary,50,False,75.357,"LINESTRING (-7.843292 51.949407, -7.8434311 51.9494602, -7.843584 51.9495363, -7.8437221 51.9496095, -7.8438906 51.9497184, -7.8440725 51.9498754)",Friar Street,,
58903238,True,R634,secondary,50,False,58.401,"LINESTRING (-7.8440725 51.9498754, -7.8445029 51.9503287)",Friar Street,,
146612756,False,,residential,,True,43.553,"LINESTRING (-7.8440725 51.9498754, -7.8441784 51.9498204, -7.8444596 51.9497416, -7.8446422 51.9497138)",Hayman's Hill,,
58903238,True,R634,secondary,50,False,22.678,"LINESTRING (-7.8451896 51.9509955, -7.8453167 51.9511838)",Friar Street,,
969861806,False,,residential,,False,63.504999999999995,"LINESTRING (-7.8451896 51.9509955, -7.8453139 51.9509556, -7.8457905 51.9507944, -7.8456597 51.9506683)",,1,
140391548,False,,tertiary,,False,72.295,"LINESTRING (-7.8455101 51.9513899, -7.8457408 51.9513015, -7.8458702 51.951255, -7.8464682 51.9511262)",Windmill Hill,,
147280704,True,R634,secondary,50,False,69.62,"LINESTRING (-7.8455101 51.9513899, -7.8456081 51.9515257, -7.8457057 51.9517217, -7.8457468 51.9518043, -7.8457815 51.9518637, -7.8458241 51.9519365, -7.8458506 51.951979)",South Main Street,1,
146612756,False,,residential,,False,247.26400000000004,"LINESTRING (-7.8481959 51.9507264, -7.8478969 51.9505144, -7.847673 51.9503851, -7.8476273 51.9503587, -7.8472735 51.9502384, -7.8466907 51.950037, -7.8466711 51.9500281, -7.8463941 51.9498898, -7.8461815 51.9498513, -7.8456924 51.949839, -7.8455499 51.9497935, -7.8453898 51.9497832, -7.8450928 51.9497868)",Hayman's Hill,,
146612765,False,,tertiary,,True,47.687,"LINESTRING (-7.8481959 51.9507264, -7.8487272 51.9505104, -7.8487759 51.9504895)",Windmill Hill,,
