osmid,lanes,ref,highway,maxspeed,junction,oneway,reversed,length,geometry,name
2734890,1,R162,secondary,50,roundabout,True,False,4.962,"LINESTRING (-6.8046272 53.9049882, -6.804634 53.9049639, -6.8046513 53.9049467)",
"[572500779, 5005989, 382942022]",,R165,secondary,50,,False,False,314.69399999999996,"LINESTRING (-6.8046272 53.9049882, -6.8041763 53.905025, -6.8037871 53.9050589, -6.8036281 53.9050888, -6.8035701 53.9051084, -6.8034925 53.9051346, -6.8033394 53.9052159, -6.803296 53.905239, -6.8031369 53.9053219, -6.8029768 53.9053821, -6.8028079 53.9054345, -6.8027457 53.9054477, -6.8026412 53.9054699, -6.8024189 53.9055013, -6.8021819 53.9055423, -6.8019329 53.9055489, -6.8018502 53.9055423, -6.8016862 53.9055292, -6.8013971 53.9054968, -6.8012772 53.9054834, -6.8009082 53.9054389, -6.8008468 53.9054318, -6.8005592 53.9053983, -6.8002814 53.9053734, -6.800088 53.9053773)",Station Road
2734890,1,R162,secondary,50,roundabout,True,False,4.448,"LINESTRING (-6.8048303 53.9049756, -6.8048301 53.904996, -6.8048191 53.9050145)",
816854524,,R164,secondary,50,,False,True,160.542,"LINESTRING (-6.8048303 53.9049756, -6.8051663 53.9049277, -6.8053553 53.9048845, -6.8054975 53.9048374, -6.8056748 53.9047336, -6.8060044 53.9045205, -6.8063938 53.9042633, -6.8066699 53.9040809)",Hall Road
2734890,1,R162,secondary,50,roundabout,True,False,4.958,"LINESTRING (-6.8047921 53.904938, -6.8048165 53.904954, -6.8048303 53.9049756)",
2734890,1,R162,secondary,50,roundabout,True,False,10.126,"LINESTRING (-6.8046513 53.9049467, -6.8046885 53.9049303, -6.8047534 53.904927, -6.8047921 53.904938)",
2734890,1,R162,secondary,50,roundabout,True,False,11.968,"LINESTRING (-6.8048191 53.9050145, -6.8047858 53.9050358, -6.80475 53.9050446, -6.8047007 53.9050434, -6.804661 53.9050304)",
1180461102,,R162,secondary,50,,True,False,151.17600000000002,"LINESTRING (-6.8048191 53.9050145, -6.8049611 53.9055799, -6.8049857 53.9056776, -6.8050336 53.9058681, -6.805157 53.9063594)",Main Street
2734888,1,R162,secondary,50,roundabout,True,False,9.957999999999998,"LINESTRING (-6.8056375 53.9079377, -6.8056343 53.9079555, -6.8056224 53.907972, -6.8056028 53.9079857, -6.8055773 53.9079954, -6.805548 53.9080003)",
816854539,,R165,secondary,50,,False,True,161.54,"LINESTRING (-6.8056375 53.9079377, -6.8066733 53.9078485, -6.8073557 53.9077767, -6.8077171 53.907763, -6.8080794 53.9077835)",Baileboro Road
2734888,1,R162,secondary,50,roundabout,True,False,16.009999999999998,"LINESTRING (-6.805548 53.9080003, -6.8055131 53.9079993, -6.8054808 53.9079916, -6.8054548 53.9079779, -6.8054381 53.9079598, -6.8054326 53.9079395, -6.8054391 53.9079193, -6.8054567 53.9079015)",
"[5005984, 1240755774]",2,R162,secondary,50,,False,False,214.013,"LINESTRING (-6.805548 53.9080003, -6.8055792 53.9081185, -6.8056771 53.9085151, -6.8059052 53.9093822, -6.8059724 53.9096181, -6.8059842 53.9096598, -6.8059975 53.9097038, -6.8060566 53.9099014)",Turner's Hill
2734888,1,R162,secondary,50,roundabout,True,False,9.554,"LINESTRING (-6.8054567 53.9079015, -6.8054785 53.9078901, -6.8055048 53.9078827, -6.8055337 53.90788, -6.8055626 53.9078822, -6.8055893 53.9078891)",
263792511,,R162,secondary,50,,True,False,162.20299999999997,"LINESTRING (-6.8054567 53.9079015, -6.8053666 53.907576, -6.8051893 53.9069356, -6.8051381 53.9067506, -6.8050581 53.9064618)",Main Street
2734888,1,R162,secondary,50,roundabout,True,False,6.4799999999999995,"LINESTRING (-6.8055893 53.9078891, -6.8056141 53.9079019, -6.8056307 53.9079187, -6.8056375 53.9079377)",
