osmid,lanes,ref,highway,oneway,reversed,length,geometry,junction,name,maxspeed,bridge
4247152,2,R160,secondary,False,False,87.208,"LINESTRING (-6.7867172 53.5523106, -6.7867895 53.5522315, -6.7868383 53.5521536, -6.7870983 53.5515623)",,,,
875354823,1,R154,secondary,True,False,14.865,"LINESTRING (-6.7867172 53.5523106, -6.7867489 53.5523307, -6.7867688 53.5523601, -6.7867646 53.5523999, -6.7867354 53.5524298)",roundabout,,,
2766980,1,R154,secondary,True,False,13.004000000000001,"LINESTRING (-6.7867354 53.5524298, -6.7866996 53.5524463, -6.7866637 53.5524551, -6.7866134 53.552455, -6.7865556 53.552441)",roundabout,,,
4256718,2,R933,secondary,False,True,326.55,"LINESTRING (-6.7867354 53.5524298, -6.786971 53.5525065, -6.7873804 53.5526453, -6.7874768 53.552678, -6.7875284 53.552697, -6.7880034 53.5528715, -6.788047 53.5528875, -6.7884723 53.5530521, -6.7887665 53.5531569, -6.7892244 53.5533201, -6.7899641 53.5535884, -6.7903815 53.5537674, -6.7905793 53.5538522, -6.7906998 53.553944, -6.7907948 53.5540592)",,Castle Street,,
875354825,1,R154,secondary,True,False,13.494,"LINESTRING (-6.7865556 53.552441, -6.7865194 53.5524181, -6.7865031 53.5523956, -6.7864991 53.5523684, -6.7865193 53.5523322)",roundabout,,,
4256714,2,R154,secondary,False,False,140.331,"LINESTRING (-6.7865193 53.5523322, -6.7860547 53.5521018, -6.7858555 53.5519723, -6.7854921 53.5517361, -6.785231 53.5515664, -6.7850153 53.5514441)",,,,
875354824,1,R154,secondary,True,False,14.848,"LINESTRING (-6.7865193 53.5523322, -6.7865601 53.5523074, -6.7866134 53.5522951, -6.7866654 53.5522962, -6.7867172 53.5523106)",roundabout,,,
"[326227247, 326228594, 326228595, 326228596, 4964381, 326231166]",2,L8015,tertiary,False,False,440.5269999999999,"LINESTRING (-6.7934741 53.5522558, -6.7933365 53.5522645, -6.7928032 53.5522984, -6.7922244 53.5523468, -6.7921023 53.5523444, -6.7920169 53.5523427, -6.7919671 53.5523417, -6.7919337 53.5523365, -6.791628 53.5522891, -6.7915803 53.5522817, -6.7914145 53.552256, -6.7913038 53.5522247, -6.7908525 53.5520971, -6.7905392 53.5519857, -6.7902328 53.5518768, -6.7900432 53.5518094, -6.7898419 53.55176, -6.7896636 53.5517537, -6.789465 53.5517662, -6.7891428 53.5517891, -6.7888059 53.5517876, -6.7883282 53.5517658, -6.7883085 53.5517649, -6.7881283 53.5517447, -6.7880551 53.5517302, -6.7876676 53.5516534, -6.787639 53.5516479, -6.7872773 53.5515905, -6.7872011 53.5515758, -6.7870983 53.5515623)",,Patrick Street,50,
"[51770777, 51770862]",2,R161,secondary,False,"[False, True]",164.24300000000002,"LINESTRING (-6.7934741 53.5522558, -6.7934568 53.5524114, -6.7934552 53.5524261, -6.7934598 53.5525911, -6.7934623 53.5526818, -6.7934667 53.5527049, -6.7935472 53.5531288, -6.7935833 53.5533772, -6.7935879 53.5534313, -6.7936122 53.5537111, -6.7936099 53.5537282)",,Emmet Street,50,
"[326229593, 326229697]",2,R161,secondary,False,True,225.216,"LINESTRING (-6.7934741 53.5522558, -6.7938233 53.5522797, -6.7942446 53.5522655, -6.7950703 53.5522409, -6.7961887 53.5521905, -6.796297 53.5521856, -6.7968754 53.5521728)",,,50,
51770777,2,R161,secondary,False,True,70.163,"LINESTRING (-6.7932915 53.555071, -6.7932865 53.5549729, -6.7933228 53.5546855, -6.7933519 53.5545932, -6.7934088 53.5544463)",,Emmet Street,50,
52131658,2,R161,secondary,False,False,142.253,"LINESTRING (-6.7932915 53.555071, -6.7931737 53.5550978, -6.7930957 53.5551155, -6.7923506 53.55533, -6.7923163 53.5553399, -6.7922566 53.5553571, -6.791703 53.5555165, -6.7915603 53.5555465, -6.7913298 53.5555956)",,Market Street,50,
58176986,2,,tertiary,False,True,124.229,"LINESTRING (-6.7932915 53.555071, -6.7933165 53.5551605, -6.7933177 53.5551648, -6.7933295 53.5552051, -6.793389 53.5554077, -6.7934151 53.5555038, -6.7934661 53.5556913, -6.7935187 53.5559731, -6.7935228 53.5560927, -6.7934947 53.5561762)",,Watergate Street,50,
37955093,2,R161,secondary,False,False,105.851,"LINESTRING (-6.7827308 53.5580396, -6.7829438 53.5579979, -6.7830794 53.5579714, -6.7836601 53.5578468, -6.7841187 53.557752, -6.784245 53.5577281)",,,50,
4247152,2,R160,secondary,False,True,87.208,"LINESTRING (-6.7870983 53.5515623, -6.7868383 53.5521536, -6.7867895 53.5522315, -6.7867172 53.5523106)",,,,
"[326227247, 326228594, 326228595, 326228596, 4964381, 326231166]",2,L8015,tertiary,False,True,440.527,"LINESTRING (-6.7870983 53.5515623, -6.7872011 53.5515758, -6.7872773 53.5515905, -6.787639 53.5516479, -6.7876676 53.5516534, -6.7880551 53.5517302, -6.7881283 53.5517447, -6.7883085 53.5517649, -6.7883282 53.5517658, -6.7888059 53.5517876, -6.7891428 53.5517891, -6.789465 53.5517662, -6.7896636 53.5517537, -6.7898419 53.55176, -6.7900432 53.5518094, -6.7902328 53.5518768, -6.7905392 53.5519857, -6.7908525 53.5520971, -6.7913038 53.5522247, -6.7914145 53.552256, -6.7915803 53.5522817, -6.791628 53.5522891, -6.7919337 53.5523365, -6.7919671 53.5523417, -6.7920169 53.5523427, -6.7921023 53.5523444, -6.7922244 53.5523468, -6.7928032 53.5522984, -6.7933365 53.5522645, -6.7934741 53.5522558)",,Patrick Street,50,
38104223,1,R161,secondary,True,False,104.21199999999999,"LINESTRING (-6.7885024 53.557589, -6.7886982 53.5575563, -6.788894 53.5575236, -6.7889998 53.5575036, -6.789079 53.5574886, -6.789412 53.5573808, -6.7894248 53.5573755, -6.7898412 53.5572023, -6.7899015 53.5571772)",,High Street,30,
326337728,2,R161,secondary,False,True,18.471999999999998,"LINESTRING (-6.7885024 53.557589, -6.7883931 53.5575846, -6.7882347 53.5575846, -6.788223 53.5575846)",,,50,
54755533,1,R161,secondary,True,False,101.24600000000001,"LINESTRING (-6.7899015 53.5571772, -6.7903418 53.5569683, -6.7905188 53.5568599, -6.7906808 53.556734, -6.790771 53.5566312, -6.7908595 53.5564903)",,High Street,50,
38104224,2,,tertiary,False,False,61.675,"LINESTRING (-6.7908595 53.5564903, -6.791222 53.5565781, -6.7915437 53.5566736, -6.7917006 53.5567291)",,Mill Street,50,
