osmid,lanes,ref,highway,maxspeed,oneway,reversed,length,geometry,name,bridge,junction,tunnel
5029195,2,N80,primary,30,False,False,59.986,"LINESTRING (-7.3257211 53.1168603, -7.3259498 53.1167027, -7.3261449 53.1165928, -7.3262558 53.1165427, -7.3263996 53.116536)",,,,
8261486,2,R422,secondary,30,False,False,176.24699999999999,"LINESTRING (-7.3257211 53.1168603, -7.3247815 53.1163386, -7.3242935 53.1160774, -7.3240118 53.1159201, -7.3239732 53.1158985, -7.323936 53.1158826, -7.3237537 53.1158047)",Parnell Street,,,
"[192793124, 27549062]",2,N80,primary,30,False,True,206.255,"LINESTRING (-7.3257211 53.1168603, -7.3261806 53.1170737, -7.3265604 53.1172502, -7.3267076 53.1173096, -7.326785 53.1173409, -7.3272373 53.1175208, -7.3282471 53.1179273)",Parnell Street,,,
5029195,2,N80,primary,30,False,True,59.986000000000004,"LINESTRING (-7.3263996 53.116536, -7.3262558 53.1165427, -7.3261449 53.1165928, -7.3259498 53.1167027, -7.3257211 53.1168603)",,,,
86840087,,,unclassified,30,False,False,53.901,"LINESTRING (-7.3263996 53.116536, -7.3264318 53.1165828, -7.3269405 53.1168914)",,,,
53772518,2,R422,secondary,30,False,False,223.96599999999995,"LINESTRING (-7.3206092 53.1151254, -7.3205405 53.1151769, -7.3204337 53.115249, -7.3203283 53.1153681, -7.3199503 53.1158264, -7.3197144 53.1160616, -7.3194454 53.1162913, -7.319346 53.1163691, -7.3192165 53.1164705, -7.3189296 53.1166541, -7.3187221 53.1167737)",,,,
113756866,2,L2120,tertiary,30,False,True,118.00800000000001,"LINESTRING (-7.3206092 53.1151254, -7.3205858 53.1150385, -7.3205475 53.1149306, -7.3205134 53.1148483, -7.3204581 53.1147632, -7.3203616 53.1146341, -7.3202509 53.1145049, -7.3202282 53.1144822, -7.3200991 53.1143531, -7.3199539 53.1141479)",,,,
"[193199929, 193199930, 192793126]",2,R422,secondary,30,False,True,226.02500000000003,"LINESTRING (-7.3206092 53.1151254, -7.3206905 53.1151616, -7.3207799 53.1151944, -7.3210472 53.1152852, -7.3212903 53.1153544, -7.321532 53.1154026, -7.3217794 53.1154545, -7.3218122 53.1154588, -7.3220293 53.1154873, -7.3223141 53.1155103, -7.3226244 53.1155307, -7.3229817 53.115574, -7.3231901 53.1156131, -7.3233992 53.1156686, -7.3236256 53.1157578, -7.3237537 53.1158047)",Sarsfield Street,yes,,
"[53772518, 53772519]",2,R422,secondary,"['50', '30']",False,True,41.953,"LINESTRING (-7.3181257 53.1171162, -7.3184156 53.1169404, -7.3185743 53.116852)",,,,
"[27549064, 27549062]",2,N80,primary,"['50', '30']",False,False,142.862,"LINESTRING (-7.3300884 53.1185742, -7.329991 53.118521, -7.3298748 53.1184597, -7.3283794 53.1179794, -7.3282471 53.1179273)",,,,
