osmid,oneway,ref,highway,maxspeed,reversed,length,name,geometry,lanes,junction
37868159,True,R551,secondary_link,30,False,12.598,,"LINESTRING (-9.7082972 52.2690054, -9.708481 52.2689918)",,
136701219,True,R551,secondary,30,False,29.017000000000003,Bridge Place,"LINESTRING (-9.7082972 52.2690054, -9.7083669 52.2689196, -9.7084116 52.2688574, -9.7085085 52.2687804)",,
"[111471020, 228922164]",False,R874,secondary,50,True,57.208999999999996,"['Chapel Street', 'Strand Street']","LINESTRING (-9.7104952 52.2691101, -9.7105465 52.2690472, -9.7105879 52.2689824, -9.7106871 52.2687224, -9.7108008 52.2686403)",2,
778538625,False,R874,secondary,50,False,23.993000000000002,Matt Talbot Road,"LINESTRING (-9.7104952 52.2691101, -9.7104298 52.2691998, -9.7104446 52.269317)",2,
987241213,True,,secondary,50,False,5.71,Kevin Barry roundabout,"LINESTRING (-9.7063417 52.2728581, -9.7063247 52.272834, -9.7063211 52.272809)",1,roundabout
19107134,False,R875,secondary,50,False,70.128,Boherbee,"LINESTRING (-9.6995595 52.2690473, -9.6999744 52.2690301, -9.7000379 52.2690275, -9.7005874 52.2690019)",2,
25659864,False,,unclassified,,True,171.125,Chutes Lane,"LINESTRING (-9.6995595 52.2690473, -9.6996138 52.2693616, -9.6996054 52.2694489, -9.6995867 52.2697086, -9.6995239 52.2698861, -9.6994251 52.2701654, -9.6992462 52.2703166, -9.6990684 52.2705095)",,
100744001,False,R875,secondary,50,False,26.783,Castle Street Upper,"LINESTRING (-9.7008934 52.2689825, -9.701287 52.2689819)",2,
227605659,False,R875,secondary,50,True,20.934,Castle Street Upper,"LINESTRING (-9.7008934 52.2689825, -9.700735 52.2689925, -9.7005874 52.2690019)",2,
19101802,False,R875,secondary,30,False,36.013999999999996,Ivy Terrace,"LINESTRING (-9.7058747 52.2670916, -9.7059256 52.2670723, -9.7059858 52.2670592, -9.706118 52.2670607, -9.7063908 52.26707)",2,
"[551366952, 38031214, 551366951]",True,,unclassified,30,False,230.20900000000003,Ivy Terrace,"LINESTRING (-9.7058747 52.2670916, -9.7056697 52.2670114, -9.7055252 52.2669632, -9.7054741 52.2669344, -9.705444 52.2669014, -9.7054318 52.2668508, -9.7054914 52.266641, -9.7055863 52.2663823, -9.7056199 52.2663637, -9.705675 52.2663494, -9.7060947 52.2663892, -9.7064263 52.2664355, -9.7065096 52.2664642, -9.7065511 52.2665193, -9.7064478 52.2668414, -9.7064004 52.2670153, -9.7063975 52.2670385, -9.7063908 52.26707)",1,
"[38131521, 495088271]",False,R875,secondary,30,True,94.824,Denny Street,"LINESTRING (-9.7058747 52.2670916, -9.7058467 52.2671112, -9.7058216 52.2671431, -9.7057106 52.2674967, -9.7056969 52.2675404, -9.7056843 52.2675771, -9.705567 52.2679189)",2,
55676967,True,N86,primary,60,False,16.628,Ballyard Roundabout,"LINESTRING (-9.711559 52.2648022, -9.7115209 52.2647997, -9.7114843 52.264793, -9.7114499 52.2647823, -9.7114193 52.2647679, -9.7113895 52.264747, -9.7113677 52.2647227)",1,roundabout
136701221,True,R551,secondary,60,False,28.741999999999997,Prince's Quay,"LINESTRING (-9.711559 52.2648022, -9.7114541 52.2648809, -9.7113908 52.2649379, -9.7112873 52.264999)",1,
24553331,False,R551,secondary,50,True,193.78799999999998,Pembroke Street,"LINESTRING (-9.7100306 52.2720937, -9.7098199 52.2720134, -9.7093818 52.2718464, -9.7093525 52.2718345, -9.7090203 52.271699, -9.7088077 52.2715882, -9.7086651 52.2714858, -9.7085288 52.2713851, -9.7080847 52.2711745, -9.707961 52.2711233, -9.7077574 52.2710643)",2,
"[292016841, 25659866]",False,R874,secondary,50,False,187.758,North Circular Road,"LINESTRING (-9.7100306 52.2720937, -9.7099073 52.2722285, -9.7096571 52.2725021, -9.7094413 52.2727381, -9.7092512 52.2728888, -9.7090653 52.2730045, -9.7088893 52.2730789, -9.7086463 52.2731492, -9.7084111 52.2731986, -9.7081714 52.2732298)",2,
27467752,False,R551,secondary,50,False,26.288,Caherslee Road,"LINESTRING (-9.7100306 52.2720937, -9.7102763 52.272179, -9.7103666 52.2722104)",2,
245256812,False,R874,secondary,50,True,27.787,Matt Talbot Road,"LINESTRING (-9.7100306 52.2720937, -9.7101299 52.2719735, -9.7102149 52.2718707)",2,
111471460,False,R556,secondary,50,False,13.333,Rock Street,"LINESTRING (-9.7077574 52.2710643, -9.7077168 52.2711816)",,
