osmid,oneway,lanes,ref,highway,reversed,length,junction,geometry,name,maxspeed,bridge
155715894,True,1,R611,secondary,False,19.386,,"LINESTRING (-8.3913009 51.8167578, -8.3912261 51.8165897)",,,
22973323,True,,R611,secondary,False,5.414,roundabout,"LINESTRING (-8.3911766 51.8164866, -8.3911976 51.816466, -8.3912274 51.8164501)",,,
29491657,True,1,R613,secondary,False,21.423,,"LINESTRING (-8.3914306 51.8165022, -8.3917421 51.8165083)",Ballea Road,50,
22973323,True,,R611,secondary,False,5.199,roundabout,"LINESTRING (-8.3914306 51.8165022, -8.3914334 51.8165255, -8.3914257 51.8165484)",,,
29452357,False,,L2491,tertiary,False,110.137,,"LINESTRING (-8.3924987 51.8129537, -8.3923461 51.8129528, -8.3921348 51.8129619, -8.3919498 51.812991, -8.3917566 51.81305, -8.391469 51.813156, -8.3913338 51.8132068, -8.3910473 51.813318)",Strand Road,50,
80237917,False,,R611,secondary,False,144.012,,"LINESTRING (-8.3924987 51.8129537, -8.3925269 51.8128457, -8.3926193 51.8123038, -8.3926385 51.8121494, -8.3926916 51.8117246, -8.3927209 51.8116675)",Main Street,50,
"[180385088, 438067530, 338990171, 341628015]",False,,R611,secondary,True,141.789,,"LINESTRING (-8.3924987 51.8129537, -8.3924543 51.8131314, -8.3924399 51.8131951, -8.3924247 51.8132746, -8.3924073 51.8133348, -8.3923571 51.8135088, -8.3923389 51.8135671, -8.3923135 51.813654, -8.3922564 51.8138641, -8.3921489 51.8142101)","['Main Street', 'Carrigaline Bridge']",50,yes
42492006,False,2,R611,secondary,False,231.185,,"LINESTRING (-8.3927209 51.8116675, -8.392803 51.8116462, -8.394029 51.811592, -8.3941489 51.8115888, -8.3942672 51.8115854, -8.3946977 51.8115769, -8.3951377 51.8115597, -8.3954493 51.8115474, -8.3960705 51.8115231)",Kilmoney Road,50,
80237917,False,,R611,secondary,True,144.012,,"LINESTRING (-8.3927209 51.8116675, -8.3926916 51.8117246, -8.3926385 51.8121494, -8.3926193 51.8123038, -8.3925269 51.8128457, -8.3924987 51.8129537)",Main Street,50,
722243584,False,,,tertiary,True,74.039,,"LINESTRING (-8.3927209 51.8116675, -8.3927404 51.8111109, -8.392727 51.8110021)",,,
29272150,False,,,residential,False,60.859,,"LINESTRING (-8.3890235 51.8176811, -8.3896394 51.8180743)",Saint Philomena's,,
389809381,False,,,residential,False,15.789,,"LINESTRING (-8.3890235 51.8176811, -8.3890879 51.8175448)",,,
29272149,False,,,residential,False,71.229,,"LINESTRING (-8.3890235 51.8176811, -8.3888528 51.8178725, -8.3887027 51.817915, -8.3885702 51.8180765, -8.38851 51.8182103)",,,
29272148,False,,,residential,False,41.738,,"LINESTRING (-8.3896394 51.8180743, -8.389509 51.8184409)",Saint Philomena's,,
29272150,False,,,residential,False,44.268,,"LINESTRING (-8.3896394 51.8180743, -8.3900889 51.8183594)",Saint Philomena's,,
29272150,False,,,residential,True,60.859,,"LINESTRING (-8.3896394 51.8180743, -8.3890235 51.8176811)",Saint Philomena's,,
29272150,False,,,residential,False,40.877,,"LINESTRING (-8.3900889 51.8183594, -8.389509 51.8184409)",Saint Philomena's,,
29272150,False,,,residential,True,44.268,,"LINESTRING (-8.3900889 51.8183594, -8.3896394 51.8180743)",Saint Philomena's,,
389809378,False,,,residential,False,26.193,,"LINESTRING (-8.3900889 51.8183594, -8.3903945 51.8183199, -8.3904619 51.8183112)",,,
29272148,False,,,residential,True,41.738,,"LINESTRING (-8.389509 51.8184409, -8.3896394 51.8180743)",Saint Philomena's,,
29272150,False,,,residential,True,40.877,,"LINESTRING (-8.389509 51.8184409, -8.3900889 51.8183594)",Saint Philomena's,,
"[68512714, 29272148]",False,,,residential,False,98.635,,"LINESTRING (-8.389509 51.8184409, -8.3893596 51.8188335, -8.3892865 51.8190116, -8.3893307 51.8191081, -8.3894485 51.8191474, -8.3896344 51.8191257)","['Beechcourt', ""Saint Philomena's""]",,
68512713,False,,,residential,False,24.908,,"LINESTRING (-8.3902474 51.8190542, -8.3901945 51.8188326)",Beechcourt,,
68512714,False,,,residential,False,44.507,,"LINESTRING (-8.3902474 51.8190542, -8.3903676 51.8194475)",Beechcourt,,
68512714,False,,,residential,True,42.878,,"LINESTRING (-8.3902474 51.8190542, -8.3896344 51.8191257)",Beechcourt,,
68512714,False,,,residential,True,44.507,,"LINESTRING (-8.3903676 51.8194475, -8.3902474 51.8190542)",Beechcourt,,
29272149,False,,,residential,True,71.229,,"LINESTRING (-8.38851 51.8182103, -8.3885702 51.8180765, -8.3887027 51.817915, -8.3888528 51.8178725, -8.3890235 51.8176811)",,,
155715827,False,2,R611,secondary,True,156.66899999999998,,"LINESTRING (-8.3919364 51.8147709, -8.3918514 51.8149473, -8.3916561 51.8154612, -8.3914804 51.8158855, -8.3914056 51.8160609, -8.3913738 51.816136)",Main Street,50,
341628015,False,,R611,secondary,False,64.05699999999999,,"LINESTRING (-8.3919364 51.8147709, -8.3919477 51.8147473, -8.392024 51.8145267, -8.3921489 51.8142101)",Main Street,50,
29272152,True,,L2536,tertiary,False,41.016,,"LINESTRING (-8.3913525 51.814695, -8.3918073 51.814754, -8.3919364 51.8147709)",Old Waterpark,,
"[341628017, 29272146]",False,,L2536,tertiary,True,236.288,,"LINESTRING (-8.3913525 51.814695, -8.3910387 51.8146607, -8.3909503 51.8146513, -8.3908139 51.814731, -8.3906899 51.8149137, -8.3905426 51.8152634, -8.3903019 51.81581, -8.3902162 51.8159296, -8.3900247 51.8160687, -8.3897451 51.8162057, -8.3896317 51.816272)",Old Waterpark,,
180385084,True,1,R612,secondary,False,17.553,,"LINESTRING (-8.3883802 51.8133529, -8.388547 51.8133808, -8.3886295 51.8133824)",,50,
29452357,False,,L2491,tertiary,True,142.632,,"LINESTRING (-8.3891366 51.8135547, -8.3895038 51.8136362, -8.3896675 51.8136611, -8.3898271 51.8136663, -8.3899827 51.8136524, -8.3901235 51.8136305, -8.3903023 51.8135794, -8.3905229 51.813509, -8.3910473 51.813318)",Strand Road,50,
180385101,True,2,L2491,tertiary,False,19.732999999999997,,"LINESTRING (-8.3891366 51.8135547, -8.3889524 51.8135385, -8.3888515 51.8135413)",Strand Road,,
29452357,False,,L2491,tertiary,False,142.63199999999998,,"LINESTRING (-8.3910473 51.813318, -8.3905229 51.813509, -8.3903023 51.8135794, -8.3901235 51.8136305, -8.3899827 51.8136524, -8.3898271 51.8136663, -8.3896675 51.8136611, -8.3895038 51.8136362, -8.3891366 51.8135547)",Strand Road,50,
29452357,False,,L2491,tertiary,True,110.13700000000001,,"LINESTRING (-8.3910473 51.813318, -8.3913338 51.8132068, -8.391469 51.813156, -8.3917566 51.81305, -8.3919498 51.812991, -8.3921348 51.8129619, -8.3923461 51.8129528, -8.3924987 51.8129537)",Strand Road,50,
722239238,False,,,residential,True,56.616,,"LINESTRING (-8.3910473 51.813318, -8.3909697 51.8132458, -8.3907105 51.8129345, -8.3906842 51.812864)",,,
29505637,False,2,L6536,residential,False,67.93299999999999,,"LINESTRING (-8.3957462 51.817006, -8.3955013 51.8174619, -8.3954733 51.8175913)",Endsleigh,,
67668291,False,2,R613,secondary,False,103.592,,"LINESTRING (-8.3957462 51.817006, -8.3961646 51.8170447, -8.3964226 51.8170565, -8.3964864 51.8170556, -8.3966447 51.8170546, -8.3972478 51.8170495)",Ballea Road,50,
67668291,False,2,R613,secondary,True,73.234,,"LINESTRING (-8.3957462 51.817006, -8.3949716 51.8168617, -8.3947272 51.8168138)",Ballea Road,50,
29505626,False,,L6537,residential,False,22.562,,"LINESTRING (-8.3983135 51.8170405, -8.398311 51.8168376)",,,
