osmid,lanes,ref,highway,maxspeed,oneway,reversed,length,name,geometry,width
1201898514,2,R183,secondary,50,False,True,13.134,,"LINESTRING (-7.2346288 54.181484, -7.2345966 54.1816006)",
24444452,2,R183,secondary,50,False,True,51.092,Newtownbutler Road,"LINESTRING (-7.2346288 54.181484, -7.2347215 54.1814391, -7.2347442 54.1814305, -7.2348405 54.1813973, -7.235291 54.1812384)",
24444453,1,R868,secondary,50,True,False,203.94299999999998,Fermanagh Street,"LINESTRING (-7.2346288 54.181484, -7.2345841 54.1814094, -7.2345066 54.1813301, -7.234346 54.1812163, -7.2341265 54.1810573, -7.2340424 54.1809981, -7.2339808 54.1809547, -7.2335649 54.1806617, -7.2335289 54.1806356, -7.2334629 54.1805816, -7.2332112 54.1803753, -7.2331707 54.1803422, -7.2327519 54.180022)",
24444453,1,R868,secondary,50,True,False,100.60600000000001,Fermanagh Street,"LINESTRING (-7.2327519 54.180022, -7.2324234 54.1797311, -7.232321 54.1796213, -7.2322323 54.1795262, -7.2321216 54.1793809, -7.2320981 54.1793365, -7.2320903 54.1792795, -7.2320699 54.1792208)",
"[283853937, 177295263]",2,L28105,unclassified,50,False,"[False, True]",175.945,,"LINESTRING (-7.2327519 54.180022, -7.2327012 54.1800391, -7.2325977 54.1800807, -7.2325549 54.1801369, -7.2324234 54.1803733, -7.2323906 54.1804599, -7.2323358 54.1804524, -7.2323145 54.1804504, -7.232001 54.1804207, -7.2318133 54.1804033, -7.2315239 54.1803619, -7.2312449 54.1803043, -7.2309648 54.1802479, -7.2308277 54.1802203, -7.2306236 54.180176)",
78456650,2,N54,primary,50,False,False,122.32499999999999,Cara Street,"LINESTRING (-7.2320699 54.1792208, -7.2321347 54.1792128, -7.2322296 54.179201, -7.232303 54.1791924, -7.2323779 54.1791658, -7.2324147 54.1791343, -7.2324743 54.1790635, -7.2326047 54.1788732, -7.2326851 54.1787638, -7.2327176 54.1787185, -7.2327884 54.1786127, -7.2329515 54.17839, -7.2329786 54.1783529, -7.232994 54.1783319)",
78456661,2,N54,primary,50,False,True,38.97,The Diamond,"LINESTRING (-7.2320699 54.1792208, -7.2319242 54.1792473, -7.2318608 54.1792682, -7.2318062 54.1792848, -7.2317458 54.1793027, -7.2315387 54.1793785)",
31070864,2,R183,secondary,50,False,True,291.205,O'Duffy Street,"LINESTRING (-7.2292115 54.180198, -7.2291806 54.1800813, -7.2291687 54.1800365, -7.2290779 54.1796939, -7.2290322 54.1795216, -7.2289675 54.1792792, -7.2288746 54.1789312, -7.2288085 54.1786933, -7.2287696 54.178475, -7.2287637 54.1784417, -7.2288806 54.1781099, -7.2289599 54.1780042, -7.2291158 54.1778671, -7.2292807 54.177729, -7.2293266 54.1776805)",
269441174,2,N54,primary,50,False,False,176.76,Monaghan Street,"LINESTRING (-7.2292115 54.180198, -7.229424 54.1801245, -7.2294786 54.1801056, -7.2308376 54.1796357, -7.2313441 54.1794507, -7.2313713 54.1794399, -7.2315387 54.1793785)",
"[114732368, 1105496677]",2,R183,secondary,50,False,False,80.566,98 Avenue,"LINESTRING (-7.2292115 54.180198, -7.2292632 54.180377, -7.2292719 54.1804059, -7.2293484 54.1806611, -7.2294271 54.1808108, -7.2295331 54.1808866)",
