osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,bridge,tunnel,junction
3753915,False,2,Malahide Road,tertiary,50,False,72.424,"LINESTRING (-6.2215079 53.4563944, -6.221337 53.4563622, -6.2212592 53.4563411, -6.2211686 53.4563181, -6.220929 53.4562515, -6.2207669 53.4561922, -6.2205445 53.4560949)",,,,
27340146,False,2,Main Street,secondary,50,False,82.15,"LINESTRING (-6.2215079 53.4563944, -6.2214398 53.4565011, -6.2214209 53.456531, -6.2212453 53.4568076, -6.2211096 53.4570934)",R836,,,
366119203,False,2,Main Street,secondary,50,True,73.271,"LINESTRING (-6.2215079 53.4563944, -6.2215661 53.4563002, -6.2215827 53.4562732, -6.2217718 53.4559671, -6.221835 53.4558649, -6.221906 53.4557801)",R836,,,
3811109,False,2,North Street,secondary,50,False,54.45100000000001,"LINESTRING (-6.2198284 53.4592753, -6.2196399 53.4593058, -6.219491 53.4593556, -6.2193622 53.4594267, -6.2191881 53.4595578)",R836,,,
"[32235117, 32235118, 231758991, 198486681, 1106766495]",False,2,"['Bridge Street', 'Rathbeale Road', 'Mill Bridge']",tertiary,50,False,198.00599999999997,"LINESTRING (-6.2198284 53.4592753, -6.220045 53.4592816, -6.2202765 53.4592884, -6.2208147 53.4592821, -6.221016 53.4592771, -6.2211667 53.4592733, -6.2212582 53.4592723, -6.2215157 53.4592723, -6.2216368 53.4592712, -6.2216581 53.459271, -6.2218026 53.4592696, -6.2219609 53.459264, -6.2221376 53.4592751, -6.2223858 53.4593019, -6.2225027 53.4593244, -6.222591 53.4593414, -6.2227577 53.4593819, -6.2227866 53.4593892)",L2010,yes,,
366257338,False,2,Main Street,secondary,50,True,65.504,"LINESTRING (-6.2198284 53.4592753, -6.2199162 53.4591875, -6.2200635 53.458978, -6.2201456 53.4588577, -6.2202277 53.4587373)",R836,,,
3811109,False,2,North Street,secondary,50,True,40.133,"LINESTRING (-6.218409 53.4617457, -6.2185495 53.4613946)",R836,,,
3811109,False,2,North Street,secondary,50,False,61.39699999999999,"LINESTRING (-6.218409 53.4617457, -6.2183428 53.4619922, -6.2183129 53.4621032, -6.2182795 53.462222, -6.2182602 53.4622907)",R836,,,
"[146735298, 28884133, 51343866]",False,2,Carnegie Court Avenue,residential,30,False,89.176,"LINESTRING (-6.218409 53.4617457, -6.2181962 53.461717, -6.2180975 53.4616896, -6.2180076 53.4616282, -6.2178445 53.4615266, -6.2176654 53.4614911, -6.2175869 53.4614833, -6.2173884 53.4614592, -6.2172205 53.4614275)",L21451,,yes,
3387342,True,2,Swords Bypass,secondary,80,False,145.89,"LINESTRING (-6.2125557 53.460405, -6.2125835 53.460196, -6.2125861 53.4600059, -6.2125181 53.4596788, -6.2124608 53.4593913, -6.2124213 53.4590991)",R132,,,
