osmid,lanes,ref,name,highway,maxspeed,access,oneway,reversed,length,geometry,bridge,junction,width
372148621,2,N21,Saint Mary's Road,trunk,50,yes,False,False,28.779,"LINESTRING (-9.051825 52.4490241, -9.0514165 52.4490948)",,,
372148621,2,N21,Saint Mary's Road,trunk,50,yes,False,True,64.95400000000001,"LINESTRING (-9.051825 52.4490241, -9.0521889 52.4489699, -9.0523713 52.4489428, -9.0527556 52.4488843)",,,
993733926,2,L1343,Lower Maiden Street,tertiary,,,False,True,78.29400000000001,"LINESTRING (-9.051825 52.4490241, -9.0518606 52.4490729, -9.0518808 52.4491007, -9.0519284 52.449128, -9.0519523 52.4491417, -9.0520747 52.4491671, -9.0522928 52.4491684, -9.0526083 52.4491671, -9.0527724 52.4491722, -9.0528646 52.4491757)",,,
235880410,2,N21,,trunk,50,yes,True,False,53.728,"LINESTRING (-9.0490481 52.449649, -9.049188 52.4495645, -9.0495363 52.4494262, -9.0496323 52.4493333)",,,
"[235880409, 1158998532]",2,N21,,trunk,50,yes,False,False,186.51600000000002,"LINESTRING (-9.0490481 52.449649, -9.0486232 52.4498603, -9.0482898 52.4500658, -9.0481214 52.4501786, -9.0476653 52.4504842, -9.0471225 52.4508437)",,,
29595966,2,R520,Rathina,secondary,,,False,False,161.459,"LINESTRING (-9.05611 52.4486555, -9.0561137 52.4486106, -9.0560682 52.4485638, -9.0558983 52.4484846, -9.0555887 52.4483509, -9.0552611 52.4482245, -9.054949 52.4481543, -9.0549061 52.4481472, -9.0545034 52.4480808, -9.0541416 52.4480627, -9.054061 52.4480676)",,,
996326739,2,N21,Saint Ita's Road,trunk,50,yes,False,True,140.514,"LINESTRING (-9.05611 52.4486555, -9.0563473 52.4486746, -9.0565354 52.4487172, -9.0567777 52.4487777, -9.0578401 52.4490618, -9.058022 52.4491274)",,,
"[1194768361, 372148620, 372148621]",2,N21,Saint Mary's Road,trunk,50,yes,False,False,230.277,"LINESTRING (-9.05611 52.4486555, -9.0557894 52.448658, -9.055539 52.4486583, -9.0554874 52.448658, -9.0548856 52.4486546, -9.0544027 52.4486605, -9.0542782 52.4486688, -9.0541599 52.4486767, -9.054112 52.4486799, -9.0540335 52.4486851, -9.0537237 52.4487332, -9.0532715 52.4488033, -9.0529843 52.4488478, -9.0527556 52.4488843)",yes,,
29595968,1,,,secondary,,,True,False,13.777999999999999,"LINESTRING (-9.0481236 52.4483055, -9.048159 52.4482833, -9.0482044 52.4482693, -9.0482547 52.4482651, -9.0483046 52.4482711)",,roundabout,
29595966,2,R520,Rathina,secondary,,,False,True,390.64200000000005,"LINESTRING (-9.0484037 52.4483654, -9.0484528 52.4483549, -9.049231 52.4483878, -9.049836 52.4484134, -9.0511998 52.4484718, -9.0515063 52.448478, -9.0517923 52.4484485, -9.0522891 52.4483633, -9.0526759 52.448271, -9.0531937 52.4481595, -9.053604 52.4481075, -9.0538641 52.4480795, -9.054061 52.4480676)",,,
29595968,1,,,secondary,,,True,False,6.943,"LINESTRING (-9.0484037 52.4483654, -9.0483916 52.4483957, -9.0483639 52.448422)",,roundabout,
29595968,1,,,secondary,,,True,False,13.288,"LINESTRING (-9.0483046 52.4482711, -9.0483471 52.448286, -9.0483798 52.4483082, -9.0483993 52.4483356, -9.0484037 52.4483654)",,roundabout,
408753142,2,R522,Cork Road,secondary,50,,False,False,84.17,"LINESTRING (-9.0483046 52.4482711, -9.0483024 52.4481986, -9.0482571 52.4481003, -9.0480535 52.4478794, -9.0477641 52.4476017)",,,
"[1037127160, 117933913]",2,L1315,Bóthar Buí,tertiary,,,False,True,387.492,"LINESTRING (-9.058022 52.4491274, -9.0580623 52.4490305, -9.0580588 52.4490002, -9.0580459 52.448888, -9.0580333 52.4488415, -9.057994 52.4486964, -9.0578492 52.4482151, -9.0578089 52.4479642, -9.0578126 52.4476985, -9.0578407 52.4475854, -9.0579097 52.4474043, -9.0579409 52.4473509, -9.0580514 52.4471622, -9.0580722 52.4471265, -9.0582228 52.4468682, -9.0584362 52.4465023, -9.0587689 52.4459666, -9.0588349 52.4458603, -9.0588903 52.4457699)",,,
996326739,2,N21,Saint Ita's Road,trunk,50,yes,False,False,140.514,"LINESTRING (-9.058022 52.4491274, -9.0578401 52.4490618, -9.0567777 52.4487777, -9.0565354 52.4487172, -9.0563473 52.4486746, -9.05611 52.4486555)",,,
996326739,2,N21,Saint Ita's Road,trunk,50,yes,False,True,105.885,"LINESTRING (-9.058022 52.4491274, -9.0582412 52.4492334, -9.0583976 52.4492958, -9.0584907 52.4493242, -9.0586381 52.4493691, -9.0588111 52.4494066, -9.0590485 52.4494411, -9.0594411 52.4494849)",,,
1163732947,2,N21,Saint Ita's Road,trunk,50,,False,False,26.164,"LINESTRING (-9.0598151 52.4495433, -9.0594411 52.4494849)",,,
"[459784216, 61428385, 888931180]",2,L1340,Bridge Street,tertiary,,,False,False,26.088,"LINESTRING (-9.0598151 52.4495433, -9.059825 52.4496175, -9.0598286 52.4496328, -9.0598588 52.4497591, -9.0598628 52.449776)",yes,,
372148621,2,N21,Saint Mary's Road,trunk,50,yes,False,True,28.779,"LINESTRING (-9.0514165 52.4490948, -9.051825 52.4490241)",,,
235880408,1,N21,,trunk,50,yes,True,False,96.76600000000002,"LINESTRING (-9.0514165 52.4490948, -9.0512885 52.4491377, -9.0508701 52.4491933, -9.0503659 52.4492521, -9.0501406 52.449311, -9.0500565 52.449338)",,,
386720303,1,R522,,secondary,,,True,False,16.644,"LINESTRING (-9.0487562 52.4489663, -9.0485212 52.4489228)",,,
