osmid,oneway,lanes,name,highway,maxspeed,width,reversed,length,geometry
4636134,False,2,Soekramsingstraat,tertiary,40,6,False,126.64,"LINESTRING (-56.988507 5.919962, -56.9884327 5.9210985)"
557719893,False,,C.R. Biswamitreweg,tertiary,50,,True,93.03,"LINESTRING (-56.988507 5.919962, -56.9876673 5.9199133)"
557719897,True,,C.R. Biswamitreweg,tertiary,50,,False,5.992,"LINESTRING (-56.9870625 5.9195057, -56.9871002 5.9195444)"
557719897,True,,C.R. Biswamitreweg,tertiary,50,,False,66.74900000000001,"LINESTRING (-56.9867999 5.9189687, -56.9868363 5.9190552, -56.9868682 5.9191377, -56.9869086 5.9192457, -56.9869618 5.919359, -56.9870097 5.9194363, -56.9870625 5.9195057)"
4635253,False,,H.N. van Dijkstraat,residential,50,5,False,19.499,"LINESTRING (-56.9867269 5.9200355, -56.9867319 5.9199851, -56.9867441 5.9199238, -56.9867657 5.9198654)"
4636134,False,2,Soekramsingstraat,tertiary,40,6,False,97.005,"LINESTRING (-56.9884327 5.9210985, -56.9883833 5.9219695)"
4636134,False,2,Soekramsingstraat,tertiary,40,6,True,126.64,"LINESTRING (-56.9884327 5.9210985, -56.988507 5.919962)"
396036263,False,,Kaviaarstraat,residential,,,True,100.325,"LINESTRING (-56.9892899 5.9219991, -56.9883833 5.9219695)"
4636134,False,2,Soekramsingstraat,tertiary,40,6,True,97.005,"LINESTRING (-56.9883833 5.9219695, -56.9884327 5.9210985)"
396036263,False,,Kaviaarstraat,residential,,,False,100.325,"LINESTRING (-56.9883833 5.9219695, -56.9892899 5.9219991)"
557719893,False,,C.R. Biswamitreweg,tertiary,50,,False,93.03,"LINESTRING (-56.9876673 5.9199133, -56.988507 5.919962)"
557719889,True,,C.R. Biswamitreweg,tertiary,50,,False,79.683,"LINESTRING (-56.9876673 5.9199133, -56.9875957 5.9199186, -56.9875136 5.9199023, -56.9874163 5.9198694, -56.9872954 5.9198035, -56.9872013 5.9197359, -56.9871023 5.9196555, -56.9870442 5.9196002)"
557719889,True,,C.R. Biswamitreweg,tertiary,50,,False,5.984,"LINESTRING (-56.9870442 5.9196002, -56.9870079 5.9195603)"
557719881,True,,H.N. van Dijkstraat,residential,50,5,False,42.646,"LINESTRING (-56.9870442 5.9196002, -56.9869013 5.9197356, -56.9868455 5.9197885, -56.9868165 5.9198181, -56.9867657 5.9198654)"
557719881,True,,H.N. van Dijkstraat,residential,50,5,False,8.767,"LINESTRING (-56.9871002 5.9195444, -56.9870442 5.9196002)"
557719897,True,,C.R. Biswamitreweg,tertiary,50,,False,75.727,"LINESTRING (-56.9871002 5.9195444, -56.9871502 5.9195955, -56.9872492 5.919682, -56.9873429 5.9197529, -56.9874416 5.919815, -56.9875328 5.9198595, -56.9876047 5.9198847, -56.9876673 5.9199133)"
4635253,False,,H.N. van Dijkstraat,residential,50,5,True,19.499,"LINESTRING (-56.9867657 5.9198654, -56.9867441 5.9199238, -56.9867319 5.9199851, -56.9867269 5.9200355)"
557719884,True,,H.N. van Dijkstraat,residential,50,5,False,43.848,"LINESTRING (-56.9867657 5.9198654, -56.9867843 5.9198141, -56.9868054 5.9197721, -56.9868371 5.9197288, -56.9870079 5.9195603)"
557719884,True,,H.N. van Dijkstraat,residential,50,5,False,8.563,"LINESTRING (-56.9870079 5.9195603, -56.9870625 5.9195057)"
557719889,True,,C.R. Biswamitreweg,tertiary,50,,False,71.694,"LINESTRING (-56.9870079 5.9195603, -56.9869859 5.9195381, -56.9869342 5.9194714, -56.9868777 5.919376, -56.9868352 5.9192669, -56.9868085 5.9191462, -56.9867988 5.9190619, -56.9867999 5.9189687)"
