osmid,name,highway,oneway,reversed,length,geometry,lanes,bridge,tunnel,junction
233486917,Circonvallazione di Ponente,secondary,False,True,45.133,"LINESTRING (14.5104709 37.2358447, 14.5099725 37.2359301)",,,,
1126383357,,residential,False,True,33.913,"LINESTRING (14.5104709 37.2358447, 14.5103434 37.2361323)",,,,
233486917,Circonvallazione di Ponente,secondary,False,False,187.84099999999998,"LINESTRING (14.5104709 37.2358447, 14.5107092 37.2357733, 14.5107979 37.2357467, 14.5109208 37.2357098, 14.5109531 37.235696, 14.5112092 37.2355866, 14.5117489 37.2353576, 14.5121394 37.2351745, 14.5123442 37.2350617)",,,,
84485712,Via delle Francescane,residential,False,False,88.85000000000001,"LINESTRING (14.5123442 37.2350617, 14.512352 37.2351206, 14.512356 37.2351508, 14.5124362 37.2357538, 14.5124714 37.235853)",,,,
233486917,Circonvallazione di Ponente,secondary,False,False,224.35100000000003,"LINESTRING (14.5123442 37.2350617, 14.5124923 37.23496, 14.5126538 37.2348386, 14.5131449 37.2343757, 14.5131769 37.2343411, 14.5135889 37.2337953, 14.5135998 37.2337885, 14.5139665 37.2335613, 14.5139848 37.23355)",,,,
233486917,Circonvallazione di Ponente,secondary,False,True,187.84099999999998,"LINESTRING (14.5123442 37.2350617, 14.5121394 37.2351745, 14.5117489 37.2353576, 14.5112092 37.2355866, 14.5109531 37.235696, 14.5109208 37.2357098, 14.5107979 37.2357467, 14.5107092 37.2357733, 14.5104709 37.2358447)",,,,
800028331,Viale Cristoforo Colombo,secondary,False,True,35.548,"LINESTRING (14.5187131 37.2336183, 14.5186388 37.2337046, 14.5184861 37.233882)",4,,,
1126126194,,tertiary,False,False,24.519,"LINESTRING (14.5187131 37.2336183, 14.5186458 37.2335787, 14.5186065 37.2335557, 14.5184933 37.2334842)",,,,
133732703,Via Acquanuova,tertiary,False,False,46.153,"LINESTRING (14.5184933 37.2334842, 14.5185176 37.2334272, 14.5185584 37.2333314, 14.5186874 37.2330994)",,,,
133732703,Via Acquanuova,tertiary,False,True,166.601,"LINESTRING (14.5184933 37.2334842, 14.518449 37.23353, 14.5175908 37.2344169, 14.5174497 37.2345743, 14.517397 37.2346947)",,,,
1126126194,,tertiary,False,True,24.519,"LINESTRING (14.5184933 37.2334842, 14.5186065 37.2335557, 14.5186458 37.2335787, 14.5187131 37.2336183)",,,,
139934618,Viale Regina Elena,tertiary,False,True,8.378,"LINESTRING (14.512567 37.2412759, 14.512639 37.241227)",,,,
232162509,Viale Torre dei Genovesi,secondary,False,False,589.577,"LINESTRING (14.512567 37.2412759, 14.5127186 37.2413221, 14.5132049 37.2414903, 14.5138632 37.2417223, 14.5142712 37.241847, 14.5157857 37.2422799, 14.5159221 37.2423103, 14.5160226 37.2423134, 14.5161232 37.242305, 14.5162432 37.2422809, 14.5163485 37.2422516, 14.5164746 37.2421957, 14.5179272 37.2410592, 14.5181499 37.2408811, 14.5182308 37.2408039)",,,,
800028329,Viale Regina Elena,secondary,False,True,353.1919999999999,"LINESTRING (14.512567 37.2412759, 14.5124138 37.2412502, 14.5122109 37.241263, 14.5116104 37.2413311, 14.5111538 37.2414014, 14.510453 37.2415694, 14.5100959 37.2416438, 14.5098898 37.2416868, 14.5096919 37.24171, 14.5095411 37.2417124, 14.5094007 37.241693, 14.509061 37.2416153, 14.5088046 37.2415553, 14.5086747 37.2415501)",,,,
1128060774,Via Balchino,secondary,False,True,75.646,"LINESTRING (14.518703 37.2402385, 14.5185543 37.240443, 14.5184286 37.240601, 14.5183269 37.2407124, 14.5182308 37.2408039)",,,,
1128060776,Circonvallazione di Levante,secondary,False,True,167.305,"LINESTRING (14.518703 37.2402385, 14.5187247 37.2401458, 14.5186999 37.2400326, 14.5186328 37.2398831, 14.518551 37.2397621, 14.5184746 37.2396845, 14.5183879 37.2396197, 14.5175912 37.2391224)",,,,
