osmid,name,highway,oneway,reversed,length,geometry,maxspeed,junction,access
132518922,Via Macello,residential,False,False,90.255,"LINESTRING (17.0318188 40.5764248, 17.0327008 40.5768831)",,,
124198246,,tertiary,True,False,29.887999999999998,"LINESTRING (17.0339051 40.5792768, 17.0339108 40.579392, 17.0338767 40.5795433)",,,
124198267,Corso Alcide de Gasperi,tertiary,False,False,22.127,"LINESTRING (17.0339051 40.5792768, 17.0339933 40.5792817, 17.0341668 40.5792781)",,,
124198256,Viale Chiatona,tertiary,False,False,25.185,"LINESTRING (17.0422634 40.5794114, 17.0421712 40.579196)",50,,
93160774,Via Enrico Fermi,tertiary,True,False,50.138999999999996,"LINESTRING (17.0422634 40.5794114, 17.0424099 40.5794241, 17.0428349 40.5795274)",,,
124198256,Viale Chiatona,tertiary,False,True,118.43,"LINESTRING (17.0422634 40.5794114, 17.0426015 40.5802334, 17.0426816 40.580428)",50,,
124198256,Viale Chiatona,tertiary,False,False,36.134,"LINESTRING (17.0432375 40.5817144, 17.0431569 40.5815324, 17.0431011 40.5814064)",50,,
124198269,Via Matera,tertiary,True,False,24.498,"LINESTRING (17.0334405 40.579144, 17.0337165 40.5792118)",,,
124198249,Via Matera,tertiary,False,True,80.578,"LINESTRING (17.0334405 40.579144, 17.0330323 40.5790572, 17.0325209 40.5789509)",50,,
1220223448,Via Piccinni,residential,False,True,142.17399999999998,"LINESTRING (17.0315884 40.5813428, 17.0326498 40.5811717, 17.0332478 40.5811538)",50,,
124198258,,residential,True,False,28.697,"LINESTRING (17.0421794 40.5814587, 17.0424494 40.581302)",,,
124198263,Via Aia,residential,False,False,15.99,"LINESTRING (17.0421794 40.5814587, 17.0419901 40.5814557)",,,
124269582,Via Salvatore Quasimodo,residential,False,True,47.482,"LINESTRING (17.040612 40.5777526, 17.0405724 40.5776818, 17.0404318 40.5773484)",,,
124269590,Via Adua,tertiary,False,False,35.54,"LINESTRING (17.040612 40.5777526, 17.0407617 40.5776883, 17.0409953 40.5776232)",,,
124269590,Via Adua,tertiary,False,True,30.068,"LINESTRING (17.040612 40.5777526, 17.0404023 40.5778789, 17.0403367 40.5779239)",,,
124198251,Via per Torre San Domenico,tertiary,False,True,44.904,"LINESTRING (17.041441 40.5774893, 17.0419402 40.5773503)",,,
124198256,Viale Chiatona,tertiary,False,True,41.776,"LINESTRING (17.041441 40.5774893, 17.0415939 40.5778466)",50,,
124269590,Via Adua,tertiary,False,True,40.48,"LINESTRING (17.041441 40.5774893, 17.0409953 40.5776232)",,,
942928593,Viale Chiatona,tertiary,False,False,55.504,"LINESTRING (17.041441 40.5774893, 17.0412378 40.5770146)",,,
124198270,Via Appia,tertiary,False,False,31.907,"LINESTRING (17.033191 40.5797873, 17.0335216 40.5796484)",50,,
