osmid,oneway,name,highway,reversed,length,junction,geometry,lanes,maxspeed,bridge,width,tunnel
75296359,True,Viale Monte Grappa,primary,False,20.383,,"LINESTRING (11.9124344 46.0137139, 11.9122833 46.0135636)",,,,,
952962708,True,Via Trevigiana,primary,False,13.926,roundabout,"LINESTRING (11.9124344 46.0137139, 11.9124476 46.0136839, 11.9124718 46.0136575, 11.9125053 46.0136366, 11.9125456 46.0136226)",,,,,
275966576,True,Via 14 Agosto 1866,primary,False,32.769,,"LINESTRING (11.9005251 46.0177416, 11.9005755 46.0176402, 11.9005934 46.0175557, 11.9005909 46.0174537)",,,,,
976104022,False,Via 14 Agosto 1866,primary,True,14.484,,"LINESTRING (11.9005251 46.0177416, 11.9004817 46.0177936, 11.9004232 46.0178508)",2,,,,
25444665,True,,primary,False,26.453,roundabout,"LINESTRING (11.9001273 46.0151663, 11.9001089 46.0152039, 11.9000742 46.0152353, 11.9000267 46.0152574, 11.8999716 46.0152676, 11.8999146 46.015265, 11.8998619 46.0152498)",,,,,
25444666,False,Via Montelungo,primary,False,82.143,,"LINESTRING (11.9001273 46.0151663, 11.9001898 46.0151742, 11.9003563 46.0151981, 11.9006767 46.0152389, 11.9010824 46.0153289, 11.9011539 46.0153515)",2,,,,
25444666,False,Via Montelungo,primary,True,80.493,,"LINESTRING (11.9020267 46.0157458, 11.9019744 46.0157216, 11.9018361 46.0156489, 11.9017669 46.0156167, 11.9012993 46.0154046, 11.9011539 46.0153515)",2,,,,
25444673,False,Viale Monte Grappa,primary,False,7.593999999999999,,"LINESTRING (11.9020267 46.0157458, 11.902047 46.015751, 11.9020759 46.0157533, 11.9021232 46.0157495)",2,50,,,
"[902467890, 27356014]",True,Viale Monte Grappa,tertiary,False,170.031,,"LINESTRING (11.9020267 46.0157458, 11.9019671 46.0157634, 11.9018165 46.0157981, 11.9016724 46.0158646, 11.9015676 46.0159464, 11.9014026 46.0161495, 11.9009685 46.0170093)",,,,,
75296342,False,Viale Monte Grappa,primary,False,10.125,,"LINESTRING (11.9060903 46.0150778, 11.9061949 46.0150229)",2,,,,
75296342,False,Viale Monte Grappa,primary,True,11.205,,"LINESTRING (11.9060903 46.0150778, 11.9059615 46.0151242)",2,,,,
75296334,True,Viale Monte Grappa,primary,False,21.292,,"LINESTRING (11.9122833 46.0135636, 11.9125456 46.0136226)",,,,,
"[275970717, 275970718]",False,Viale Monte Grappa,primary,True,36.602,,"LINESTRING (11.9122833 46.0135636, 11.9118866 46.0134534, 11.9118428 46.0134421)",2,,,,
25444667,True,Via Trevigiana,primary,False,13.392,roundabout,"LINESTRING (11.9125456 46.0136226, 11.9126027 46.0136165, 11.9126594 46.0136242, 11.912709 46.0136449)",,,,,
75296360,True,Via Trevigiana,tertiary,False,19.228,,"LINESTRING (11.9125122 46.0138315, 11.9122738 46.0138814)",,,,,
902696610,True,Via Trevigiana,primary,False,10.440999999999999,roundabout,"LINESTRING (11.9125122 46.0138315, 11.9124773 46.0138117, 11.9124512 46.0137861, 11.912436 46.0137567)",,,,,
953018352,True,Via Trevigiana,primary,False,4.782,roundabout,"LINESTRING (11.912436 46.0137567, 11.9124323 46.0137353, 11.9124344 46.0137139)",,,,,
952988330,True,Via Trevigiana,primary,False,8.061,roundabout,"LINESTRING (11.9126125 46.0138481, 11.9125605 46.0138453, 11.9125122 46.0138315)",,,,,
1156536581,True,Via Carlo Rizzarda,primary,False,1.959,roundabout,"LINESTRING (11.8998626 46.0208626, 11.8998387 46.0208685)",2,,,,
27197183,False,Viale Guglielmo Marconi,tertiary,True,209.02500000000003,,"LINESTRING (11.9062416 46.0188053, 11.9063158 46.01884, 11.9070128 46.0191427, 11.907239 46.0192376, 11.9073828 46.0192979, 11.9074408 46.0193222, 11.9085406 46.0197118, 11.9085951 46.0197306)",2,30,,,
