osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,width
183322482,Via Giacomo Matteotti,tertiary,False,True,8.531,"LINESTRING (12.6441345 41.5922568, 12.6442278 41.5922249)",,,
71315552,Via Aldo Moro,residential,False,True,105.844,"LINESTRING (12.6441345 41.5922568, 12.6440525 41.592104, 12.6439837 41.5919876, 12.6439181 41.5918733, 12.6438058 41.5916565, 12.6436661 41.591372)",,,
71317888,Via Alcide De Gasperi,tertiary,False,False,180.693,"LINESTRING (12.6510404 41.5897372, 12.6490957 41.5904619)",,,
24065456,Via Carroceto,residential,False,False,58.891,"LINESTRING (12.6537205 41.5939382, 12.6544041 41.5940765)",,,
72086208,Piazza Benedetto Croce,residential,False,True,16.738,"LINESTRING (12.6537205 41.5939382, 12.6536954 41.5938814, 12.6536395 41.5938009)",,,
72239723,Via Galileo Galilei,residential,False,True,145.547,"LINESTRING (12.6537205 41.5939382, 12.6537223 41.5939571, 12.6537212 41.5939789, 12.6537179 41.5939997, 12.6537124 41.5940197, 12.6536965 41.5940591, 12.6536867 41.5940792, 12.6536756 41.5940995, 12.6536596 41.5941218, 12.6529201 41.5950923)",,,
72127715,Via Alessandro Volta,residential,False,True,32.159,"LINESTRING (12.6506233 41.5970674, 12.650275 41.5971931)",,,
72239723,Via Galileo Galilei,residential,False,False,35.168,"LINESTRING (12.6506233 41.5970674, 12.6510014 41.5969257)",,,
72241349,Via dei Lauri,residential,True,False,150.367,"LINESTRING (12.6506233 41.5970674, 12.6507042 41.5971933, 12.651378 41.5982426, 12.6514061 41.5982864)",,,
72086208,Piazza Benedetto Croce,residential,False,False,54.552,"LINESTRING (12.6533291 41.5933687, 12.6536395 41.5938009)",,,
72086208,Piazza Benedetto Croce,residential,False,True,55.694,"LINESTRING (12.6533291 41.5933687, 12.653055 41.5929117)",,,
72086400,Via Guglielmo Marconi,residential,True,False,73.047,"LINESTRING (12.6533291 41.5933687, 12.653186 41.5934196, 12.6526323 41.5936166, 12.6525359 41.5936509)",,,
24065448,Via Costantino,residential,True,False,82.501,"LINESTRING (12.6527452 41.5923951, 12.6523165 41.591726)",,,
24065581,Via Araldo di Crollalanza,residential,False,True,61.732,"LINESTRING (12.6527452 41.5923951, 12.6534098 41.5921478)",,,
72086208,Piazza Benedetto Croce,residential,False,False,62.956,"LINESTRING (12.6527452 41.5923951, 12.653055 41.5929117)",,,
24065597,Piazza Roma,residential,True,False,38.572,"LINESTRING (12.6486463 41.5939981, 12.6488316 41.5943161)",,,
24065583,Corso Giovanni XXIII,residential,True,False,24.464,"LINESTRING (12.6437843 41.5957117, 12.6440567 41.5956286)",,,
183322486,Via Nettunense,primary,False,False,35.43,"LINESTRING (12.6437843 41.5957117, 12.6436461 41.5954103)",2,SR207,
183322486,Via Nettunense,primary,False,True,3.351,"LINESTRING (12.6437843 41.5957117, 12.6437974 41.5957402)",2,SR207,
183322480,Corso Giovanni XXIII,residential,False,True,124.208,"LINESTRING (12.6477268 41.5944822, 12.6463806 41.5949661)",,,
183315701,Via delle Margherite,residential,True,False,20.432,"LINESTRING (12.6477268 41.5944822, 12.647675 41.5943987, 12.647624 41.5943153)",,,
72127715,Via Alessandro Volta,residential,False,False,59.767,"LINESTRING (12.6496245 41.5974217, 12.650275 41.5971931)",,,
72235672,Via Enrico Fermi,residential,False,True,72.595,"LINESTRING (12.6496245 41.5974217, 12.6488356 41.5977013)",,,
183318486,Via delle Margherite,residential,True,False,67.685,"LINESTRING (12.6496245 41.5974217, 12.6492721 41.596873)",,,
71313274,Piazza della Repubblica,tertiary,False,True,27.158,"LINESTRING (12.6473573 41.5910934, 12.6476539 41.5909912)",,,
"[71395662, 24065606]","['Via degli Aranci', 'Piazza della Repubblica']",residential,True,False,61.792,"LINESTRING (12.6473573 41.5910934, 12.647538 41.5913747, 12.6476771 41.591595)",,,
71313274,Piazza della Repubblica,tertiary,False,False,30.555,"LINESTRING (12.6473573 41.5910934, 12.6471152 41.5911809, 12.6470255 41.5912114)",,,
71396575,Via degli Oleandri,residential,True,False,94.512,"LINESTRING (12.649022 41.5937489, 12.649155 41.5937028, 12.6499526 41.5934128, 12.6500453 41.5933791)",,,
72082987,Via degli Oleandri,residential,True,False,43.886,"LINESTRING (12.649022 41.5937489, 12.6488374 41.5938279, 12.6487975 41.5938462, 12.6487457 41.5938709, 12.6487183 41.5938874, 12.6486791 41.5939103, 12.6486463 41.5939981)",,,
183315702,Via delle Margherite,residential,True,False,71.632,"LINESTRING (12.647624 41.5943153, 12.6472662 41.5937293)",,,
36010649,Piazza Roma,residential,True,False,92.553,"LINESTRING (12.647624 41.5943153, 12.6484498 41.5940229, 12.6486463 41.5939981)",,,
