osmid,name,highway,oneway,reversed,length,lanes,ref,geometry,maxspeed,junction,access,bridge
170786236,Corso Fratelli Bandiera,secondary,False,True,68.221,,,"LINESTRING (8.0322637 44.6968819, 8.0317812 44.6973906)",,,,
163280713,Corso Fratelli Bandiera,secondary,True,False,46.203,2,SS29,"LINESTRING (8.0322637 44.6968819, 8.0324771 44.6966528, 8.032616 44.6965525)",,,,
61720838,Corso Fratelli Bandiera,secondary,True,False,42.938,2,SS29,"LINESTRING (8.0327324 44.6966961, 8.0325659 44.6967302, 8.0322637 44.6968819)",,,,
1258826040,,primary,True,False,19.209,1,,"LINESTRING (8.0327324 44.6966961, 8.0326703 44.6966591, 8.0326298 44.6966092, 8.032616 44.6965525)",50,roundabout,,
28210553,Via Giacomo Alberione,secondary,True,False,19.605,1,,"LINESTRING (8.0344502 44.6965273, 8.0343611 44.6965268, 8.0342026 44.6965185)",,,,
"[163284232, 163597116]",Via Giacomo Alberione,secondary,False,False,77.554,2,,"LINESTRING (8.0344502 44.6965273, 8.0345117 44.6965358, 8.034606 44.6965344, 8.0352069 44.6964745, 8.0354233 44.6964595)",,,,
163277007,Corso Michele Coppino,secondary,False,False,67.389,2,,"LINESTRING (8.0354233 44.6964595, 8.0354656 44.6964688, 8.0354921 44.6964842, 8.0355056 44.6965088, 8.0355135 44.6965386, 8.0355824 44.696927, 8.0356046 44.6969808, 8.0356478 44.697015)",,,,
"[163284232, 163597116]",Via Giacomo Alberione,secondary,False,True,77.55399999999999,2,,"LINESTRING (8.0354233 44.6964595, 8.0352069 44.6964745, 8.034606 44.6965344, 8.0345117 44.6965358, 8.0344502 44.6965273)",,,,
385225678,Piazza San Paolo,residential,False,True,12.651,,,"LINESTRING (8.0354233 44.6964595, 8.035553 44.6964479, 8.0355821 44.6964453)",,,,
163277007,Corso Michele Coppino,secondary,False,False,63.004999999999995,2,,"LINESTRING (8.0356478 44.697015, 8.0357235 44.6970388, 8.0362527 44.6971335, 8.0364162 44.6971628)",,,,
163277007,Corso Michele Coppino,secondary,False,True,67.38900000000001,2,,"LINESTRING (8.0356478 44.697015, 8.0356046 44.6969808, 8.0355824 44.696927, 8.0355135 44.6965386, 8.0355056 44.6965088, 8.0354921 44.6964842, 8.0354656 44.6964688, 8.0354233 44.6964595)",,,,
61720874,Via Anna Rosso,residential,True,False,77.714,,,"LINESTRING (8.0364162 44.6971628, 8.0365961 44.6964757)",,,,
163277007,Corso Michele Coppino,secondary,False,False,53.948,2,,"LINESTRING (8.0364162 44.6971628, 8.0367117 44.6972124, 8.0370757 44.6972872)",,,,
163277007,Corso Michele Coppino,secondary,False,True,63.005,2,,"LINESTRING (8.0364162 44.6971628, 8.0362527 44.6971335, 8.0357235 44.6970388, 8.0356478 44.697015)",,,,
717460499,Corso Michele Coppino,secondary,False,False,74.187,2,,"LINESTRING (8.038957 44.6982325, 8.0396743 44.6986628)",,,,
717460499,Corso Michele Coppino,secondary,False,True,43.047,2,,"LINESTRING (8.038957 44.6982325, 8.038673 44.6980478, 8.0385535 44.6979725)",,,,
