osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,maxspeed,junction,tunnel
1159050232,2,SPexSS358,Strada Provinciale exSS358 di Castelnovo,primary,False,False,10.042,"LINESTRING (10.5229931 44.9235351, 10.5231182 44.9235527)",,,
1159050233,2,SPexSS358,Strada Provinciale exSS358 di Castelnovo,primary,False,True,27.509,"LINESTRING (10.5229931 44.9235351, 10.5226504 44.9234869)",,,
101985554,,,Via Roma,residential,True,False,17.775,"LINESTRING (10.5229931 44.9235351, 10.5230261 44.9236065, 10.5230406 44.9236906)",,,
101419262,,,,residential,True,False,16.285,"LINESTRING (10.521044 44.9309911, 10.5210227 44.9309648, 10.5210133 44.9309351, 10.5210167 44.9309049, 10.5210326 44.9308767, 10.5210548 44.9308572)",50,roundabout,
101419304,,,Via Cesare Aroldi,residential,True,False,23.788,"LINESTRING (10.521044 44.9309911, 10.520952 44.9309271, 10.5207947 44.9308758)",50,,
101419262,,,,residential,True,False,6.787,"LINESTRING (10.5211144 44.9310251, 10.5210755 44.9310119, 10.521044 44.9309911)",50,roundabout,
545270115,,,Vicolo Pernino,residential,False,False,59.954,"LINESTRING (10.5140268 44.9280387, 10.5147649 44.9281715)",50,,
545266758,,,Via Cesare Aroldi,residential,False,False,53.877,"LINESTRING (10.5171165 44.9294766, 10.517682 44.9297495)",50,,
545266758,,,Via Cesare Aroldi,residential,False,True,6.225,"LINESTRING (10.5171165 44.9294766, 10.5170652 44.929434)",50,,
101419287,,,,residential,False,True,165.08100000000002,"LINESTRING (10.5171165 44.9294766, 10.5170548 44.9299095, 10.5169484 44.9306558, 10.516906 44.9309537)",,,
101419297,,,,residential,False,False,162.885,"LINESTRING (10.5150388 44.9294075, 10.5149821 44.9297107, 10.5148935 44.9300541, 10.5146867 44.9306375, 10.5146756 44.9307742, 10.5146877 44.9308452)",,,
387874677,,,Via Giuseppe Mazzini,residential,False,False,132.49,"LINESTRING (10.5150388 44.9294075, 10.5150794 44.92933, 10.5151533 44.9291342, 10.5154561 44.9288499, 10.5158438 44.9285803, 10.5160181 44.9284702)",50,,
102026195,,,Via Pietro Mascagni,residential,False,False,147.477,"LINESTRING (10.5235649 44.9310182, 10.5233977 44.9296972)",,,
101419313,,,Via Cesare Aroldi,residential,False,False,78.288,"LINESTRING (10.5235649 44.9310182, 10.5238429 44.9310182, 10.5244375 44.9309813, 10.5245559 44.9309693)",50,,
101419313,,,Via Cesare Aroldi,residential,False,True,112.42,"LINESTRING (10.5235649 44.9310182, 10.5227351 44.9309997, 10.5221396 44.9309621)",50,,
101419233,,,Via Alessandro Manzoni,residential,True,False,37.467,"LINESTRING (10.5210585 44.9305234, 10.5210805 44.9305916, 10.521164 44.930776, 10.5212198 44.9308378)",50,,
102026220,,,Via Alessandro Manzoni,residential,False,False,226.134,"LINESTRING (10.5210585 44.9305234, 10.5210471 44.9304646, 10.5209057 44.929738, 10.5206904 44.9286315, 10.5206904 44.9285076)",50,,
545266758,,,Via Cesare Aroldi,residential,False,True,35.835,"LINESTRING (10.5207947 44.9308758, 10.5203436 44.9308326)",50,,
101419261,,,Via Cesare Aroldi,residential,True,False,20.607,"LINESTRING (10.5207947 44.9308758, 10.5209612 44.9308685, 10.5210548 44.9308572)",50,,
101419275,,,,residential,False,False,34.791,"LINESTRING (10.5164651 44.9309321, 10.516906 44.9309537)",,,
101419275,,,,residential,False,True,140.253,"LINESTRING (10.5164651 44.9309321, 10.5146877 44.9308452)",,,
101419262,,,,residential,True,False,1.853,"LINESTRING (10.5210548 44.9308572, 10.5210596 44.930853, 10.5210705 44.9308448)",50,roundabout,
130803939,,,Via Giuseppe Mazzini,residential,False,False,67.781,"LINESTRING (10.5160181 44.9284702, 10.5166612 44.9280649)",50,,
130803947,,,Vicolo Pernino,residential,True,False,104.44800000000001,"LINESTRING (10.5160181 44.9284702, 10.5155981 44.9283328, 10.5153153 44.9282704, 10.5147649 44.9281715)",50,,
387874677,,,Via Giuseppe Mazzini,residential,False,True,132.49,"LINESTRING (10.5160181 44.9284702, 10.5158438 44.9285803, 10.5154561 44.9288499, 10.5151533 44.9291342, 10.5150794 44.92933, 10.5150388 44.9294075)",50,,
545266758,,,Via Cesare Aroldi,residential,False,False,143.674,"LINESTRING (10.5160181 44.9284702, 10.5163368 44.9285893, 10.5167593 44.9288197, 10.516842 44.9289261, 10.5168952 44.9290738, 10.5169542 44.9292953, 10.517037 44.9294106, 10.5170652 44.929434)",50,,
