osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,bridge,junction
"[648289507, 173979188]",,,Via Antonio Gramsci,tertiary,False,True,768.298,"LINESTRING (13.6298809 42.5843147, 13.6297954 42.5843339, 13.6297307 42.5843858, 13.6296697 42.5844964, 13.6295725 42.5847834, 13.6294893 42.5850242, 13.6294479 42.5852284, 13.6294201 42.585547, 13.6293235 42.5869688, 13.6293986 42.5873796, 13.6294952 42.5877271, 13.6293986 42.5878456, 13.6292232 42.5878752, 13.629073 42.5877805, 13.62883 42.5868661, 13.6285795 42.5855845, 13.6286224 42.5848736, 13.628629 42.5848373)",,
140167098,,,Via San Giusta,residential,False,True,61.756,"LINESTRING (13.6340837 42.5827439, 13.6334214 42.5826795, 13.6333352 42.5826776)",,
140315961,,,Via Giacomo Matteotti,residential,False,False,113.785,"LINESTRING (13.6340837 42.5827439, 13.6349041 42.5828458, 13.6354536 42.5829163)",,
140316691,,,Via della Vittoria,residential,False,False,68.21600000000001,"LINESTRING (13.6340837 42.5827439, 13.6340129 42.5829805, 13.6338678 42.583336)",,
846642147,,,Via Duca degli Abruzzi,tertiary,False,False,92.98,"LINESTRING (13.632749 42.5831924, 13.6338678 42.583336)",,
140167096,,,Via Antonio Gramsci,tertiary,False,True,98.45299999999999,"LINESTRING (13.632749 42.5831924, 13.6327089 42.5832354, 13.6326221 42.583301, 13.6317596 42.5836841)",,
846642147,,,Via Duca degli Abruzzi,tertiary,False,True,116.064,"LINESTRING (13.632749 42.5831924, 13.6320171 42.5830944, 13.6313534 42.5830092)",,
140169046,,,Via Marcacci,residential,False,True,77.457,"LINESTRING (13.6335461 42.5813916, 13.6334864 42.5820868)",,
949697622,2,SS80,Viale Risorgimento,primary,False,False,9.17,"LINESTRING (13.6335461 42.5813916, 13.6334427 42.5813599)",,
96356545,2,SS80,Viale Risorgimento,primary,False,True,200.434,"LINESTRING (13.6335461 42.5813916, 13.6339645 42.5815261, 13.6348582 42.5818102, 13.6355001 42.5820163, 13.6357917 42.5821094)",,
140169035,,,,residential,False,False,32.513,"LINESTRING (13.6334871 42.5824413, 13.6338842 42.5824387)",,
140169035,,,,residential,False,True,12.789,"LINESTRING (13.6334871 42.5824413, 13.6333309 42.5824401)",,
