osmid,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,lanes,access,tunnel,width,junction
32810735,Via Antonio Naccari,unclassified,30,False,False,50.253,"LINESTRING (12.2724129 45.216246, 12.2725743 45.216227, 12.2728085 45.216201, 12.2730464 45.2161746)",,,,,,
"[148629405, 172076702, 172076703]",Via Maestri del Lavoro,secondary,,False,False,262.669,"LINESTRING (12.2724129 45.216246, 12.2724867 45.2166922, 12.2726773 45.2176896, 12.2727143 45.2178856, 12.2727524 45.2180494, 12.2728016 45.2182073, 12.272843 45.2182872, 12.2729122 45.2183729, 12.2729758 45.218443, 12.2730261 45.2184926, 12.2730586 45.2185409)",yes,,,,,
1147327132,Via Maestri del Lavoro,secondary,,False,True,15.757,"LINESTRING (12.2724129 45.216246, 12.2724055 45.2162151, 12.2723969 45.2161909, 12.2723844 45.2161586, 12.2723649 45.2161085)",,,,,,
25007273,Via Maestri del Lavoro,secondary,,False,False,111.46700000000001,"LINESTRING (12.2730586 45.2185409, 12.273077 45.2185775, 12.2731168 45.2186532, 12.2734227 45.2195094)",,,,,,
147429229,Via Isola Saloni,residential,,True,False,93.432,"LINESTRING (12.2730586 45.2185409, 12.2731456 45.21852, 12.2736464 45.2184659, 12.2738369 45.2187349, 12.2739988 45.2187652)",,,,,,
"[148629405, 172076702, 172076703]",Via Maestri del Lavoro,secondary,,False,True,262.66900000000004,"LINESTRING (12.2730586 45.2185409, 12.2730261 45.2184926, 12.2729758 45.218443, 12.2729122 45.2183729, 12.272843 45.2182872, 12.2728016 45.2182073, 12.2727524 45.2180494, 12.2727143 45.2178856, 12.2726773 45.2176896, 12.2724867 45.2166922, 12.2724129 45.216246)",yes,,,,,
79638167,,residential,,False,True,43.548,"LINESTRING (12.2798167 45.2203045, 12.2797903 45.2203095, 12.2797316 45.2203206, 12.2792798 45.2204063)",,,,,,
32810763,Via Camillo Benso Conte di Cavour,unclassified,30,True,False,21.725,"LINESTRING (12.2771525 45.2153325, 12.2769893 45.2153601, 12.2768838 45.2153808)",,,,,,
1147327131,Via Granatieri di Sardegna,tertiary,50,False,False,25.686,"LINESTRING (12.2771525 45.2153325, 12.2772046 45.2154439, 12.2772545 45.2154995, 12.2772889 45.2155254, 12.277301 45.2155345)",,,,,,
"[91704593, 132418302]",Corso del Popolo,tertiary,50,False,True,23.582,"LINESTRING (12.2775239 45.2162556, 12.2775145 45.2162302, 12.2774659 45.2161188, 12.2774383 45.2160523)",yes,2,,,,
