osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,junction,width,bridge,access
130742094,2,Viale Piemonte,primary,50,False,True,6.981,"LINESTRING (8.3675765 45.6110125, 8.3674887 45.6110255)",,,,
202423730,,Via Isonzo,residential,,False,False,226.619,"LINESTRING (8.3675765 45.6110125, 8.3677918 45.6116814, 8.3678436 45.6119704, 8.3678673 45.6130314)",,,,
215256362,2,Via Carlo Furno,primary,50,False,False,83.54599999999999,"LINESTRING (8.3675765 45.6110125, 8.3683918 45.6109024, 8.3685883 45.6108758, 8.3686304 45.6108679)",,,,
215256371,,Via Pietro Micca,residential,,False,False,161.045,"LINESTRING (8.3699644 45.6109298, 8.3696527 45.6123616)",,,,
215256362,2,Via Carlo Furno,primary,50,False,False,134.44699999999997,"LINESTRING (8.3699644 45.6109298, 8.3716282 45.6110975, 8.3716755 45.6111005)",,,,
215256362,2,Via Carlo Furno,primary,50,False,True,24.328000000000003,"LINESTRING (8.3699644 45.6109298, 8.3697494 45.610905, 8.3696558 45.6108942)",,,,
55966142,,,primary,50,True,False,4.459,"LINESTRING (8.371905 45.6110454, 8.371924 45.6110304, 8.3719478 45.6110192)",roundabout,,,
55966142,,,primary,50,True,False,11.324,"LINESTRING (8.3719478 45.6110192, 8.3719825 45.6110115, 8.3720189 45.6110118, 8.3720532 45.6110202, 8.372082 45.6110358)",roundabout,,,
55966149,2,Corso Vercelli,primary,50,True,False,21.917,"LINESTRING (8.3719478 45.6110192, 8.3719569 45.6109726, 8.3719767 45.6109061, 8.3719905 45.6108613, 8.372 45.6108256)",,,,
55966142,,,primary,50,True,False,8.008000000000001,"LINESTRING (8.372082 45.6110358, 8.3721015 45.6110555, 8.3721116 45.6110785, 8.3721115 45.6111025)",roundabout,,,
55966142,,,primary,50,True,False,6.984,"LINESTRING (8.3721115 45.6111025, 8.372103 45.6111226, 8.3720873 45.6111404, 8.3720656 45.6111548)",roundabout,,,
283411898,,Via Carso,unclassified,50,True,False,15.130999999999998,"LINESTRING (8.3721115 45.6111025, 8.3721363 45.6111439, 8.3721575 45.6111605, 8.3721874 45.6111701, 8.3722508 45.611182)",,,,
55966142,,,primary,50,True,False,6.25,"LINESTRING (8.3720656 45.6111548, 8.3720422 45.6111639, 8.3720163 45.6111689, 8.3719896 45.6111695)",roundabout,,,
55966142,,,primary,50,True,False,7.086,"LINESTRING (8.3719896 45.6111695, 8.3719599 45.6111649, 8.3719331 45.611155, 8.3719109 45.6111405)",roundabout,,,
215256355,2,Corso Vercelli,residential,50,False,False,73.123,"LINESTRING (8.3719896 45.6111695, 8.3719867 45.6111984, 8.3719688 45.6113018, 8.3718789 45.6118225)",,,,
55966142,,,primary,50,True,False,11.296999999999999,"LINESTRING (8.3719109 45.6111405, 8.3718927 45.6111185, 8.3718854 45.6110937, 8.3718896 45.6110684, 8.371905 45.6110454)",roundabout,,,
283411896,2,Via Carlo Furno,primary,50,True,False,18.869999999999997,"LINESTRING (8.3719109 45.6111405, 8.3718597 45.6111336, 8.371809 45.6111212, 8.3716755 45.6111005)",,,,
302378754,,Piazza Italia,unclassified,50,False,True,5.77,"LINESTRING (8.3713977 45.6141477, 8.3713239 45.6141424)",,,,
"[110403818, 302378755]",,"['Corso Camillo Benso Conte di Cavour', 'Piazza Italia']",residential,,False,True,183.822,"LINESTRING (8.3713977 45.6141477, 8.3715495 45.6141602, 8.3737391 45.6143725)",,,,
"[302378756, 215256351]",,"['Corso Valsesia', 'Piazza Italia']",tertiary,50,False,False,89.838,"LINESTRING (8.3713977 45.6141477, 8.3713505 45.6144758, 8.3712839 45.6149517)",,,,
"[215256355, 302378756]",2,"['Corso Vercelli', 'Piazza Italia']","['residential', 'tertiary']",50,False,True,90.553,"LINESTRING (8.3713977 45.6141477, 8.3714656 45.6137922, 8.3715549 45.6133408)",,,,
215256351,,Corso Valsesia,tertiary,50,False,False,85.469,"LINESTRING (8.3711465 45.6157166, 8.370987 45.6164771)",,,,
215256351,,Corso Valsesia,tertiary,50,False,True,85.722,"LINESTRING (8.3711465 45.6157166, 8.3712839 45.6149517)",,,,
215256376,,Via Vincenzo Gioberti,residential,,True,False,179.166,"LINESTRING (8.3711465 45.6157166, 8.3712147 45.6157244, 8.3734306 45.6159255)",,,,
215256351,,Corso Valsesia,tertiary,50,False,True,85.469,"LINESTRING (8.370987 45.6164771, 8.3711465 45.6157166)",,,,
"[214261270, 164927359]",,"['Via Lanino', 'Via Venti Giugno']","['unclassified', 'residential']",50,True,False,261.11199999999997,"LINESTRING (8.370987 45.6164771, 8.3710514 45.6164839, 8.3732195 45.6166697, 8.3733006 45.6166169, 8.3734306 45.6159255)",,,,
215256351,,Corso Valsesia,tertiary,50,False,False,76.237,"LINESTRING (8.370987 45.6164771, 8.3709171 45.6168738, 8.3709212 45.6170014, 8.3709347 45.6171594)",,,,
283411901,2,Viale Guglielmo Marconi,primary,50,False,False,263.11400000000003,"LINESTRING (8.3653997 45.6141716, 8.3654371 45.6142883, 8.3654875 45.6144367, 8.3655076 45.614496, 8.3656494 45.6149136, 8.3657237 45.6151326, 8.3660457 45.6161109, 8.3661479 45.6164214, 8.366166 45.6164763)",,,,
283411906,2,Viale Guglielmo Marconi,primary,50,True,False,54.044,"LINESTRING (8.3653997 45.6141716, 8.3653253 45.6140029, 8.3652605 45.6137471, 8.3652603 45.6136974)",,,,
55966145,,,primary,50,True,False,4.021,"LINESTRING (8.3652611 45.6135998, 8.3652816 45.6135888, 8.3653055 45.6135819)",roundabout,,,
55966145,,,primary,50,True,False,8.600999999999999,"LINESTRING (8.3653055 45.6135819, 8.3653329 45.6135796, 8.3653602 45.6135826, 8.3653853 45.6135909, 8.3654061 45.6136036)",roundabout,,,
115603395,2,Viale Roma,primary,50,True,False,25.808,"LINESTRING (8.3653055 45.6135819, 8.3653094 45.6135492, 8.3653134 45.6134709, 8.3653052 45.6133501)",,,,
55966145,,,primary,50,True,False,4.622999999999999,"LINESTRING (8.3654061 45.6136036, 8.3654219 45.6136212, 8.3654295 45.6136413)",roundabout,,,
55966145,,,primary,50,True,False,7.917,"LINESTRING (8.3654295 45.6136413, 8.3654274 45.613665, 8.365414 45.6136868, 8.3653908 45.6137041)",roundabout,,,
115603400,,Corso Giuseppe Garibaldi,unclassified,50,False,False,126.486,"LINESTRING (8.3654295 45.6136413, 8.3654828 45.6136448, 8.3655721 45.6136508, 8.3662278 45.6136947, 8.3670483 45.6137496)",,,,
55966145,,,primary,50,True,False,11.075,"LINESTRING (8.3653908 45.6137041, 8.3653659 45.6137137, 8.365338 45.613718, 8.3653096 45.6137165, 8.365283 45.6137094, 8.3652603 45.6136974)",roundabout,,,
115603398,2,Viale Guglielmo Marconi,primary,50,True,False,52.010999999999996,"LINESTRING (8.3653908 45.6137041, 8.3653855 45.6137578, 8.3653932 45.6139985, 8.3653997 45.6141716)",,,,
55966145,,,primary,50,True,False,3.704,"LINESTRING (8.3652603 45.6136974, 8.3652459 45.6136842, 8.3652363 45.6136689)",roundabout,,,
283411908,2,Viale Roma,primary,50,False,False,28.61,"LINESTRING (8.3653052 45.6133501, 8.3652345 45.6130976)",,,,
283411910,2,Viale Roma,primary,50,True,False,29.623,"LINESTRING (8.3653052 45.6133501, 8.3653783 45.6134602, 8.3653965 45.6135219, 8.3654025 45.6135576, 8.3654061 45.6136036)",,,,
87226705,,,residential,,False,True,46.126,"LINESTRING (8.3748424 45.6112428, 8.374427 45.6113804, 8.374295 45.611367)",,,,
87226736,,,unclassified,,True,False,14.768,"LINESTRING (8.3748424 45.6112428, 8.374839 45.6112264, 8.3748433 45.6112101, 8.374855 45.6111956, 8.3748728 45.6111846, 8.3748948 45.6111783, 8.3749185 45.6111773, 8.3749413 45.6111817, 8.3749609 45.6111911)",roundabout,,,
215256372,,Via San Martino,residential,50,False,True,77.55,"LINESTRING (8.374295 45.611367, 8.3741721 45.6120591)",,,,
87226705,,,residential,,False,False,46.126,"LINESTRING (8.374295 45.611367, 8.374427 45.6113804, 8.3748424 45.6112428)",,,,
215256364,,Via Carso,residential,50,False,False,63.480999999999995,"LINESTRING (8.374295 45.611367, 8.3738693 45.611326, 8.3737518 45.6113147, 8.3734865 45.6112892)",,,,
214261255,,Via Cardinale Mercurino,residential,,True,False,180.347,"LINESTRING (8.3735885 45.6151305, 8.3712839 45.6149517)",,,,
214261270,,Via Venti Giugno,residential,50,True,False,85.096,"LINESTRING (8.3735885 45.6151305, 8.3737391 45.6143725)",,,,
