osmid,ref,highway,oneway,reversed,length,geometry,lanes,name,junction
217358724,SR488/b,secondary,False,True,375.502,"LINESTRING (15.1895983 40.4255328, 15.1895213 40.4255915, 15.1894972 40.4256378, 15.1894401 40.425853, 15.1893736 40.4260087, 15.1891994 40.42633, 15.189164 40.4264508, 15.1891447 40.4265625, 15.1891894 40.42664, 15.1893384 40.426846, 15.1895584 40.4271212, 15.1896216 40.4272767, 15.1897385 40.4274191, 15.1901697 40.4277799, 15.190402 40.427945, 15.1905438 40.4280971, 15.1906495 40.4283061, 15.1906735 40.4284692)",,,
570168519,SS166,primary,False,False,254.76700000000002,"LINESTRING (15.1895983 40.4255328, 15.1896286 40.4256348, 15.189634 40.4257472, 15.1895292 40.4259707, 15.1892726 40.4264347, 15.1892875 40.426508, 15.1893544 40.4265872, 15.1897742 40.4268639, 15.1899238 40.4269486, 15.1900448 40.4269893, 15.1901768 40.4270304, 15.1904624 40.4270878, 15.1906689 40.427142)",2,Strada Statale 166 degli Alburni,
108166184,,residential,True,False,45.105,"LINESTRING (15.1906689 40.427142, 15.1908207 40.4271291, 15.1909387 40.4271322, 15.1909866 40.4271261, 15.1910257 40.4271132, 15.1910488 40.4270886, 15.1910523 40.4270501, 15.1910437 40.4269892)",,,
570168519,SS166,primary,False,True,254.767,"LINESTRING (15.1906689 40.427142, 15.1904624 40.4270878, 15.1901768 40.4270304, 15.1900448 40.4269893, 15.1899238 40.4269486, 15.1897742 40.4268639, 15.1893544 40.4265872, 15.1892875 40.426508, 15.1892726 40.4264347, 15.1895292 40.4259707, 15.189634 40.4257472, 15.1896286 40.4256348, 15.1895983 40.4255328)",2,Strada Statale 166 degli Alburni,
217360061,,residential,False,False,120.38799999999999,"LINESTRING (15.1917667 40.4279494, 15.1918503 40.4279816, 15.1920246 40.4279938, 15.1921722 40.4279836, 15.1923411 40.4279775, 15.1924514 40.4279906, 15.1925194 40.4280186, 15.1925504 40.4280521, 15.1926077 40.4281919, 15.192673 40.4282308, 15.1926699 40.428355, 15.192717 40.4284674)",,,
480127117,SS166,primary,True,False,14.053,"LINESTRING (15.1917667 40.4279494, 15.1917064 40.4279633, 15.1916657 40.4279726, 15.1916069 40.4279617)",2,Strada Statale 166 degli Alburni,
108166185,,residential,False,False,260.494,"LINESTRING (15.1922613 40.4261461, 15.1922126 40.4260565, 15.1922396 40.425931, 15.1922135 40.4258963, 15.1919462 40.4258472, 15.191904 40.4258013, 15.191923 40.4257528, 15.1920051 40.425752, 15.1920879 40.4257818, 15.1922468 40.4257777, 15.1924945 40.4257953, 15.192776 40.4258362, 15.1928594 40.4258644, 15.1929113 40.4258744, 15.1930186 40.4258891, 15.1931542 40.4259104, 15.1932505 40.4259363, 15.1933425 40.4259551, 15.1934069 40.4259711, 15.1935984 40.4260009, 15.1937272 40.4260091, 15.1939846 40.4260744, 15.194166 40.4261266)",,,
480127121,SS166,primary,False,False,189.829,"LINESTRING (15.1922613 40.4261461, 15.192335 40.4261159, 15.1924931 40.4261175, 15.1934266 40.4262886, 15.1936438 40.4264236, 15.1939215 40.4266401, 15.1941141 40.4267417, 15.1942384 40.4267662)",2,Strada Statale 166 degli Alburni,
480127121,SS166,primary,False,True,60.461,"LINESTRING (15.1922613 40.4261461, 15.1922354 40.4261758, 15.1922131 40.4262046, 15.1920829 40.4266688)",2,Strada Statale 166 degli Alburni,
"[480127121, 570168523]",SS166,primary,False,"[False, True]",19.642,"LINESTRING (15.1952245 40.4244292, 15.1951322 40.4243057, 15.1951056 40.4242777)",2,Strada Statale 166 degli Alburni,
