osmid,oneway,name,highway,reversed,length,lanes,geometry,junction,bridge,maxspeed,access,tunnel
179254933,True,Piazza Luigi Cadorna,tertiary,False,9.899,,"LINESTRING (9.031337 45.6260922, 9.0314595 45.626068)",,,,,
62782245,False,Via Caduti della Liberazione,tertiary,True,100.951,2,"LINESTRING (9.0352779 45.6242903, 9.0347143 45.6243853, 9.0345594 45.6244146, 9.0340233 45.6245227)",,,,,
170502883,True,Via Caduti della Liberazione,tertiary,False,37.571,,"LINESTRING (9.0352779 45.6242903, 9.0355388 45.6242089, 9.0356829 45.6241639, 9.0357191 45.6241526)",,,,,
377176805,True,,tertiary,False,11.640999999999998,,"LINESTRING (9.0359394 45.6241614, 9.0359058 45.6241833, 9.0358651 45.6241956, 9.0358349 45.624199, 9.0358062 45.6241971)",roundabout,,,,
24231726,True,Via Guglielmo Marconi,tertiary,False,28.633000000000003,1,"LINESTRING (9.0368099 45.6240755, 9.0365765 45.6240934, 9.0364439 45.6241036)",,,,,
170502896,False,Via Guglielmo Marconi,tertiary,False,36.326,,"LINESTRING (9.0368099 45.6240755, 9.0371148 45.6240654, 9.0372765 45.62406)",,,,,
"[173300954, 24231730]",True,"['Via Giuseppe Mazzini', 'Via Marchese Giulio Antici']",residential,False,130.402,,"LINESTRING (9.0374032 45.6248402, 9.0369461 45.6248785, 9.0364737 45.6241496, 9.0364439 45.6241036)",,,,,
24231733,True,Via Vittorio Veneto,residential,False,87.31200000000001,,"LINESTRING (9.0374032 45.6248402, 9.037284 45.6241064, 9.0372765 45.62406)",,,,,
24231732,True,Via Giacomo Leopardi,residential,False,28.557,,"LINESTRING (9.0393207 45.624001, 9.0390716 45.6241897)",,,,,
584155332,False,Via Guglielmo Marconi,tertiary,True,15.592,,"LINESTRING (9.0393207 45.624001, 9.0391212 45.624015)",,,,,
"[924825329, 288202970]",False,Via Guglielmo Marconi,tertiary,False,32.844,,"LINESTRING (9.0393207 45.624001, 9.0395236 45.6239877, 9.0397408 45.6239707)",,yes,,,
24419857,True,Via Carlo Casati,residential,False,61.678,,"LINESTRING (9.0372765 45.62406, 9.037273 45.623999, 9.0372468 45.6235057)",,,,,
170502896,False,Via Guglielmo Marconi,tertiary,False,89.422,,"LINESTRING (9.0372765 45.62406, 9.0374539 45.6240563, 9.0379657 45.6240548, 9.038426 45.6240431)",,,,,
170502896,False,Via Guglielmo Marconi,tertiary,True,36.326,,"LINESTRING (9.0372765 45.62406, 9.0371148 45.6240654, 9.0368099 45.6240755)",,,,,
584155333,True,,tertiary,False,12.264000000000001,,"LINESTRING (9.0358192 45.6240111, 9.0358704 45.6240144, 9.0359168 45.6240314, 9.0359511 45.6240605)",roundabout,,,,
113549605,True,Via Guglielmo Marconi,tertiary,False,67.124,,"LINESTRING (9.0359511 45.6240605, 9.0360282 45.6240706, 9.0360725 45.6240735, 9.0361646 45.6240716, 9.0365342 45.6240537, 9.0365749 45.6240555, 9.0366159 45.6240573, 9.0368099 45.6240755)",,,,,
377176802,True,,tertiary,False,11.833,,"LINESTRING (9.0359511 45.6240605, 9.0359633 45.6240833, 9.0359661 45.624095, 9.0359619 45.6241297, 9.0359394 45.6241614)",roundabout,,,,
113549604,True,Via Caduti della Liberazione,tertiary,False,42.37,,"LINESTRING (9.0358062 45.6241971, 9.0352779 45.6242903)",,,,,
377176839,True,,tertiary,False,8.625,,"LINESTRING (9.0358062 45.6241971, 9.0357738 45.624189, 9.0357287 45.6241641, 9.0357191 45.6241526)",roundabout,,,,
113549607,True,Viale Milano,residential,False,30.068,,"LINESTRING (9.0357083 45.6240689, 9.035662 45.6239963, 9.0356546 45.6239796, 9.0356378 45.6239415, 9.0356086 45.6238095)",,,,,
377176830,True,,tertiary,False,11.234,,"LINESTRING (9.0357083 45.6240689, 9.0357328 45.6240417, 9.0357706 45.6240213, 9.0358192 45.6240111)",roundabout,,,,
46612681,True,Via Quattro Novembre,residential,False,36.111,,"LINESTRING (9.0372203 45.6227893, 9.0376846 45.6227939)",,,,,
776032864,True,Via Quattro Novembre,residential,False,72.723,,"LINESTRING (9.0372203 45.6227893, 9.0367539 45.6227973, 9.0362895 45.622841)",,,,,
"[62782249, 776032863]",True,Via Quattro Novembre,residential,False,53.547000000000004,,"LINESTRING (9.0354904 45.6229341, 9.0354658 45.6229537, 9.0354621 45.6229875, 9.0355531 45.623258, 9.0355551 45.6232907, 9.0355422 45.6233274, 9.0354892 45.6233905)",,,,,
24419854,False,Viale Milano,residential,False,47.507000000000005,2,"LINESTRING (9.0354892 45.6233905, 9.0355492 45.623601, 9.0356086 45.6238095)",,,,,
"[46612674, 631275539, 24419854]",False,Viale Milano,residential,True,225.65300000000002,2,"LINESTRING (9.0354892 45.6233905, 9.035344 45.6229877, 9.035307 45.6228863, 9.0352498 45.6227158, 9.0351345 45.6223202, 9.0348472 45.6214824, 9.0348251 45.6214153)",,,,,
24469434,True,Via Felice Carcano,tertiary,False,129.844,2,"LINESTRING (9.0329171 45.6247521, 9.0329508 45.6249649, 9.0331024 45.6259126)",,,,,
"[47110524, 33907420]",True,Via Molino,residential,False,208.592,,"LINESTRING (9.0329171 45.6247521, 9.032912 45.6247233, 9.0328205 45.6242098, 9.0328165 45.6241463, 9.0328738 45.6241022, 9.033003 45.6240126, 9.0330384 45.6239981, 9.0331196 45.6239943, 9.0336248 45.6239777, 9.0337232 45.6239999, 9.0337674 45.6240298, 9.0340233 45.6245227)",,,,,
62782245,False,Via Caduti della Liberazione,tertiary,False,89.73,2,"LINESTRING (9.0329171 45.6247521, 9.0330894 45.6247168, 9.0336284 45.6246063, 9.0337023 45.6245914, 9.0339368 45.6245396, 9.0340233 45.6245227)",,,,,
24469436,False,Via Giuseppe Verdi,unclassified,False,101.86699999999999,,"LINESTRING (9.0336572 45.6288731, 9.0338562 45.6287862, 9.0347685 45.628388)",,,,,
573577176,False,Via Vincenzo Monti,unclassified,True,80.00999999999999,,"LINESTRING (9.0336572 45.6288731, 9.0334399 45.6289197, 9.0326462 45.6289985)",,,,,
584172492,False,Via San Giuseppe,residential,False,97.13,,"LINESTRING (9.0336572 45.6288731, 9.0336362 45.6287215, 9.0335232 45.6280972, 9.0334945 45.6280075)",,,,,
273536259,True,,unclassified,False,19.376,,"LINESTRING (9.035715 45.628827, 9.0356137 45.6289862)",,,,,
24469438,True,Piazza Unità d'Italia,unclassified,False,56.336,,"LINESTRING (9.035715 45.628827, 9.036206 45.6290434, 9.0363303 45.6290944)",,,30,,
314994136,False,Via Giovanni Campi,residential,True,24.277,,"LINESTRING (9.0374832 45.6294534, 9.0373759 45.6294266, 9.0372688 45.6294481, 9.0371908 45.6294748)",,,,,
24469633,False,Via Giovanni Campi,unclassified,False,67.392,,"LINESTRING (9.0381198 45.6297326, 9.0389154 45.629973)",,,,,
"[1091237753, 33758097, 24469687]",True,"['Via Silvio Pellico', 'Via Ambrogio Legnani']",unclassified,False,308.0709999999999,1,"LINESTRING (9.0381198 45.6297326, 9.038169 45.6296623, 9.03819 45.6296321, 9.0383601 45.629388, 9.0387526 45.6287679, 9.0389871 45.6283127, 9.0390214 45.6282581, 9.0391226 45.6282088, 9.0391941 45.628205, 9.03931 45.6282542, 9.0400543 45.6287366, 9.0401296 45.6287581, 9.040202 45.6287628, 9.0402869 45.628754, 9.0403171 45.62875, 9.0403669 45.6287434)",,,30,,
24469633,False,Via Giovanni Campi,unclassified,True,67.392,,"LINESTRING (9.0389154 45.629973, 9.0381198 45.6297326)",,,,,
24469815,True,Piazza Unità d'Italia,unclassified,False,33.888,,"LINESTRING (9.0356137 45.6289862, 9.0354667 45.6289516, 9.035317 45.6289347, 9.0351881 45.6289302)",,,30,,
46613061,True,Piazza Unità d'Italia,residential,False,46.024,,"LINESTRING (9.0351881 45.6289302, 9.0351595 45.628549, 9.0351563 45.6285169)",,,,,
"[24231723, 548303638]",True,"['Via Antonio Cantore', 'Via Caduti della Liberazione']",tertiary,False,150.873,2,"LINESTRING (9.0311692 45.6252618, 9.0312166 45.6252256, 9.0312416 45.6252096, 9.0315267 45.6250273, 9.0315803 45.6250008, 9.0316305 45.6249848, 9.0329171 45.6247521)",,,,,
24419854,False,Viale Milano,residential,True,47.507000000000005,2,"LINESTRING (9.0356086 45.6238095, 9.0355492 45.623601, 9.0354892 45.6233905)",,,,,
