osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,junction,bridge,access,tunnel,width
27577236,True,1,Viale Armando Diaz,secondary,50,False,79.545,"LINESTRING (11.7321089 45.7638188, 11.7318951 45.7638591, 11.7318184 45.7638813, 11.7311681 45.7640984)",,,,,
721585304,True,2,Piazzale Luigi Cadorna,secondary,50,False,29.548000000000002,"LINESTRING (11.7321089 45.7638188, 11.7320271 45.7638245, 11.7319606 45.7638221, 11.7319056 45.7638072, 11.7318599 45.7637891, 11.7318205 45.7637529, 11.731797 45.7637179)",roundabout,,,,
28753744,False,2,Via Vecchia Colomba,residential,,True,32.735,"LINESTRING (11.7318473 45.7631355, 11.7318166 45.7631348, 11.7317506 45.7631335, 11.7314269 45.7631114)",,,,,
335390114,True,1,Viale Armando Diaz,secondary,50,False,18.064,"LINESTRING (11.7311681 45.7640984, 11.7313409 45.7639895)",,,,,
"[38420835, 27702916, 1187705650, 144592542, 27292895]",False,2,"['Ponte della Vittoria', 'Viale Armando Diaz']",secondary,50,True,278.2,"LINESTRING (11.7311681 45.7640984, 11.7310603 45.764149, 11.7309254 45.7642096, 11.7307688 45.7642799, 11.7291685 45.76496, 11.7291279 45.7649765, 11.7287817 45.7651178, 11.7281118 45.7654071)",,yes,,,
93605771,False,2,Via Brigata Basilicata,secondary,50,True,180.80799999999996,"LINESTRING (11.7385645 45.7698525, 11.7393792 45.7706492, 11.7396587 45.77091, 11.7398053 45.7710529, 11.7398634 45.7711207, 11.7399095 45.7711796)",,,,,
755746505,True,,Via Brigata Basilicata,secondary,50,False,18.552,"LINESTRING (11.7385645 45.7698525, 11.7385109 45.7698334, 11.7384798 45.7698224, 11.7384208 45.7698117, 11.7383392 45.7698005)",,,,,
719976672,True,2,Via Remondini,secondary,50,False,71.43299999999999,"LINESTRING (11.7379193 45.7654494, 11.7374926 45.7651866, 11.7374007 45.7651332, 11.7373408 45.7650984, 11.7372294 45.7650241)",,,,,
93605770,True,2,Via A. Parolini,secondary,50,False,58.171,"LINESTRING (11.7399248 45.7629375, 11.7398097 45.7631462, 11.7397525 45.7632499, 11.7396445 45.7634226)",,,,,
93605776,True,,Via A. Parolini,secondary,50,False,64.17699999999999,"LINESTRING (11.7385847 45.7652854, 11.738486 45.7653956, 11.7384256 45.7654642, 11.738362 45.7654821, 11.7382804 45.7655007, 11.7381872 45.7655013, 11.7379193 45.7654494)",,,,,
237194751,True,1,Via A. Parolini,secondary,50,False,69.075,"LINESTRING (11.7385847 45.7652854, 11.7385599 45.7654241, 11.7385442 45.7655122, 11.7385362 45.7655415, 11.7385293 45.765575, 11.7384872 45.7656924, 11.7384555 45.7657843, 11.7384491 45.7658041, 11.7384405 45.7658306, 11.7384314 45.7658699, 11.7384274 45.7658959)",,,,,
200063304,True,,Viale dei Martiri,unclassified,,False,107.017,"LINESTRING (11.7351779 45.768777, 11.7347171 45.768886, 11.7339498 45.7690674, 11.7338779 45.7690963)",,,,,
"[58796688, 1214547177]",True,,Piazza Zaine,residential,,False,34.81,"LINESTRING (11.7351779 45.768777, 11.735152 45.7687479, 11.7351009 45.7687224, 11.7349333 45.7686639, 11.7348638 45.7686401, 11.734802 45.7686143)",,,destination,,
27292768,True,,Riva del Margnan,unclassified,,False,104.144,"LINESTRING (11.7330021 45.7700188, 11.7329772 45.7700179, 11.7324708 45.7699999, 11.7317308 45.7699914, 11.7316602 45.7699906)",,,destination,,
27376748,False,,Via Sant'Anna,residential,30,False,85.418,"LINESTRING (11.7330021 45.7700188, 11.7331172 45.7700169, 11.7333806 45.7700125, 11.7340091 45.7699314, 11.7340912 45.7699208)",,,,,
27392359,True,,Via Margnan,unclassified,,False,80.031,"LINESTRING (11.7330021 45.7700188, 11.7329918 45.77007, 11.7329915 45.7701226, 11.7330218 45.7704242, 11.7331213 45.7707295)",,,,,
27377475,False,,Via Pusterla,residential,,False,99.32,"LINESTRING (11.7316602 45.7699906, 11.7315789 45.770882)",,,,,
"[1214534496, 27405346, 149637883, 149637884]",True,,Via Pusterla,residential,,False,279.55800000000005,"LINESTRING (11.7316602 45.7699906, 11.7316672 45.7698745, 11.731686 45.7695656, 11.7317203 45.7691405, 11.7317384 45.7689733, 11.7317436 45.7689067, 11.7317491 45.7688052, 11.7317629 45.7686533, 11.7317693 45.7685689, 11.7317886 45.7683143, 11.7317909 45.7680599, 11.731792 45.7679302, 11.7318053 45.7675814, 11.7318061 45.7675599, 11.7318143 45.7674793)",,,destination,yes,
"[116566041, 144913018, 144913019]",True,,Via Schiavonetti,residential,,False,79.38900000000001,"LINESTRING (11.7316909 45.7664028, 11.7317042 45.7663805, 11.7317342 45.7663302, 11.7319153 45.7661209, 11.7319876 45.7660391, 11.7320186 45.7660047, 11.7320812 45.7659387, 11.7321934 45.7657822)",,yes,destination,,
"[167631841, 116566034, 200049813]",False,,"['Via Luigi Schiavonetti', 'Piazzotto Monte Vecchio']",residential,,True,151.368,"LINESTRING (11.7316909 45.7664028, 11.732354 45.7665446, 11.7325719 45.766599, 11.7326454 45.7666298, 11.7326742 45.7666452, 11.7326809 45.7666673, 11.7326127 45.766788, 11.7332825 45.7668915)",,,destination,,
"[128519800, 44671121]",True,1,"['Via Campo Marzio', 'Via Mure del Bastion']",unclassified,,False,219.56400000000002,"LINESTRING (11.7321934 45.7657822, 11.7322342 45.7656425, 11.7324694 45.7645185, 11.732496 45.7644811, 11.7326774 45.764381, 11.7328252 45.7643159, 11.7333026 45.7642451, 11.7333455 45.7642388)",,,,,
128519797,True,1,Via Mure del Bastion,unclassified,,False,99.131,"LINESTRING (11.7333455 45.7642388, 11.7333825 45.7642362, 11.7338633 45.7642173, 11.7339555 45.7642218, 11.7341242 45.7642636, 11.7342889 45.7643067, 11.7345749 45.7643934)",,,,,
160732623,True,1,Via Verci,unclassified,,False,72.244,"LINESTRING (11.7333455 45.7642388, 11.7332681 45.7646315, 11.7332228 45.764842, 11.7332142 45.764882)",,,,,
"[160732619, 576722901]",False,2,Via Verci,unclassified,,True,48.011,"LINESTRING (11.7333455 45.7642388, 11.7333825 45.7640488, 11.7333993 45.7639369, 11.7334245 45.7638106)",,,,,
27162936,True,,Via Torino,residential,,False,75.168,"LINESTRING (11.7406162 45.7694896, 11.7396654 45.7693588)",,,,,
27162905,False,,Via Passalacqua,tertiary,50,True,19.997,"LINESTRING (11.7401531 45.7711215, 11.7401 45.7711327, 11.7399846 45.771157, 11.7399095 45.7711796)",,,,,
27162939,True,,Via Bombardini,residential,,False,209.828,"LINESTRING (11.7401531 45.7711215, 11.7401341 45.7709946, 11.7401599 45.7708749, 11.740177 45.7706893, 11.7401448 45.7706055, 11.7400912 45.7705217, 11.739911 45.7703301, 11.7396878 45.7701146, 11.7395676 45.769929, 11.7395762 45.7697553, 11.7396106 45.7695817, 11.7396516 45.7694239, 11.7396654 45.7693588)",,,,,
27448436,True,,Via Villaraspa,residential,,False,164.60999999999999,"LINESTRING (11.7402624 45.7629772, 11.7402504 45.7630429, 11.7402453 45.7630638, 11.7401948 45.7631589, 11.7400661 45.7633265, 11.7398579 45.763545, 11.739697 45.7637397, 11.739491 45.7640391, 11.7394017 45.7641968, 11.7393619 45.764267, 11.7393454 45.7643023)",,,,,
550234581,False,,Via Tabacco,residential,,False,13.823,"LINESTRING (11.7402624 45.7629772, 11.7401657 45.762966, 11.7401371 45.7629603, 11.7401138 45.7629545, 11.7400904 45.7629471)",,,,,
27292846,True,,Via Tabacco,residential,,False,12.893,"LINESTRING (11.7400904 45.7629471, 11.739985 45.7629421, 11.7399248 45.7629375)",,,,,
550234581,False,,Via Tabacco,residential,,True,13.823,"LINESTRING (11.7400904 45.7629471, 11.7401138 45.7629545, 11.7401371 45.7629603, 11.7401657 45.762966, 11.7402624 45.7629772)",,,,,
