osmid,name,highway,oneway,reversed,length,geometry,ref,lanes,width,junction
133377217,Via Bernardo Di Falco,tertiary,False,True,325.347,"LINESTRING (14.3941249 37.7491505, 14.3942621 37.7494547, 14.3942922 37.7494966, 14.3943335 37.7495293, 14.3944563 37.7496078, 14.3946027 37.7496743, 14.3946867 37.7497032, 14.3947885 37.7497287, 14.3948936 37.7497473, 14.3950083 37.7497567, 14.3951289 37.7497578, 14.3959891 37.7497085, 14.3960638 37.7496945, 14.3961402 37.7496673, 14.3971003 37.748997)",,,,
193497840,Via Pisciarotta,tertiary,False,False,141.10899999999998,"LINESTRING (14.3941249 37.7491505, 14.3941214 37.7490509, 14.3941251 37.7489772, 14.3941281 37.7489633, 14.3941378 37.7489194, 14.3941711 37.7488676, 14.3942151 37.7488278, 14.3942866 37.7487904, 14.3943528 37.7487715, 14.3944372 37.7487564, 14.3946419 37.7487199, 14.394734 37.7486989, 14.3948158 37.7486746, 14.3950054 37.7485849, 14.3950815 37.7485625, 14.395178 37.748534, 14.3952086 37.7485092, 14.3952142 37.7484792, 14.3952094 37.7484414)",,,,
193794282,Via Miracoli,tertiary,False,False,53.693,"LINESTRING (14.3938026 37.747583, 14.3932285 37.7477476)",,,,
"[193794282, 725716111]","['Via Miracoli', 'Largo Peculio']",tertiary,False,True,8.142,"LINESTRING (14.3938026 37.747583, 14.3938363 37.7475961, 14.3938857 37.7476153)",,,,
193794282,Via Miracoli,tertiary,False,False,12.325,"LINESTRING (14.3932285 37.7477476, 14.3931085 37.7476903)",,,,
193794282,Via Miracoli,tertiary,False,True,53.693,"LINESTRING (14.3932285 37.7477476, 14.3938026 37.747583)",,,,
597964045,Via Celso,residential,False,True,22.546,"LINESTRING (14.3932285 37.7477476, 14.3932285 37.7477988, 14.3932132 37.747826, 14.3930757 37.7478809)",,,,
193794282,Via Miracoli,tertiary,False,True,12.325,"LINESTRING (14.3931085 37.7476903, 14.3932285 37.7477476)",,,,
597964044,Via Miracoli,residential,False,False,36.946,"LINESTRING (14.3931085 37.7476903, 14.3927182 37.7478134)",,,,
725716115,,tertiary,False,True,15.52,"LINESTRING (14.3931085 37.7476903, 14.3931561 37.7475559)",,,,
725716129,Via Giacomo Matteotti,tertiary,True,False,38.064,"LINESTRING (14.3931085 37.7476903, 14.3930161 37.7476406, 14.3928757 37.7474122)",,,,
1095185700,,secondary,False,False,5.676,"LINESTRING (14.3939956 37.7468536, 14.3940507 37.746827)",,,,
725716121,,secondary,True,False,32.156,"LINESTRING (14.3939956 37.7468536, 14.3938212 37.7469435, 14.3937238 37.7470414)",,,,
725716118,,residential,True,False,24.185,"LINESTRING (14.3937668 37.747368, 14.3937649 37.7474048, 14.3938026 37.747583)",,,,
"[725716090, 1112234838]",Via Vittorio Emanuele,tertiary,True,False,62.554,"LINESTRING (14.3983605 37.7482852, 14.39839 37.7482937, 14.3986264 37.7483643, 14.398856 37.7484348, 14.398916 37.7484779, 14.3989484 37.7485527)",,,,
1095145748,Via Sant'Elia,residential,False,True,15.48,"LINESTRING (14.3917065 37.7457364, 14.3917964 37.7458561)",,,,
