osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,junction,maxspeed
26579946,False,Via Caselle,residential,False,225.24399999999997,"LINESTRING (7.6572625 45.151625, 7.6572783 45.1516845, 7.657263 45.1517211, 7.6572397 45.151754, 7.6571984 45.1517884, 7.6570341 45.1518802, 7.6562934 45.1523505, 7.6560757 45.1525592, 7.6555509 45.1531946)",,,,
69883369,False,Viale Martiri della Libertà,residential,False,182.738,"LINESTRING (7.6572625 45.151625, 7.6571205 45.1516263, 7.6565586 45.15166, 7.6552734 45.1517365, 7.6551768 45.1517397, 7.6550111 45.1517437, 7.6549391 45.1517461)",,,,
180358692,True,Piazza Vittorio Veneto,residential,False,78.301,"LINESTRING (7.6572625 45.151625, 7.6573756 45.1516287, 7.6582109 45.1518355)",,,,
186572017,False,Via Torino,unclassified,True,38.717,"LINESTRING (7.6572625 45.151625, 7.6572634 45.1515949, 7.6574245 45.1512978)",2,,,
151905766,False,Via Bottione,residential,False,158.72,"LINESTRING (7.661799 45.1505237, 7.6619258 45.1490991)",,,,
81921625,False,Via Don Milani,tertiary,False,60.174,"LINESTRING (7.661799 45.1505237, 7.6613014 45.1504728, 7.6610396 45.1504461)",,SP711,,
81921625,False,Via Don Milani,tertiary,True,62.502,"LINESTRING (7.661799 45.1505237, 7.6624975 45.1505927, 7.6625883 45.1506017)",,SP711,,
81921625,False,Via Don Milani,tertiary,True,60.174,"LINESTRING (7.6610396 45.1504461, 7.6613014 45.1504728, 7.661799 45.1505237)",,SP711,,
134577726,True,,tertiary,False,22.367,"LINESTRING (7.6610396 45.1504461, 7.6610062 45.1504905, 7.6609486 45.1505201, 7.6608783 45.1505289, 7.6608098 45.150515)",,,roundabout,
44416985,False,Via Antonio Gramsci,tertiary,False,45.085,"LINESTRING (7.6609494 45.1503149, 7.6610532 45.1501536, 7.6611661 45.1499396)",,,,
134577726,True,,tertiary,False,17.57,"LINESTRING (7.6609494 45.1503149, 7.6609961 45.1503368, 7.661029 45.1503687, 7.6610442 45.1504067, 7.6610396 45.1504461)",,,roundabout,
26563910,False,Via Antonio Gramsci,tertiary,False,81.973,"LINESTRING (7.6608098 45.150515, 7.6606419 45.150744, 7.6604102 45.1510951, 7.6603532 45.151178)",,,,
1212035923,True,,tertiary,False,37.583,"LINESTRING (7.6608098 45.150515, 7.6607682 45.1504915, 7.6607401 45.1504596, 7.6607285 45.150423, 7.6607349 45.1503857, 7.6607584 45.150352, 7.6607964 45.1503257, 7.6608446 45.1503098, 7.6608976 45.1503061, 7.6609494 45.1503149)",,,roundabout,
26579946,False,Via Caselle,residential,True,104.1,"LINESTRING (7.654984 45.1540411, 7.6551249 45.1538383, 7.6555509 45.1531946)",,,,
"[1260674316, 1260674317]",False,"['Via Caselle', 'Via Lanzo']",residential,False,154.177,"LINESTRING (7.654984 45.1540411, 7.6549694 45.1542679, 7.6549794 45.1546101, 7.6549762 45.1547408, 7.6550012 45.1554271)",,,,
81921629,False,Via Svizzera,residential,False,114.76499999999999,"LINESTRING (7.6550012 45.1554271, 7.6551171 45.1554274, 7.6559051 45.1554004, 7.6561261 45.1553837, 7.6562182 45.1553768, 7.6563528 45.1553473, 7.6564511 45.1553258)",,,,
1260674317,False,Via Lanzo,residential,False,53.794,"LINESTRING (7.6550012 45.1554271, 7.6550033 45.155547, 7.6550192 45.1559107)",,,,
"[1260674316, 1260674317]",False,"['Via Caselle', 'Via Lanzo']",residential,True,154.177,"LINESTRING (7.6550012 45.1554271, 7.6549762 45.1547408, 7.6549794 45.1546101, 7.6549694 45.1542679, 7.654984 45.1540411)",,,,
59406839,False,Via Primo Maggio,residential,False,196.597,"LINESTRING (7.6535094 45.1546713, 7.6535107 45.1551791, 7.6535365 45.1564392)",,,,
151901959,False,Via Venti Settembre,residential,False,57.728,"LINESTRING (7.6535094 45.1546713, 7.6531033 45.1546722, 7.6529595 45.1546827, 7.6528497 45.1546969, 7.6527805 45.1547152)",,,,
151901959,False,Via Venti Settembre,residential,True,81.826,"LINESTRING (7.6535094 45.1546713, 7.6536035 45.1546682, 7.6540314 45.1546518, 7.6545521 45.1546456)",,,,
59406840,False,Via Suor Nemesina Valle,residential,True,83.761,"LINESTRING (7.6535365 45.1564392, 7.6524684 45.1564502)",,,,
59406839,False,Via Primo Maggio,residential,True,196.597,"LINESTRING (7.6535365 45.1564392, 7.6535107 45.1551791, 7.6535094 45.1546713)",,,,
